0001-0109-0118,0001-0097-0091,0001-0073-0114,0001-0045-0079,0001-0117-0047,0001-0125-0028,0001-0125-0009,0001-0048-0145,0001-0096-0205,Average,Err
360.982,462.757,412.649,362.000,375.114,372.417,317.681,455.014,467.507,398.458,16.771
368.467,466.958,421.092,362.490,350.310,396.027,328.192,453.514,467.336,401.598,16.609
369.725,477.055,429.429,375.522,379.870,394.471,327.189,478.993,461.873,410.459,16.902
361.505,462.824,432.357,350.869,369.141,389.781,313.212,449.576,452.843,398.012,16.738
369.081,473.911,431.789,363.811,360.429,387.739,330.757,437.979,467.612,402.568,16.180
365.716,473.409,433.499,363.403,369.315,395.087,339.588,456.111,488.403,409.392,17.145
363.165,472.337,417.357,362.915,374.761,388.628,331.065,449.069,464.119,402.602,15.809
367.109,464.266,425.555,363.354,357.549,388.910,333.740,452.708,477.955,403.461,16.582
363.599,485.799,434.436,366.171,378.739,390.820,332.661,438.528,508.194,410.994,18.655
360.899,474.149,417.362,357.769,375.109,374.898,331.404,440.938,498.045,403.397,18.003
358.029,473.692,414.834,363.020,374.614,377.120,321.088,450.014,472.276,400.521,17.176
362.532,470.834,412.591,356.167,367.266,401.075,329.633,454.375,498.515,405.888,18.215
358.357,469.429,436.978,363.364,369.674,388.775,334.952,462.924,457.239,404.632,16.324
411.185,497.635,447.587,384.120,546.158,844.847,616.347,470.847,580.216,533.216,43.887
1101.644,1473.345,1315.753,932.357,1134.870,1122.736,905.237,1736.896,1769.940,1276.975,101.000
1129.152,1631.474,1455.346,983.674,1129.016,1142.604,909.980,2002.306,1865.187,1360.971,124.156
1094.628,1618.764,1385.240,973.516,1056.201,1146.042,900.867,2013.778,1982.045,1352.342,133.800
1047.377,1535.139,1330.827,944.624,1004.826,1122.147,879.887,2024.021,1906.075,1310.547,132.969
972.154,1393.434,1186.238,894.560,1014.853,1083.931,871.647,1829.174,1841.761,1231.972,118.473
957.093,1361.199,1135.492,899.207,964.495,995.273,793.240,1861.188,1865.403,1203.621,127.767
910.340,1242.821,1090.101,821.322,946.000,959.273,786.856,1740.167,1667.716,1129.400,111.114
885.822,1199.236,1092.652,841.352,894.815,912.318,730.486,1653.424,1660.701,1096.756,108.702
878.260,1212.504,1045.544,842.562,908.962,904.805,762.418,1579.958,1631.007,1085.113,101.224
893.767,1233.174,1065.146,824.602,847.217,915.453,739.915,1621.979,1644.022,1087.253,107.261
914.049,1206.092,1110.061,824.475,880.179,890.438,740.494,1493.653,1606.425,1073.985,96.140
891.118,1224.973,1099.013,840.245,856.391,880.015,716.726,1495.312,1522.560,1058.484,93.007
917.509,1261.988,1128.220,860.495,848.027,891.730,735.234,1508.833,1561.067,1079.234,95.159
937.024,1245.171,1134.966,861.494,879.245,916.976,755.308,1473.938,1572.866,1086.332,90.849
935.523,1244.752,1129.126,882.074,895.766,929.928,752.452,1440.722,1560.739,1085.676,87.086
935.232,1253.605,1144.490,888.951,868.516,926.823,756.486,1477.826,1524.485,1086.268,87.495
957.358,1288.201,1130.169,895.381,910.027,940.898,767.133,1513.764,1550.403,1105.926,89.201
968.653,1294.608,1185.065,896.564,943.054,961.303,795.720,1525.118,1620.299,1132.265,91.777
937.712,1279.002,1117.962,889.675,901.598,953.715,791.090,1471.174,1523.858,1096.198,84.358
964.952,1280.762,1153.926,909.028,917.391,943.916,780.150,1551.542,1638.560,1126.692,95.441
934.186,1270.283,1157.467,893.046,860.283,950.559,763.879,1491.993,1620.179,1104.653,94.245
929.046,1238.566,1172.283,897.843,866.467,909.616,764.797,1485.424,1550.246,1090.476,89.451
938.711,1247.037,1139.989,879.890,823.391,923.054,720.503,1488.118,1517.910,1075.400,90.905
