0383-0244-0015,0383-0239-0038,0383-0187-0150,0383-0224-0175,0383-0193-0180,0383-0186-0197,0383-0021-0204,0383-0241-0187,Average,Err
532.461,635.457,693.340,510.823,553.111,635.362,383.638,395.109,542.413,37.122
550.469,626.821,699.716,554.245,569.938,619.769,392.721,393.539,550.902,35.971
541.003,622.742,694.385,532.155,551.520,629.806,389.760,403.644,545.627,35.323
544.672,617.401,681.890,519.700,553.076,646.125,384.598,397.215,543.084,35.893
556.042,635.348,700.794,542.868,567.760,623.362,383.421,397.866,550.933,36.805
551.948,615.825,720.196,555.136,554.356,633.506,378.960,400.239,551.271,37.913
554.706,638.874,695.938,532.195,567.787,642.169,381.663,403.014,552.043,37.135
554.635,643.712,691.409,525.005,557.493,624.200,386.973,395.634,547.383,36.516
570.151,670.536,712.757,517.977,562.760,659.788,381.826,402.754,559.819,40.284
556.372,632.818,696.325,526.955,576.956,661.438,381.706,399.845,554.052,38.063
555.018,632.523,679.723,535.405,545.569,619.956,387.255,385.746,542.650,35.756
548.552,631.334,698.521,530.077,546.893,665.413,392.068,388.310,550.146,38.220
547.203,639.447,685.037,549.568,553.760,648.188,390.147,394.820,551.021,36.556
547.828,612.480,693.234,541.855,546.969,676.906,376.743,396.370,549.048,38.369
551.047,641.421,687.351,555.882,566.942,642.675,387.703,421.342,556.795,35.058
537.438,636.828,688.202,530.764,583.733,640.881,386.935,409.951,551.841,35.956
547.591,629.238,686.084,535.895,555.858,646.806,388.923,408.004,549.800,35.469
536.878,623.265,708.632,550.145,560.680,641.413,382.060,393.035,549.513,37.917
558.156,635.450,707.348,550.268,572.098,628.131,383.240,386.989,552.710,38.128
546.078,621.156,704.492,540.955,558.182,636.500,380.623,412.894,550.110,36.242
534.745,622.795,705.611,532.559,564.751,647.862,388.456,394.173,548.869,37.545
557.807,614.046,671.501,530.436,554.667,641.288,383.461,400.451,544.207,34.797
549.734,640.546,710.024,521.595,546.013,634.981,375.349,400.690,547.367,38.445
565.836,647.503,698.164,561.277,557.698,604.081,391.235,391.873,552.209,36.442
542.411,622.520,691.907,517.791,541.044,650.388,386.025,401.507,544.199,36.512
555.716,669.109,700.249,537.545,551.844,640.300,393.853,406.162,556.847,37.459
562.651,638.189,691.077,538.055,578.791,628.975,392.631,401.915,554.035,35.710
528.112,635.265,707.813,540.105,566.289,655.669,386.730,392.085,551.508,38.681
545.714,626.447,687.443,552.645,537.698,637.256,382.589,395.007,545.600,36.319
533.151,623.053,696.492,517.459,549.302,626.112,378.297,395.954,539.978,36.730
534.096,650.056,696.080,534.505,538.320,620.913,383.720,402.437,545.016,36.707
547.422,645.589,693.335,540.882,563.156,614.337,386.830,393.940,548.186,36.451
544.930,615.649,685.456,530.014,542.502,648.600,385.259,399.261,543.959,35.889
563.641,627.606,689.028,531.245,567.476,629.925,386.491,401.606,549.627,35.650
545.263,615.424,718.058,570.455,552.640,666.700,385.965,410.574,558.135,37.998
545.943,629.510,703.875,538.373,543.916,632.331,395.339,392.792,547.760,36.563
538.951,631.642,719.729,551.682,566.711,643.581,386.386,399.070,554.719,38.326
553.943,631.192,702.540,532.659,557.880,648.244,397.993,414.102,554.819,35.637
549.680,621.457,681.133,557.664,549.240,636.231,383.444,398.592,547.180,35.443
551.674,642.010,720.419,528.609,550.818,660.562,392.207,405.782,556.510,38.639
553.698,627.851,706.019,556.941,536.298,661.819,387.032,393.405,552.883,38.359
544.724,644.311,690.908,546.391,547.556,628.475,384.252,392.430,547.381,36.912
552.482,621.311,713.847,540.086,567.107,639.319,391.150,392.489,552.224,37.564
548.521,623.354,695.955,523.673,546.218,634.038,386.721,390.296,543.597,36.720
539.594,628.401,693.015,552.273,557.916,643.381,382.170,390.296,548.381,37.322
537.089,626.397,706.617,554.045,563.653,663.087,392.558,388.535,553.998,38.376
544.547,626.424,708.116,543.255,530.071,654.888,383.689,418.620,551.201,36.917
544.174,620.891,702.441,522.745,578.360,640.175,396.240,400.155,550.648,36.243
533.143,632.401,685.307,511.836,545.391,626.812,390.437,399.236,540.570,35.408
519.167,608.573,658.604,505.355,557.040,650.731,387.397,386.180,534.131,35.273
512.781,612.719,631.305,514.882,528.222,626.388,376.955,379.366,522.827,33.686
509.669,599.629,610.305,514.491,542.849,636.425,370.122,378.451,520.243,33.356
506.995,606.745,562.735,509.173,524.800,595.344,356.771,376.232,504.849,30.825
477.057,587.344,513.006,509.523,505.329,608.531,355.821,389.898,493.314,28.716
484.878,583.169,467.028,505.455,455.067,600.400,335.302,381.866,476.646,29.864
466.880,561.258,428.361,488.400,440.333,592.400,344.374,392.211,464.277,27.341
457.341,529.649,397.864,504.105,410.484,540.062,334.903,375.581,443.749,25.059
444.516,538.709,376.484,499.236,366.844,513.050,331.474,371.859,430.272,26.118
433.193,517.500,355.776,511.523,365.213,481.331,323.721,380.366,421.078,24.930
405.992,508.510,336.686,471.473,363.907,434.631,317.003,371.352,401.194,22.054
400.237,482.685,327.518,474.232,351.329,398.469,309.820,361.771,388.258,21.089
389.846,463.722,324.950,452.427,338.707,378.831,306.058,347.180,375.215,19.142
390.326,440.182,314.983,424.036,328.356,366.250,311.462,337.532,364.141,16.413
374.401,431.136,315.821,397.845,322.564,386.500,303.449,324.415,357.016,15.385
375.721,419.874,310.598,396.814,310.502,363.444,311.820,346.694,354.433,13.886
368.779,398.424,308.912,420.232,312.987,378.012,300.896,344.380,354.078,14.675
350.180,405.603,309.032,409.327,315.507,369.906,302.260,340.637,350.307,13.830
358.716,375.772,305.985,400.745,313.756,366.694,303.701,338.884,345.532,11.827
363.977,395.050,300.114,445.082,309.440,396.738,302.382,352.725,358.188,17.375
370.789,375.457,297.032,423.632,311.391,395.669,311.124,363.331,356.053,14.937
372.883,365.142,305.852,447.932,301.067,389.938,307.518,346.458,354.599,16.738
372.674,355.752,302.796,429.368,311.187,388.356,315.795,354.261,353.774,14.321
397.065,362.391,305.785,417.382,302.840,404.019,309.609,349.870,356.120,15.481
388.172,354.848,303.639,429.105,307.182,391.056,313.541,339.676,353.402,15.181
387.818,358.166,299.262,395.341,311.298,418.456,313.414,327.130,351.361,14.873
398.219,353.510,300.598,379.809,304.800,426.988,302.726,318.060,348.089,16.232
398.026,347.103,307.905,346.718,313.218,429.325,300.958,302.373,343.203,15.835
401.857,362.046,296.828,351.586,316.951,442.394,290.601,302.951,345.652,18.064
406.672,356.851,302.308,338.777,315.413,469.387,286.109,304.398,347.489,20.623
410.396,358.348,294.409,356.732,321.031,466.819,279.497,309.130,349.545,20.908
399.453,362.629,300.359,374.409,334.013,499.769,278.960,308.127,357.215,23.297
401.260,361.758,303.692,393.900,340.218,473.550,281.656,327.884,360.490,20.340
400.495,354.470,298.675,395.950,343.831,501.087,280.878,332.873,363.532,22.977
374.357,358.421,305.254,425.973,353.276,488.488,282.953,341.461,366.273,21.679
370.354,345.808,303.378,417.514,355.511,491.200,292.942,344.046,365.094,21.139
351.099,341.106,302.099,434.236,361.969,438.619,290.905,347.560,358.449,17.851
340.438,347.374,300.606,419.200,373.360,385.375,303.922,358.549,353.603,13.238
335.232,343.142,300.136,414.509,362.693,332.875,304.656,336.067,341.164,11.854
334.807,337.421,304.260,374.036,372.756,306.887,309.254,311.243,331.333,9.528
332.737,341.149,300.746,368.032,373.089,322.406,308.412,314.018,332.574,8.854
342.305,345.003,303.105,355.541,363.307,323.844,296.881,312.606,330.324,8.195
364.732,342.222,303.381,352.845,333.520,343.212,280.442,306.187,328.318,9.498
366.362,346.666,306.841,357.145,340.524,345.913,276.254,317.327,332.129,9.882
373.396,349.334,307.355,375.427,335.738,358.413,277.663,317.500,336.853,11.315
395.857,359.828,303.495,396.745,334.036,385.250,275.047,324.158,346.802,14.921
403.068,357.050,297.908,406.909,330.053,407.944,276.855,338.820,352.326,16.773
419.141,369.556,309.415,424.032,344.729,426.206,279.890,346.387,364.919,18.232
421.089,377.533,305.993,431.527,370.329,449.781,279.648,342.563,372.308,20.073
439.458,399.348,311.116,451.632,367.804,454.863,282.172,351.810,382.275,21.601
454.487,409.377,302.413,431.932,370.298,473.556,283.479,359.715,385.657,22.861
457.260,423.119,302.265,443.818,374.502,481.644,290.663,350.644,390.490,23.805
469.214,435.152,303.030,463.805,379.676,495.819,296.858,348.849,399.050,25.722
478.286,443.437,311.856,430.741,357.462,486.863,297.414,358.891,395.619,24.413
458.940,432.818,309.043,425.609,352.058,496.488,296.881,335.567,388.425,24.623
479.208,423.646,317.579,398.923,345.009,468.219,298.245,337.162,383.499,22.855
472.555,415.831,307.411,404.045,340.129,459.056,300.222,327.905,378.394,22.568
449.276,412.791,313.065,388.332,368.400,460.994,291.078,331.451,376.923,20.656
470.479,380.440,319.226,412.777,374.587,430.131,284.140,334.951,375.841,20.378
455.523,373.368,313.150,407.886,394.173,463.212,277.701,339.408,378.053,21.723
461.336,348.281,316.998,437.986,389.987,437.137,280.359,345.165,377.156,21.431
448.573,363.705,319.376,449.868,394.391,448.038,277.105,355.458,382.064,21.475
407.607,343.868,328.718,451.864,368.569,490.325,281.523,364.144,379.577,22.400
372.115,355.040,330.695,447.723,353.991,497.256,277.528,370.246,375.574,22.558
350.617,362.738,327.148,468.555,351.676,509.262,282.619,366.004,377.327,24.663
330.516,378.911,335.843,463.091,355.156,504.600,288.426,367.088,377.954,23.706
329.143,414.434,340.850,492.459,351.556,508.050,293.249,377.817,388.445,25.653
337.492,427.675,350.572,481.955,356.298,519.394,297.272,367.651,392.289,25.348
334.844,458.195,343.067,486.786,382.849,527.100,298.476,372.102,400.427,26.791
354.086,478.235,356.740,470.545,388.076,516.850,295.119,358.986,402.330,25.468
377.273,473.692,359.630,495.255,388.013,525.781,296.693,355.852,409.024,26.394
379.831,480.331,361.718,489.041,394.298,525.281,301.776,362.648,411.865,25.586
397.357,495.722,371.961,466.750,397.942,505.550,305.875,352.106,411.658,23.592
427.104,508.205,385.350,436.227,413.498,494.656,306.631,362.570,416.780,22.001
433.240,510.454,393.374,472.900,400.813,453.700,299.972,349.711,414.270,22.518
450.341,491.709,398.424,448.982,383.302,452.825,289.806,361.102,409.561,21.411
452.401,530.281,409.327,483.623,366.107,420.831,279.499,369.553,413.953,25.700
463.060,511.225,438.910,475.200,349.933,424.600,276.644,359.595,412.396,25.693
462.036,486.825,434.301,471.545,348.609,389.156,278.062,373.444,405.497,23.642
474.992,455.911,432.277,488.318,351.200,400.606,280.275,390.563,409.268,22.950
489.367,443.291,416.617,482.273,369.271,417.606,287.957,378.775,410.645,21.743
473.474,441.765,401.486,510.359,402.440,447.375,289.481,385.113,418.937,22.059
485.161,397.189,372.875,469.155,411.436,487.125,292.835,380.732,412.063,22.076
478.044,384.705,358.664,490.914,385.822,451.387,292.496,382.430,403.058,21.984
491.036,381.497,337.665,516.086,403.200,501.238,297.080,375.859,412.958,26.834
482.997,386.877,340.809,504.214,415.578,494.113,300.556,381.655,413.350,24.788
508.576,395.662,341.649,513.064,406.489,505.300,299.259,383.806,419.225,26.978
497.615,400.593,353.968,504.791,421.373,503.319,304.018,384.644,421.290,24.869
505.221,425.983,374.490,497.664,430.142,492.875,308.379,381.011,426.971,23.186
523.591,453.262,392.998,520.432,419.818,509.306,316.224,375.387,438.877,25.167
515.062,471.123,420.497,496.705,418.684,514.731,307.112,366.514,438.804,24.776
496.109,500.285,440.400,496.423,431.244,533.144,313.093,375.440,448.267,24.509
507.221,500.156,457.940,493.695,393.658,529.837,316.546,384.433,447.936,24.807
507.612,497.228,463.456,485.018,370.827,535.031,320.124,379.701,444.875,25.634
512.596,515.331,486.340,497.950,394.053,522.712,317.038,377.271,452.912,25.958
522.878,550.007,502.983,504.564,397.333,560.062,316.317,382.806,467.119,29.587
515.365,524.781,495.772,486.259,418.333,543.388,316.509,374.130,459.317,26.775
515.688,529.623,517.148,494.145,415.524,560.444,307.728,376.183,464.560,29.180
522.281,531.050,523.067,494.900,415.836,551.525,295.299,378.285,464.030,30.136
530.974,540.530,535.772,517.773,418.360,546.256,284.915,386.968,470.193,31.852
528.505,550.394,560.819,509.891,437.267,552.312,290.023,371.465,475.085,32.946
507.753,565.338,558.209,516.855,431.302,561.663,288.808,386.743,477.084,33.013
528.781,548.864,561.525,516.077,457.262,561.700,286.105,381.394,480.214,32.972
523.786,543.321,556.308,490.995,437.671,562.156,295.170,374.099,472.938,31.964
513.656,583.848,557.006,510.568,433.671,570.575,301.818,384.130,481.909,33.082
535.388,571.980,558.822,505.732,455.907,574.031,306.873,389.401,487.267,32.012
531.375,553.838,529.686,512.827,443.618,568.569,312.716,394.518,480.893,29.604
515.484,563.772,476.090,483.736,461.942,562.906,306.379,389.606,469.989,28.782
539.799,573.911,392.129,514.336,455.520,597.031,308.481,394.708,471.989,33.488
513.875,553.096,350.159,514.177,450.809,562.969,309.140,396.292,456.315,31.614
543.677,561.470,328.978,513.909,483.933,621.062,319.878,378.877,468.973,37.387
532.549,581.046,323.587,521.995,470.249,608.950,320.050,393.782,469.026,37.076
557.583,577.199,326.682,530.691,495.880,590.450,320.093,390.426,473.626,36.925
540.104,598.940,329.424,519.527,480.960,600.869,318.646,396.398,473.109,37.343
533.773,567.589,346.179,518.186,496.671,567.494,331.311,401.676,470.360,31.958
537.195,575.490,364.587,516.691,493.249,596.006,323.554,392.813,474.948,33.672
547.135,594.887,411.705,531.464,483.267,609.156,321.993,400.570,487.522,33.665
547.693,596.586,424.948,532.200,495.889,597.987,323.843,388.613,488.470,33.135
534.747,569.248,451.527,525.459,499.716,622.656,330.573,386.630,490.070,31.823
529.938,572.646,473.361,531.245,472.169,588.525,334.818,396.060,487.345,28.853
550.081,590.517,495.293,521.823,467.929,581.156,332.689,397.401,492.111,29.800
533.078,580.762,501.335,523.927,498.022,614.263,336.419,393.968,497.722,30.417
537.125,623.987,510.705,538.095,503.644,638.812,341.608,392.743,510.840,33.831
535.346,607.232,512.991,533.936,525.124,634.881,342.997,393.768,510.784,32.571
547.992,605.980,546.409,535.218,500.004,603.906,343.481,384.067,508.382,31.894
555.081,592.632,547.417,532.314,525.516,576.438,337.384,383.613,506.299,30.891
545.555,596.632,563.527,527.027,504.982,614.763,336.005,415.585,513.009,31.135
542.099,595.050,572.185,540.395,509.778,598.844,348.746,403.528,513.828,30.148
543.271,608.546,564.200,499.073,481.049,620.269,346.653,378.570,505.204,33.224
544.312,599.675,581.333,525.227,507.871,617.800,349.599,394.697,515.064,31.865
543.742,596.523,593.193,506.186,502.293,604.569,352.487,398.208,512.150,31.083
546.818,601.070,583.787,537.555,517.947,603.844,348.856,391.739,516.452,31.707
553.521,627.351,593.607,550.000,505.453,636.862,344.800,392.345,525.492,35.263
556.188,613.864,596.224,547.218,512.604,658.913,348.649,403.729,529.674,34.945
539.122,626.026,603.673,538.682,516.138,618.294,349.997,411.951,525.485,32.827
532.039,596.613,628.699,532.591,518.053,621.913,354.808,398.954,522.959,33.131
551.430,617.103,607.243,551.505,522.222,639.519,355.918,400.254,530.649,33.927
555.096,630.715,617.626,527.541,541.120,629.156,355.523,402.623,532.425,34.240
534.167,599.113,618.150,515.577,529.360,628.131,356.242,378.053,519.849,34.200
541.706,611.060,619.966,539.295,522.262,633.894,356.526,384.599,526.163,34.654
544.260,611.550,626.516,542.541,520.320,617.300,356.554,398.342,527.173,33.400
535.188,607.656,624.219,523.036,506.618,622.950,352.770,395.289,520.966,33.790
545.141,616.460,625.411,533.323,525.836,648.575,355.636,399.218,531.200,34.998
