0001-0072-0197,0001-0135-0221,0001-0053-0078,0001-0069-0141,0001-0031-0146,0075-0005-0120,0075-0012-0134,0075-0018-0124,0075-0037-0127,0075-0055-0177,0001-0051-0194,0001-0094-0126,0001-0106-0097,0001-0136-0090,0001-0184-0111,0001-0217-0119,0133-0146-0150,0133-0139-0138,0133-0125-0164,0133-0176-0164,0133-0189-0158,0073-0183-0212,0073-0177-0183,0073-0159-0166,0073-0187-0053,0047-0177-0061,0047-0162-0053,0047-0176-0031,0040-0152-0093,0330-0248-0118,0350-0238-0158,0375-0211-0040,0336-0240-0021,Average,Err
549.829,276.567,271.246,318.340,235.453,274.755,290.862,289.768,302.000,339.815,258.014,253.020,352.816,268.775,264.566,260.484,258.928,273.062,374.913,242.853,285.464,415.900,384.974,292.335,309.578,313.905,239.030,244.732,452.535,278.043,267.469,280.714,235.757,301.712,11.726
468.422,273.303,274.520,309.335,249.045,300.381,278.436,297.753,291.905,336.320,276.469,239.672,333.695,254.047,287.107,259.815,250.351,276.665,421.507,235.633,293.764,397.585,349.289,307.872,366.857,309.659,241.316,245.991,405.600,276.249,261.238,286.263,240.534,299.897,9.834
408.709,274.175,273.262,327.316,236.477,350.136,281.600,290.828,308.862,330.506,274.748,240.836,354.737,258.398,276.008,253.520,255.722,299.019,431.297,239.610,286.543,382.580,359.921,345.866,361.299,266.151,253.797,250.557,385.195,324.735,264.354,330.211,236.096,303.426,9.206
380.050,290.156,275.600,320.476,251.475,403.340,324.451,309.359,285.386,399.624,336.796,253.973,363.637,261.230,265.484,271.196,244.753,245.696,437.109,236.944,273.943,372.475,344.753,303.030,359.416,243.143,253.579,244.214,363.025,375.447,268.654,385.466,235.216,308.457,10.094
367.497,294.646,276.441,362.825,254.024,478.415,381.405,388.071,301.648,485.011,317.218,251.452,373.300,247.827,283.057,256.891,248.763,267.689,446.623,224.893,286.964,357.840,340.989,302.146,343.701,244.262,251.579,239.229,346.265,385.245,251.131,399.308,234.432,317.903,12.383
351.342,289.274,280.694,375.442,258.064,471.197,426.759,523.273,329.733,493.264,357.442,257.773,330.795,244.063,272.164,261.793,254.402,271.950,499.949,238.497,263.186,343.710,321.874,292.518,364.097,243.778,243.586,249.066,317.445,403.209,250.138,398.489,241.388,324.859,14.377
345.136,325.898,280.145,455.723,252.677,441.347,486.169,530.449,340.762,567.691,345.218,244.559,360.989,268.555,267.746,262.393,255.082,285.950,543.920,229.763,281.207,347.795,303.605,313.793,335.948,237.913,247.414,244.958,312.625,423.209,252.377,407.098,242.511,334.564,16.496
345.854,359.933,279.082,473.879,269.651,430.231,427.610,553.581,348.410,560.253,311.129,240.545,330.174,262.414,258.746,261.367,239.247,280.584,612.435,223.667,282.336,402.090,307.284,289.012,328.558,242.317,252.128,241.361,277.280,434.802,266.046,390.752,242.227,334.090,17.551
330.432,337.347,286.051,497.015,273.704,393.347,407.621,518.611,357.995,520.455,313.497,239.656,322.447,259.592,276.492,264.727,259.505,271.447,670.710,246.130,274.579,383.230,307.600,249.878,320.214,245.087,257.992,235.220,256.835,455.154,274.785,382.820,266.447,332.019,17.483
356.583,296.596,296.572,519.544,282.536,359.095,365.190,446.278,346.605,488.219,294.483,257.659,305.821,247.257,293.918,255.705,255.691,276.429,640.159,256.181,286.321,411.450,285.547,257.195,298.844,241.484,256.158,254.919,249.455,461.601,278.446,367.835,285.619,326.527,15.978
345.266,283.599,296.168,491.733,280.661,323.231,322.385,389.732,332.324,480.770,272.544,252.023,296.989,249.487,252.410,264.233,244.320,262.422,587.565,234.333,268.614,400.915,264.679,280.665,295.448,233.127,253.203,240.873,247.470,450.348,274.177,336.579,289.815,312.064,14.489
320.166,296.631,307.846,486.646,273.837,282.844,309.538,330.404,326.267,421.792,268.524,307.548,309.747,270.937,283.164,273.716,254.361,260.733,592.362,244.192,283.421,401.725,247.532,245.732,262.435,250.008,265.872,241.482,242.875,411.281,268.208,312.541,289.872,307.401,13.137
342.327,288.338,320.534,419.573,259.405,278.714,278.923,292.404,318.533,377.938,263.395,387.896,266.579,253.874,283.984,264.036,249.082,270.621,524.688,235.808,268.571,392.025,259.768,248.037,249.864,227.238,256.880,247.410,265.410,416.889,287.154,272.038,293.874,298.843,11.322
346.809,295.102,347.584,382.005,257.667,277.374,290.513,283.773,305.486,334.719,266.912,400.211,305.484,240.869,270.967,267.593,252.804,274.329,510.870,228.972,281.507,408.930,233.526,253.226,226.721,256.825,275.120,233.108,264.610,432.664,280.462,241.323,285.318,297.375,11.251
367.864,302.866,403.242,318.835,250.717,298.537,301.492,275.505,303.381,325.213,271.238,420.672,289.826,263.429,289.008,269.335,245.082,284.180,499.935,253.136,259.621,423.175,239.547,261.409,242.669,242.222,260.594,235.858,260.575,387.755,272.069,269.376,276.105,298.923,10.858
