0001-0049-0053,0001-0079-0227,0001-0132-0215,0001-0146-0232,0001-0156-0159,0001-0224-0241,0001-0209-0103,0001-0171-0060,0001-0158-0056,0001-0120-0053,0059-0127-0028,0059-0113-0028,0059-0180-0036,0059-0191-0025,0059-0176-0016,0059-0214-0012,0090-0159-0019,Average,Err
266.287,276.196,262.794,269.310,237.818,280.182,262.848,262.398,249.947,229.981,400.123,301.955,249.541,245.337,233.930,216.581,249.784,264.412,9.552
275.357,287.428,275.628,280.210,231.763,295.741,248.921,254.596,240.300,232.709,356.531,291.321,262.772,233.519,242.973,208.205,247.553,262.678,8.111
266.586,279.683,260.861,412.198,233.141,287.615,251.667,262.285,236.821,251.538,340.522,293.562,263.865,237.462,258.103,212.124,256.286,270.842,10.880
267.295,290.109,271.211,411.706,228.265,280.903,253.733,261.122,242.381,236.297,310.925,260.277,277.480,246.779,250.173,215.891,240.912,267.380,10.359
267.522,315.401,261.961,403.460,231.529,260.773,254.211,264.370,235.938,231.209,324.105,280.027,263.826,235.091,262.919,208.245,254.187,267.928,10.650
275.312,329.999,264.000,387.730,231.598,262.883,249.396,250.138,240.888,260.443,313.518,277.991,251.655,237.952,233.265,219.220,251.663,266.921,9.884
276.132,302.529,266.150,329.323,240.021,265.789,254.096,265.545,238.952,243.367,311.140,260.384,261.630,240.514,234.346,208.992,261.656,262.386,7.033
272.253,302.013,271.011,290.315,238.787,262.992,258.624,268.172,243.440,230.500,323.662,261.188,263.779,235.846,234.665,218.384,249.037,260.275,6.382
270.937,293.397,270.050,269.565,239.543,252.749,253.046,258.122,254.479,251.949,301.877,265.089,269.167,248.529,243.757,215.389,252.048,259.394,4.688
265.128,284.489,261.633,250.702,236.677,256.826,250.957,248.411,230.804,249.646,307.518,293.098,253.203,236.510,231.714,200.866,241.048,252.896,5.939
282.157,284.486,268.150,241.141,237.320,259.227,246.611,245.439,237.675,242.120,307.013,256.616,273.609,243.303,228.643,210.386,256.172,254.122,5.516
271.192,296.761,258.072,254.738,238.038,253.737,247.228,252.078,231.756,238.430,294.193,276.741,254.772,245.298,251.995,212.492,250.216,254.573,4.966
269.219,295.207,260.767,259.319,230.247,267.575,251.901,243.483,227.779,231.804,304.215,292.098,248.103,240.856,242.811,224.169,251.044,255.329,5.649
273.507,287.167,266.700,239.585,235.344,276.389,245.356,252.564,227.255,238.342,291.447,283.938,253.758,233.606,239.357,227.937,252.960,254.424,5.041
281.451,284.390,249.517,256.306,232.131,286.737,245.835,249.304,243.204,263.418,280.404,272.911,251.658,241.716,239.935,239.043,232.260,255.895,4.398
277.407,291.130,280.706,255.871,233.234,263.073,242.356,247.715,241.412,240.652,311.961,284.393,267.947,233.135,225.616,241.886,248.619,258.065,5.667
302.240,297.070,291.039,253.435,237.065,268.781,268.277,263.470,241.417,238.266,321.355,286.116,264.804,242.308,251.827,241.831,259.264,266.386,5.927
360.308,301.568,262.106,257.649,238.588,259.583,277.363,258.091,239.333,234.722,284.298,270.929,274.295,237.870,242.032,247.692,268.480,265.583,7.216
390.301,289.248,273.967,248.694,234.237,291.040,279.802,283.846,249.577,223.475,322.939,299.571,278.488,246.928,254.816,255.207,255.300,275.143,9.189
355.259,278.178,263.606,267.548,238.869,267.960,273.386,294.931,294.331,232.247,302.746,280.500,281.267,256.144,254.276,243.813,260.300,273.257,6.798
315.120,266.186,273.111,243.065,241.708,287.543,276.102,303.461,291.647,233.392,320.754,258.812,287.530,248.361,261.173,238.154,267.366,271.381,6.281
279.052,270.273,267.944,258.512,252.148,288.377,297.977,301.953,285.885,256.101,316.004,270.848,287.811,267.750,261.292,239.664,244.172,273.280,4.937
262.453,265.698,266.572,254.903,236.746,288.866,284.389,306.489,286.605,237.722,342.623,267.036,306.071,271.827,264.449,238.702,285.846,274.529,6.479
256.645,264.403,272.694,253.702,237.832,276.121,288.941,302.069,254.552,242.937,308.833,285.330,268.566,261.721,270.827,237.455,258.755,267.140,4.841
262.773,270.946,267.122,256.427,242.739,291.947,289.696,295.207,257.936,233.709,323.373,244.652,284.413,252.183,308.319,231.402,266.198,269.355,6.152
249.813,259.967,277.572,254.121,243.625,292.332,288.208,280.317,241.232,240.165,322.329,292.491,299.964,260.149,282.589,235.273,264.777,269.701,5.822
249.734,264.275,256.911,255.190,242.048,296.089,288.736,287.555,252.986,226.386,315.417,287.598,297.370,278.178,260.265,221.558,267.938,267.543,6.079
251.209,263.939,241.939,240.847,242.192,303.543,298.033,290.295,244.076,236.411,328.912,267.455,312.762,277.644,271.216,242.505,266.597,269.387,6.720
246.099,271.812,254.600,256.117,236.821,291.607,291.891,297.201,244.552,245.601,318.811,272.411,293.335,276.115,276.130,239.932,265.110,269.303,5.569
244.283,262.929,257.639,266.298,247.976,289.012,295.116,289.433,245.496,235.424,305.548,264.205,292.285,286.894,259.476,232.369,258.828,266.659,5.284
251.532,276.763,266.683,261.964,244.519,283.219,284.026,291.423,250.675,226.316,323.412,276.339,279.986,258.399,263.497,227.076,262.527,266.374,5.602
265.710,273.139,258.394,245.121,243.003,272.818,272.891,275.022,246.459,257.158,310.803,254.741,295.854,250.389,244.103,215.038,262.535,261.363,5.162
259.685,270.269,261.183,259.387,231.155,266.696,277.046,264.508,239.160,229.108,311.360,280.071,268.406,251.317,255.389,213.510,247.949,258.012,5.304
271.415,284.237,285.183,257.782,236.430,272.291,260.700,280.489,242.916,248.133,309.197,273.152,274.167,240.928,239.849,206.593,255.326,261.105,5.683
269.540,282.677,273.000,251.641,243.784,255.866,258.429,261.909,245.109,231.025,300.316,264.286,269.961,254.341,242.659,218.051,248.769,257.139,4.562
275.050,291.393,263.683,380.819,236.742,266.794,254.531,254.361,239.303,256.842,290.654,291.884,260.096,233.947,250.324,221.270,259.967,266.333,8.413
277.563,289.419,262.100,427.198,239.223,277.227,251.865,258.229,249.546,245.481,297.996,298.991,258.715,238.630,242.886,211.765,254.769,269.506,10.971
281.859,285.298,263.467,401.690,249.268,287.243,243.162,262.229,244.681,254.633,298.325,293.911,252.996,250.769,240.124,217.902,247.846,269.141,9.533
272.372,298.514,273.100,382.871,235.333,295.526,251.244,250.517,248.190,230.829,308.623,283.295,253.883,233.260,245.530,212.260,248.824,266.128,9.406
273.705,300.391,261.528,348.343,235.660,285.700,256.521,246.317,243.171,245.070,299.539,284.366,248.705,226.986,245.762,207.384,245.106,262.015,7.910
271.667,285.862,281.822,303.702,234.361,298.182,251.878,250.881,244.350,261.190,298.154,291.786,247.185,242.038,243.973,208.505,245.026,262.386,6.360
268.922,291.529,268.456,268.379,229.096,353.040,244.096,253.103,244.272,243.646,357.904,391.804,264.623,241.534,234.070,215.864,239.692,271.178,11.746
264.493,283.990,279.456,262.113,232.144,347.215,248.304,259.972,242.532,252.101,445.136,535.232,260.171,225.130,251.254,211.331,261.930,286.030,19.690
277.341,291.596,257.772,276.613,233.172,309.121,248.083,267.078,235.157,234.025,563.667,492.714,246.270,237.111,229.935,207.010,258.608,286.193,22.425
267.391,296.393,263.706,249.452,246.179,275.008,250.914,261.298,240.143,233.380,621.741,583.696,261.078,237.370,232.670,210.876,243.557,292.638,27.876
270.245,302.323,269.617,248.690,248.014,255.154,254.165,262.135,227.092,249.133,584.504,508.366,265.537,228.245,251.405,211.250,241.685,286.915,23.678
281.136,308.685,276.300,260.073,245.450,291.340,250.686,241.978,248.165,252.576,589.996,491.312,271.288,237.077,223.622,208.833,259.516,290.473,23.240
273.249,309.333,255.506,248.036,250.787,276.215,254.713,255.890,235.289,254.557,569.259,476.732,261.466,226.933,239.816,209.679,245.864,284.901,22.019
278.669,317.246,288.622,253.528,238.787,261.769,255.211,262.433,227.364,245.380,554.649,418.821,281.409,232.312,253.330,215.088,242.934,283.974,19.695
281.967,315.209,270.411,240.996,236.326,258.866,258.653,246.041,239.499,248.753,558.022,418.777,256.523,243.183,238.346,207.598,239.824,279.941,20.077
271.649,301.991,277.367,256.524,235.478,263.190,251.472,250.627,235.810,258.943,514.254,379.839,271.484,247.188,251.800,216.987,251.623,278.602,16.531
364.549,308.480,263.800,258.617,272.344,771.032,456.957,472.953,445.034,251.614,496.237,336.696,458.730,353.457,258.886,273.470,275.919,371.693,31.750
692.067,606.950,753.772,592.681,517.842,827.287,559.264,581.223,518.345,582.519,563.763,345.375,674.071,532.851,533.011,352.414,602.549,578.587,28.440
673.561,549.114,743.028,614.060,558.570,767.563,593.439,619.125,489.930,546.911,575.105,357.027,703.904,508.764,572.027,344.205,545.168,574.206,26.987
618.716,496.551,730.189,582.871,533.859,764.810,545.277,590.329,439.493,586.595,617.333,627.768,652.495,496.562,543.335,325.737,538.352,570.016,24.278
601.014,476.881,743.767,562.718,551.801,750.008,569.703,556.191,450.361,561.196,638.224,618.982,662.139,497.346,512.595,337.109,484.476,563.206,24.402
557.946,454.492,713.811,571.222,570.546,741.271,540.749,524.953,449.263,569.449,706.338,603.152,595.957,501.683,489.389,325.588,448.495,550.841,25.009
556.564,438.681,723.839,544.020,545.027,732.425,519.620,506.176,435.232,554.563,739.162,582.893,574.278,506.486,480.097,329.995,454.469,542.560,25.832
538.687,416.377,709.956,544.742,548.636,702.628,530.017,520.671,413.678,531.095,725.316,536.205,528.665,454.856,450.951,333.194,436.582,524.839,25.399
546.734,418.737,678.317,508.899,509.715,701.320,519.967,502.273,426.739,523.741,731.667,506.330,547.007,426.673,493.384,300.788,413.813,515.065,25.790
542.095,421.193,688.278,477.810,557.347,723.332,513.759,495.530,413.465,465.203,693.048,537.670,532.281,458.423,445.411,309.520,419.458,511.401,25.708
533.244,393.011,648.383,443.480,535.962,704.522,525.257,512.348,435.325,522.804,693.307,515.964,525.270,454.702,473.643,317.747,412.861,508.696,24.032
523.070,411.642,687.156,505.641,504.010,662.927,503.818,483.918,418.174,486.095,677.855,477.634,515.445,448.779,447.589,308.278,402.513,497.914,23.607
526.773,413.689,640.800,484.770,512.467,677.883,500.505,492.467,432.734,484.437,697.873,538.152,508.399,455.803,483.919,304.369,434.396,505.261,22.770
530.667,409.483,636.522,460.895,495.729,663.008,539.838,526.966,411.826,449.222,680.303,546.089,529.157,451.053,445.876,296.955,422.982,499.798,23.273
522.415,412.873,646.356,442.810,480.766,624.421,482.848,507.539,421.048,494.614,690.136,548.134,501.160,422.625,427.395,305.634,430.179,491.821,22.514
536.411,425.087,661.611,435.556,462.983,598.838,466.020,507.254,420.843,463.741,678.241,535.295,505.601,422.990,444.886,299.220,403.696,486.369,22.444
538.702,428.668,623.789,435.601,484.536,622.215,500.155,484.545,408.350,483.937,682.728,523.616,471.961,422.385,417.454,295.934,396.696,483.604,22.434
544.670,424.207,630.272,432.536,462.213,647.502,512.205,511.429,410.252,460.778,647.390,556.250,483.972,424.918,438.670,294.298,395.593,486.892,22.565
531.639,443.720,605.489,406.040,464.931,637.652,493.736,524.856,422.720,464.797,737.057,589.205,501.164,426.135,451.546,296.139,397.659,493.793,24.643
537.515,429.342,583.500,405.060,455.904,627.470,512.904,496.505,399.417,459.981,667.531,553.107,505.815,435.558,449.119,292.167,402.282,483.128,21.855
529.433,442.047,586.572,413.165,463.656,633.563,525.175,498.361,415.849,449.861,695.768,577.250,494.416,404.178,446.351,289.692,433.238,488.151,22.883
519.575,432.027,608.439,420.565,454.715,651.494,508.119,506.718,426.902,458.475,683.127,580.438,510.612,436.476,451.405,293.255,408.502,491.226,22.901
524.620,426.470,592.467,421.585,444.392,599.279,518.574,532.536,410.675,471.177,726.921,541.080,500.014,425.601,441.000,291.232,390.912,485.796,23.391
518.854,416.498,551.506,408.073,429.309,626.939,500.581,515.157,407.686,455.943,689.338,519.500,497.121,433.442,428.816,283.394,419.648,476.577,22.011
496.299,435.301,574.994,380.863,450.742,630.409,527.818,529.179,402.936,461.139,683.004,553.875,490.616,446.649,439.897,292.717,405.260,482.453,22.450
506.170,428.892,512.956,401.621,428.162,633.769,532.380,512.818,400.249,447.335,687.671,575.902,504.071,425.413,423.016,289.505,391.363,476.547,22.872
493.579,424.772,555.322,409.460,442.955,619.231,533.155,531.639,422.006,423.709,719.285,537.661,481.463,438.274,414.314,283.119,428.194,479.890,23.140
487.585,411.620,526.283,379.556,426.845,635.219,551.733,536.520,415.476,457.323,740.118,550.170,515.594,421.760,452.157,295.510,394.070,482.208,24.696
487.281,405.882,601.850,387.867,432.921,623.372,524.234,526.169,412.375,437.519,708.342,510.125,491.591,418.500,435.984,292.220,379.165,475.023,23.969
481.868,403.416,573.422,381.109,407.763,602.008,540.043,536.530,413.395,456.310,721.544,534.625,491.121,439.529,429.697,280.982,402.670,476.237,24.056
483.987,403.154,544.933,383.927,410.296,613.474,508.673,509.705,412.056,444.456,701.987,524.857,500.534,417.591,424.903,282.581,387.183,467.900,23.037
469.038,413.552,526.106,370.266,443.227,631.093,559.508,495.737,407.972,447.791,710.232,511.634,484.477,407.173,394.859,285.480,395.780,467.878,23.872
460.177,384.439,548.117,361.077,425.299,565.433,532.142,508.806,386.840,464.551,676.776,526.179,469.456,433.812,447.832,282.129,399.264,463.078,21.693
461.394,395.391,552.044,381.782,427.162,611.518,520.241,480.890,404.980,421.070,678.404,505.866,462.100,414.418,402.773,280.962,387.919,458.171,22.304
455.253,394.161,559.206,370.944,402.447,617.178,499.795,496.075,389.888,436.709,687.465,535.652,492.826,418.750,427.384,269.184,377.857,460.634,23.745
437.735,393.323,533.122,361.173,408.021,573.717,514.950,489.843,370.602,436.209,714.057,495.562,471.584,409.894,427.319,282.278,376.788,452.716,23.180
444.061,391.820,552.583,359.339,404.430,581.672,510.736,481.172,381.532,408.576,672.145,482.482,472.381,386.361,406.714,267.838,364.850,445.217,22.745
452.382,386.596,521.211,359.419,417.801,568.202,448.574,487.871,367.695,426.234,611.974,509.491,425.310,380.106,425.876,267.545,337.689,434.940,20.291
