0383-0244-0015,0383-0239-0038,0383-0187-0150,0383-0224-0175,0383-0193-0180,0383-0186-0197,0383-0021-0204,0383-0241-0187,Average,Err
246.367,263.083,281.538,403.436,299.613,349.887,440.254,262.380,318.320,23.773
249.466,255.450,300.265,398.332,301.124,353.700,431.224,258.018,318.447,22.828
238.089,253.950,293.267,400.177,289.436,338.462,413.988,260.532,310.988,22.083
247.568,258.964,287.030,389.105,291.387,350.744,425.943,253.345,313.011,22.317
257.323,271.053,286.290,364.850,303.556,341.381,405.534,255.690,310.710,18.097
244.570,273.579,292.634,370.477,314.120,339.906,407.710,258.018,312.627,18.822
241.680,275.421,288.987,391.068,296.591,336.137,399.644,260.771,311.287,19.440
243.992,251.318,285.985,385.532,310.587,366.850,392.040,255.718,311.503,20.530
238.503,261.606,282.744,384.182,317.213,338.725,392.134,257.944,309.131,19.376
243.375,267.990,289.398,383.009,288.813,370.994,397.796,255.173,312.069,20.466
244.513,265.298,286.204,368.800,290.173,348.975,397.212,254.599,306.972,18.885
247.323,266.675,286.430,377.159,291.018,336.194,382.606,267.246,306.831,17.201
238.880,257.798,284.441,413.300,307.369,370.250,382.775,258.806,314.202,21.837
245.036,279.493,287.056,407.532,296.667,337.863,392.803,255.056,312.688,20.141
246.023,264.947,280.692,407.136,308.862,364.744,407.731,258.222,317.295,22.087
251.458,262.341,288.789,382.050,289.569,334.450,402.245,257.120,308.503,19.220
245.680,264.487,288.871,383.909,296.120,365.631,389.780,254.919,311.175,19.682
244.388,266.818,290.426,390.291,298.084,359.844,399.287,253.180,312.790,20.450
250.026,268.315,299.409,382.600,286.422,374.656,407.730,253.349,315.313,20.912
250.932,269.907,270.467,376.391,310.764,327.569,406.962,257.338,308.791,19.178
242.758,266.391,279.355,407.005,296.840,345.450,424.825,253.694,314.540,23.181
240.073,268.460,290.039,389.277,293.009,350.744,409.940,258.817,312.545,20.843
241.839,261.543,295.598,401.636,296.218,345.331,417.098,269.514,316.097,21.596
249.234,267.464,288.396,411.127,292.720,354.781,425.297,265.602,319.328,22.731
246.388,268.967,287.602,410.800,314.751,384.475,415.172,275.835,325.499,22.454
247.570,264.719,287.232,407.645,306.738,339.512,400.376,267.106,315.112,20.418
255.411,253.685,297.684,383.264,288.809,359.650,412.119,267.384,314.751,20.405
252.719,259.861,292.241,392.023,303.418,354.044,391.950,257.141,312.924,19.471
253.750,265.248,290.817,386.005,293.916,353.931,396.806,256.327,312.100,19.317
249.760,263.974,296.006,370.082,302.982,360.331,412.319,259.799,314.407,19.752
250.839,258.675,292.239,383.791,284.636,333.988,394.187,251.394,306.219,19.171
252.641,256.301,300.607,398.559,305.564,363.462,382.596,267.320,315.881,19.283
249.109,269.536,291.809,400.509,284.636,360.944,393.851,269.933,315.041,19.976
245.909,269.722,294.204,400.759,299.258,352.269,386.053,253.398,312.696,19.783
249.346,260.573,296.632,402.923,296.818,361.731,393.230,265.951,315.900,20.300
242.044,258.689,291.615,407.077,290.711,351.188,379.202,267.926,311.056,20.012
250.135,253.454,292.761,392.045,290.556,359.256,386.003,254.542,309.844,19.948
251.029,264.834,287.006,408.477,297.569,341.113,391.224,256.982,312.279,20.246
252.646,259.722,286.968,399.686,295.387,359.344,381.942,259.996,311.961,19.639
244.451,256.914,288.979,391.682,282.973,357.087,401.953,252.912,309.619,21.246
251.154,270.328,285.493,404.095,294.498,344.500,413.978,254.380,314.803,21.521
245.927,265.732,289.550,398.300,294.707,373.706,405.551,266.327,317.475,21.346
251.602,288.957,289.680,407.327,297.280,356.694,425.915,247.141,320.574,22.560
247.615,272.026,284.643,407.386,287.458,333.169,417.129,262.507,313.992,21.691
256.276,274.864,296.196,373.050,297.884,339.375,420.321,267.296,315.658,18.971
263.714,290.682,287.234,388.155,296.084,350.288,423.404,270.342,321.238,19.518
275.018,302.060,303.893,400.509,307.778,382.381,433.858,264.947,333.806,20.765
274.107,309.053,322.735,451.309,323.378,335.087,421.087,286.144,340.362,20.828
327.094,406.725,817.779,1024.545,644.898,364.244,451.334,612.813,581.179,80.674
590.250,630.911,990.065,1476.155,798.431,602.013,510.095,677.077,784.375,104.754
