0001-0119-0076,0001-0101-0071,0001-0118-0022,0001-0104-0200,0001-0086-0168,0001-0200-0024,0001-0172-0181,0001-0250-0193,0001-0184-0241,0001-0145-0212,Average,Err
1790.754,1244.564,532.396,1144.388,515.852,567.535,415.271,449.047,491.174,323.003,747.398,143.897
1771.258,1226.896,528.668,1166.190,515.962,530.910,418.377,434.949,507.980,334.822,743.601,142.658
1758.249,1235.606,528.973,1187.424,538.169,526.743,409.965,444.034,521.866,332.485,748.351,142.227
1728.372,1251.136,541.789,1178.394,519.797,545.052,422.042,435.470,510.934,333.802,746.679,140.249
1739.744,1225.386,508.500,1167.635,516.930,546.427,408.278,435.051,505.039,330.783,738.377,140.871
1756.841,1231.019,524.289,1161.712,525.887,542.698,423.088,454.873,520.081,323.565,746.405,140.972
1727.432,1246.633,555.023,1144.077,516.805,561.465,423.627,468.758,521.042,326.309,749.117,137.942
1711.604,1238.987,548.809,1146.051,508.366,566.288,418.387,447.157,512.711,325.471,742.383,137.510
1757.592,1264.149,520.826,1161.092,509.985,551.917,414.310,448.623,515.968,322.084,746.654,142.802
1724.377,1243.186,544.037,1172.260,519.916,556.007,427.496,452.780,519.447,330.003,748.951,138.774
1775.638,1216.614,527.601,1170.843,545.410,538.493,425.236,453.220,522.597,332.886,750.854,141.494
1754.903,1256.471,540.362,1171.802,525.151,556.382,432.423,466.203,500.949,326.187,753.083,141.393
1760.495,1255.676,542.399,1171.972,530.578,517.378,424.771,455.106,509.213,339.836,750.742,142.097
1781.048,1215.199,518.074,1204.250,513.962,565.069,417.489,461.381,507.465,332.852,751.679,143.394
1760.643,1240.606,541.493,1191.865,529.404,552.809,417.701,450.436,512.807,337.081,753.484,141.956
1812.101,1264.332,541.799,1209.923,533.573,559.333,424.810,448.831,519.526,339.621,765.385,146.502
1749.691,1262.955,524.161,1174.522,509.997,556.993,415.905,444.538,504.927,326.699,747.039,142.571
1788.541,1221.907,553.272,1162.407,521.953,553.764,435.025,475.453,526.609,323.103,756.203,141.665
1761.676,1217.066,545.765,1168.433,513.442,562.375,415.574,431.695,508.403,329.440,745.387,141.343
1736.966,1230.335,545.205,1177.388,527.270,538.042,424.933,464.809,521.472,327.248,749.367,139.352
1773.536,1262.915,557.188,1182.262,517.331,578.750,437.754,462.771,518.685,325.777,761.697,142.489
1786.082,1205.819,547.168,1184.342,538.142,550.094,420.264,468.119,529.753,341.474,757.126,141.384
1737.768,1242.178,543.513,1207.311,515.250,528.556,432.570,459.686,508.037,323.050,749.792,141.411
1788.684,1278.404,547.396,1185.096,529.055,523.781,423.982,461.568,505.364,334.022,757.735,145.265
1782.645,1265.582,524.594,1197.124,530.744,556.823,433.852,442.441,517.403,322.969,757.418,144.871
1779.896,1263.617,537.799,1175.955,521.067,545.156,430.817,449.297,505.191,334.306,754.310,143.881
1755.432,1232.364,535.768,1181.831,539.422,557.882,430.746,462.708,530.511,325.008,755.167,140.363
1741.186,1274.112,536.903,1211.039,526.802,560.462,425.377,455.042,522.521,329.811,758.325,142.156
1757.937,1266.330,557.829,1206.647,511.137,530.878,424.577,472.267,506.465,328.192,756.226,143.281
1770.227,1239.774,549.010,1193.459,528.616,552.292,432.951,436.758,516.917,325.532,754.554,142.788
1776.104,1219.191,536.094,1179.942,531.672,573.875,410.613,455.941,515.966,338.206,753.760,141.710
1768.551,1264.210,553.460,1208.562,509.730,551.938,429.877,482.335,514.831,330.178,761.367,143.252
1745.048,1280.508,550.765,1177.904,549.285,548.771,433.958,464.242,516.822,333.752,760.105,140.829
1780.355,1244.290,545.168,1208.032,549.061,541.493,432.303,475.627,517.729,332.354,762.641,142.988
1754.841,1240.862,536.379,1210.219,526.015,567.413,413.070,457.911,518.812,339.451,756.497,141.845
1781.290,1246.827,543.966,1194.337,519.058,545.924,420.595,449.407,508.861,331.557,754.182,144.125
1774.773,1253.293,548.017,1178.336,529.968,548.486,430.243,452.792,517.936,326.167,756.001,142.845
1769.942,1239.207,525.161,1186.244,523.631,527.424,421.514,457.602,514.296,344.142,750.916,142.651
1800.060,1298.854,551.674,1188.150,518.892,571.073,417.137,471.623,516.413,321.540,765.542,146.445
1757.860,1268.096,511.795,1178.094,535.180,575.819,438.197,445.568,508.381,335.582,755.457,142.142
1729.976,1220.024,543.369,1137.978,525.709,539.698,401.264,452.500,513.024,331.412,739.496,138.182
1768.802,1209.130,558.628,1153.408,514.503,530.181,424.380,455.733,510.941,331.006,745.671,140.607
1749.517,1243.750,524.097,1157.949,517.131,549.295,421.539,456.966,505.482,338.827,746.455,140.615
1740.623,1198.253,536.537,1140.805,511.567,540.785,406.275,453.852,503.557,330.791,736.304,138.623
1757.331,1237.032,536.356,1134.045,505.038,558.993,427.430,451.919,515.663,324.758,744.856,140.354
1787.143,1233.197,536.903,1146.663,513.988,552.767,421.947,461.890,523.005,324.989,750.249,142.453
1739.300,1241.293,541.047,1185.083,525.750,549.403,418.620,451.674,512.963,335.084,750.022,140.382
1775.681,1253.508,547.554,1175.743,511.189,554.951,412.447,473.271,514.836,329.844,754.902,143.003
1753.944,1248.904,550.671,1189.411,542.532,553.802,434.901,462.085,519.582,321.557,757.739,141.046
1805.481,1283.223,542.487,1234.490,532.366,545.014,415.687,469.606,497.709,338.451,766.451,147.860
1767.597,1257.822,523.517,1181.061,513.820,556.663,425.676,465.568,517.504,326.816,753.604,142.925
1787.824,1217.059,545.453,1183.871,522.323,542.354,433.908,454.153,513.315,332.719,753.298,142.749
1783.389,1240.316,547.332,1194.442,531.608,538.580,411.782,465.623,507.408,342.173,756.265,143.504
1795.150,1247.261,536.983,1194.169,531.017,529.924,419.137,468.606,519.049,336.348,757.764,144.608
1764.783,1248.035,541.876,1182.158,533.541,543.059,420.736,460.364,533.276,326.150,755.398,141.993
1742.870,1259.112,520.295,1197.801,542.247,524.618,415.996,450.424,525.156,329.287,750.781,142.165
1770.700,1269.513,554.765,1188.381,527.541,538.132,427.264,454.199,517.279,340.568,758.834,143.146
1721.821,1253.080,529.030,1181.656,523.797,543.604,436.482,462.004,503.034,334.669,748.918,139.326
1749.077,1255.027,532.144,1174.192,520.488,555.535,417.423,460.695,525.628,329.524,751.973,141.156
1780.703,1233.125,552.372,1170.458,544.038,549.962,410.599,450.237,511.389,328.045,753.093,142.617
1787.300,1244.021,561.879,1179.847,504.288,536.083,418.901,466.038,514.357,332.685,754.540,143.738
1733.664,1261.476,559.651,1192.641,531.346,564.462,420.342,465.483,517.800,334.922,758.179,139.956
1747.645,1272.447,534.413,1209.087,524.994,555.615,425.725,450.428,511.068,328.000,755.942,142.955
1718.560,1191.043,530.191,1199.270,533.015,544.608,421.134,449.856,515.335,329.524,743.254,137.902
1785.309,1260.301,536.013,1195.574,522.724,552.378,420.880,464.081,504.122,335.047,757.643,144.549
1770.157,1270.662,560.064,1209.465,527.956,562.972,428.831,452.301,527.990,335.173,764.557,143.328
1791.234,1270.024,541.997,1199.035,533.044,556.344,439.415,456.271,506.594,328.078,762.204,145.003
1771.145,1245.540,540.144,1210.625,511.927,537.198,432.940,466.089,519.807,329.733,756.515,143.415
1772.901,1228.779,538.658,1193.686,531.131,561.267,424.144,455.890,526.863,327.418,756.074,142.172
1824.498,1324.359,555.943,1197.564,520.419,562.785,417.852,453.504,526.377,331.033,771.433,149.310
1783.215,1224.811,535.859,1186.888,534.105,549.372,428.905,460.445,502.900,328.563,753.506,142.901
1780.558,1269.795,558.258,1200.689,526.544,570.951,441.289,450.042,507.756,328.340,763.422,144.016
1781.758,1237.492,559.326,1181.616,515.198,554.351,439.500,474.017,514.311,328.655,758.622,142.237
1792.940,1273.380,533.473,1193.249,517.366,552.556,423.680,463.123,515.438,324.758,758.996,145.668
1745.287,1245.348,554.973,1175.263,515.826,557.653,428.511,440.631,523.117,330.189,751.680,140.479
1739.845,1221.053,536.074,1165.823,513.041,551.257,399.923,449.097,528.213,327.582,743.191,139.867
1707.478,1216.197,536.362,1158.122,504.887,534.931,413.162,442.356,508.174,318.379,734.005,137.948
1758.239,1216.729,540.191,1159.469,515.898,556.354,419.697,462.000,521.020,329.390,747.899,139.990
1725.995,1217.816,564.064,1165.137,523.308,546.201,428.077,461.178,515.423,334.253,748.145,137.337
1729.643,1234.952,555.530,1160.480,522.503,559.747,416.725,466.157,515.166,328.540,748.944,138.331
1733.531,1240.646,543.826,1193.263,526.523,551.188,420.042,453.602,510.394,334.632,750.765,140.114
1835.906,1284.963,552.268,1220.494,528.506,569.240,419.109,443.619,524.232,337.677,771.601,149.240
1775.819,1277.891,552.483,1188.997,519.910,551.316,425.658,477.119,524.225,333.526,762.694,143.443
1802.193,1234.364,537.319,1196.292,524.805,568.562,429.736,446.403,506.905,331.565,757.814,144.847
1730.415,1248.311,558.789,1170.610,524.602,561.743,426.947,455.186,497.557,325.192,749.935,139.453
1743.362,1247.949,545.289,1191.692,537.814,537.226,414.549,457.597,503.296,323.145,750.192,141.531
1748.901,1225.125,548.171,1163.016,507.849,534.854,429.401,453.225,512.054,326.933,744.953,140.214
1766.778,1241.553,546.953,1197.749,525.142,565.510,406.986,451.619,513.433,339.515,755.524,142.570
1731.630,1254.141,550.671,1186.513,530.020,531.792,423.658,424.636,521.582,331.688,748.633,140.838
1691.278,1227.928,543.550,1180.849,506.608,522.844,399.151,425.644,485.024,334.064,731.694,138.625
1633.807,1200.074,497.802,1104.054,500.669,480.514,388.831,410.686,465.284,317.529,699.925,134.016
1513.862,1135.673,501.930,1064.746,492.860,465.913,370.440,368.941,457.098,326.864,669.833,123.673
1477.739,1114.146,483.044,1026.456,519.436,473.049,378.123,357.237,443.051,317.908,659.019,119.602
1375.143,1105.069,449.869,950.422,482.672,460.309,370.106,322.619,428.689,316.045,626.094,112.584
1247.106,1040.574,443.832,870.898,463.137,420.073,363.303,297.869,422.506,311.220,588.052,101.119
1139.517,1012.306,410.815,782.001,443.922,397.597,374.173,292.966,383.208,304.671,554.118,92.399
1035.548,973.686,402.520,698.767,422.395,392.635,357.137,273.419,371.724,294.671,522.250,83.855
953.587,873.170,381.181,592.690,395.203,373.319,358.975,270.148,354.100,285.170,483.755,72.956
860.239,809.037,357.232,514.866,369.709,348.854,349.275,273.674,355.582,277.916,451.638,63.752
818.816,759.194,336.007,468.025,359.390,331.104,344.116,267.216,325.535,281.730,429.113,59.275
785.348,718.027,333.134,429.882,341.052,329.337,341.923,263.593,315.628,276.412,413.434,55.320
708.720,673.527,324.359,416.144,325.160,315.188,331.208,263.038,310.687,265.131,393.316,48.797
730.727,634.707,309.285,408.744,322.381,305.240,334.588,263.784,305.653,273.563,388.867,48.400
666.729,567.181,300.631,393.560,307.817,295.726,316.137,270.047,311.785,267.841,369.745,41.036
680.679,546.830,292.768,393.172,296.974,300.451,317.933,270.792,307.484,264.733,367.182,41.464
703.428,531.758,296.463,378.651,292.890,299.330,317.979,262.792,297.105,269.114,364.951,42.802
700.159,514.380,296.893,378.461,293.651,292.427,325.486,264.881,291.355,264.279,362.197,42.059
704.483,500.359,296.446,375.795,291.919,292.066,310.141,264.712,293.731,268.393,359.804,41.983
738.244,488.316,290.946,376.302,287.358,297.767,311.542,267.352,288.719,261.805,360.835,44.650
761.792,486.154,288.111,371.137,291.500,287.427,316.915,262.898,299.601,267.159,363.270,46.481
791.655,474.524,290.064,364.606,289.020,283.677,315.627,265.936,295.240,263.780,363.413,48.925
808.792,451.285,290.732,372.188,284.017,287.670,317.056,261.737,286.108,265.490,362.507,50.153
847.452,467.418,283.315,369.423,285.884,272.611,304.085,261.411,294.176,264.281,365.006,54.253
918.239,454.551,292.678,365.936,285.064,286.705,308.296,257.619,286.174,266.451,372.171,60.167
966.461,469.511,294.477,363.131,281.936,274.826,314.148,265.864,294.293,265.003,378.965,64.664
984.896,461.854,284.711,361.233,285.738,278.882,304.275,266.822,290.528,262.047,378.099,66.451
996.906,456.090,288.567,363.653,280.977,279.587,298.130,263.233,296.787,267.156,379.109,67.444
999.065,449.452,280.007,360.834,278.026,282.385,296.169,265.233,293.763,273.376,377.831,67.625
1022.065,455.513,284.621,366.241,283.529,281.490,302.898,263.852,291.301,277.708,382.922,69.565
1068.147,448.412,285.087,367.269,282.241,281.003,303.951,267.034,292.868,282.089,387.810,73.612
1103.901,460.019,289.191,366.756,285.930,277.549,297.264,267.381,293.384,279.287,392.066,77.066
1091.292,462.106,279.265,364.898,283.337,281.819,300.356,258.229,300.980,286.719,390.900,75.958
1054.213,466.418,284.960,366.265,291.590,278.601,304.919,269.466,292.215,282.643,389.129,72.357
1014.551,471.588,279.903,369.404,285.299,274.347,309.292,264.254,306.973,290.925,386.654,68.741
1007.043,476.904,281.171,372.081,282.067,277.712,321.859,261.068,300.790,296.253,387.695,68.020
930.283,482.673,273.221,374.975,286.099,276.611,322.662,271.805,305.641,301.733,382.570,60.899
878.568,464.843,285.091,383.253,292.177,278.045,314.482,259.936,318.702,310.474,378.557,55.693
834.988,487.508,289.903,398.256,298.020,272.858,327.187,263.013,329.205,308.916,380.985,51.896
803.638,482.779,281.654,407.490,302.233,281.549,330.567,263.131,329.399,302.836,378.527,49.071
778.471,488.787,280.084,437.214,300.314,287.486,329.982,270.085,354.792,314.610,384.183,46.701
803.372,497.077,278.768,470.616,302.102,277.028,328.701,267.432,370.271,312.089,390.746,49.693
880.263,526.218,279.275,517.657,301.430,279.691,341.743,263.161,361.731,309.724,406.089,57.494
950.841,527.684,278.758,550.435,317.529,293.087,341.074,269.110,379.267,313.089,422.087,63.166
1032.988,535.053,285.973,616.097,325.285,288.795,336.630,273.072,378.291,309.318,438.150,71.472
