0001-0109-0118,0001-0097-0091,0001-0073-0114,0001-0045-0079,0001-0117-0047,0001-0125-0028,0001-0125-0009,0001-0048-0145,0001-0096-0205,Average,Err
713.574,536.588,470.398,419.237,748.141,464.489,402.918,665.833,689.172,567.817,42.818
702.833,511.789,482.382,410.266,764.380,443.697,385.175,692.257,683.672,564.050,45.768
712.469,541.248,472.148,424.307,765.826,463.114,382.500,666.292,629.433,561.926,42.900
691.019,532.744,476.562,416.804,754.549,439.024,388.223,667.444,656.149,558.058,42.763
701.629,531.635,474.742,421.160,785.582,453.580,398.280,731.854,691.149,576.623,47.143
704.439,533.169,486.969,417.746,822.924,465.661,394.254,731.562,678.075,581.644,48.663
698.351,520.883,481.312,424.394,828.027,452.508,391.500,700.007,665.164,573.572,47.925
711.238,525.233,484.108,421.717,803.668,461.312,395.215,686.069,656.239,571.644,45.700
700.246,526.027,499.690,418.906,806.348,460.862,392.441,687.389,631.933,569.316,44.939
703.803,535.856,482.829,422.908,814.924,444.529,385.726,703.972,664.537,573.232,47.763
703.258,530.476,488.924,421.095,783.766,445.553,400.006,680.222,626.910,564.468,43.498
715.711,529.117,480.582,417.032,787.571,468.339,397.958,698.111,670.493,573.879,45.534
711.625,529.881,479.245,421.443,812.022,447.360,387.616,687.653,689.843,574.076,48.036
697.487,523.655,477.962,424.419,814.462,446.207,386.141,687.542,615.761,563.737,46.150
654.671,501.630,444.560,401.645,736.326,419.721,359.350,658.208,568.463,527.175,41.843
595.096,460.273,410.038,384.115,654.033,402.159,357.034,617.917,617.612,499.809,37.453
544.577,422.660,361.849,373.757,579.527,405.063,352.469,576.646,566.881,464.825,31.290
479.540,365.169,342.865,355.570,550.326,387.114,332.895,548.458,523.582,431.724,29.038
437.437,334.196,317.951,334.741,493.505,370.799,329.020,507.549,478.134,400.370,24.602
396.974,305.834,312.252,328.161,435.076,355.706,315.268,505.743,446.306,377.924,22.512
370.704,302.876,294.272,318.776,389.549,350.940,316.141,453.500,417.209,357.107,17.291
351.015,294.027,303.665,305.740,379.495,327.748,306.986,426.667,402.269,344.179,15.219
336.809,293.610,291.384,299.916,342.065,320.592,290.528,398.382,377.843,327.903,12.415
325.880,287.305,286.182,294.729,339.978,303.231,285.042,366.465,365.567,317.153,10.512
322.327,289.777,290.906,293.921,331.158,305.667,288.302,360.014,340.179,313.583,8.178
324.761,286.896,293.667,288.609,326.853,294.820,284.099,360.736,314.716,308.351,8.038
320.478,283.563,294.492,284.829,326.576,291.390,279.831,356.750,341.709,308.847,8.884
316.187,284.983,286.427,289.128,322.478,294.538,279.997,352.090,327.799,305.958,7.771
317.077,289.499,290.169,282.215,318.663,288.805,278.254,359.972,315.694,304.483,8.183
315.344,295.102,285.456,286.311,322.228,285.952,272.395,343.146,318.896,302.759,7.254
316.095,287.442,289.288,285.749,321.109,292.333,281.277,367.757,320.418,306.830,8.733
312.549,285.129,284.324,288.805,305.935,284.108,278.164,353.896,321.090,301.555,7.732
317.372,286.591,285.020,289.594,308.092,289.838,278.198,345.632,317.649,301.998,6.864
312.665,285.797,285.378,289.343,312.277,289.865,269.350,364.014,318.425,303.013,8.776
308.591,282.916,289.697,288.624,305.272,293.435,272.203,350.292,321.485,301.391,7.386
318.164,284.660,285.445,285.421,304.739,287.390,273.774,357.944,304.903,300.271,8.043
309.901,280.933,291.231,288.158,289.272,285.751,272.565,345.528,303.336,296.297,6.768
318.820,283.620,286.485,289.550,306.408,281.225,277.766,356.812,318.828,302.168,8.121
308.977,282.819,292.465,285.311,322.141,283.306,270.650,358.243,310.201,301.568,8.428
316.341,283.161,286.656,284.809,305.304,285.616,273.630,363.903,314.403,301.536,8.720
316.735,278.610,289.719,287.667,296.418,279.147,278.251,358.965,309.284,299.422,8.222
313.677,279.486,285.515,285.908,312.668,278.622,275.209,359.771,313.239,300.455,8.603
312.245,282.223,288.589,289.243,313.625,287.255,273.099,367.188,337.037,305.612,9.549
311.443,283.772,290.870,290.444,305.984,282.477,269.141,359.438,305.269,299.871,8.183
314.417,282.620,282.978,286.168,307.864,281.129,275.613,376.486,322.866,303.349,10.108
309.400,281.655,283.193,287.641,314.277,282.219,272.393,374.472,339.776,305.003,10.567
312.292,283.481,283.939,287.399,306.174,286.333,274.918,360.347,312.403,300.810,8.229
311.806,277.667,299.681,286.754,322.620,289.982,265.186,362.889,343.090,306.630,9.971
306.682,288.588,290.175,284.371,322.158,283.847,271.602,397.000,356.731,311.239,12.941
309.461,284.089,291.416,284.165,311.250,278.111,272.158,382.639,352.664,307.328,11.742
311.468,288.489,285.971,288.364,320.788,282.640,272.562,392.681,364.403,311.930,12.929
313.319,281.625,293.283,285.765,321.152,279.291,268.285,364.556,354.291,306.841,10.737
309.055,280.270,287.319,282.421,315.027,271.946,269.811,375.590,388.672,308.901,13.935
313.645,281.337,280.649,282.099,331.076,279.577,271.130,379.917,369.731,309.907,13.058
313.932,285.958,290.517,289.962,326.261,278.324,275.014,411.340,406.597,319.767,16.707
315.568,285.400,285.521,284.759,342.120,275.357,269.638,405.285,425.910,321.062,18.307
311.317,286.295,294.393,284.203,327.005,289.408,266.198,419.604,431.381,323.312,19.005
314.869,288.330,287.906,284.426,351.891,280.628,269.983,443.688,478.119,333.316,24.114
313.040,282.769,295.431,286.490,351.511,284.712,266.463,494.736,469.522,338.297,26.792
319.937,281.913,300.112,279.887,400.614,283.928,270.048,532.354,484.806,350.400,30.970
312.393,293.469,292.461,284.614,408.234,284.556,269.381,532.278,483.664,351.228,30.922
317.662,290.864,295.218,281.683,425.386,279.946,276.076,518.069,522.149,356.339,32.544
326.181,304.985,303.921,282.966,473.245,280.988,274.912,566.389,524.448,370.893,36.536
325.283,301.883,304.515,285.173,466.505,273.646,270.508,595.861,556.925,375.589,40.413
319.877,305.238,310.272,289.468,499.500,289.177,276.709,585.076,576.709,383.559,40.990
322.795,309.995,320.964,286.418,536.168,286.970,271.887,584.812,553.873,385.987,41.127
328.091,315.553,317.569,292.007,529.304,287.054,270.158,587.243,580.851,389.759,42.152
336.524,327.447,323.573,293.967,553.402,295.099,269.333,634.653,584.933,402.103,45.435
341.909,324.089,323.258,291.972,584.386,292.577,273.460,642.750,579.090,405.943,47.000
338.909,338.027,326.407,292.138,628.891,292.081,275.508,646.743,563.910,411.402,48.526
346.509,347.707,331.939,296.992,648.266,293.132,274.562,610.271,565.612,412.777,47.115
356.036,366.943,338.097,297.771,614.272,295.420,280.336,648.597,524.351,413.536,45.009
368.585,377.901,344.739,290.486,650.533,311.967,275.856,659.201,546.090,425.040,47.834
367.024,390.762,338.303,300.193,660.696,294.625,273.469,654.736,549.082,425.432,48.599
373.040,400.268,348.872,300.271,673.283,298.985,277.119,616.451,479.082,418.597,44.896
388.414,423.722,333.011,303.067,697.734,306.655,279.065,655.243,512.418,433.259,48.989
399.481,417.593,350.609,299.368,684.728,310.309,278.893,645.764,521.246,434.221,47.300
411.482,418.017,356.744,302.165,686.707,316.366,279.862,577.910,543.187,432.493,44.191
415.236,414.025,366.063,298.473,682.136,301.994,282.554,530.583,527.104,424.241,41.989
427.779,433.251,356.733,304.318,695.913,311.547,286.664,491.306,561.470,429.887,42.674
425.407,434.561,340.281,301.195,673.804,305.312,282.028,479.118,556.261,421.996,41.476
421.508,428.189,339.058,300.299,687.870,311.024,280.924,447.444,575.343,421.295,42.859
430.804,429.541,337.535,296.578,638.185,304.832,277.610,456.479,537.276,412.093,38.153
430.168,422.806,337.852,302.381,553.315,306.003,278.946,520.000,579.328,414.533,36.256
429.823,419.233,327.622,300.444,478.989,311.742,273.915,527.681,617.037,409.610,36.669
430.607,393.380,333.674,303.205,438.614,304.640,284.184,562.785,578.866,403.328,34.630
429.682,388.055,336.434,303.144,439.310,317.940,281.192,567.569,594.955,406.476,35.582
418.169,371.829,343.175,304.432,437.511,306.718,280.489,573.236,623.806,406.596,38.101
427.601,379.797,341.115,302.192,420.071,302.823,285.924,607.833,644.881,412.471,41.399
443.432,368.228,354.697,297.544,502.663,305.772,274.209,610.938,658.090,423.952,43.974
435.041,378.792,349.135,304.564,516.375,314.063,280.384,601.576,652.933,425.874,42.628
446.402,394.395,358.407,300.641,535.250,308.342,271.839,630.840,673.806,435.547,46.320
446.012,398.901,372.499,303.096,598.837,299.039,275.071,667.903,650.963,445.813,48.872
448.445,416.323,372.975,307.825,604.446,312.931,280.011,658.757,646.478,449.799,47.272
457.157,428.816,392.555,301.254,622.207,303.480,277.621,683.674,575.806,449.174,46.771
462.422,429.985,383.582,302.149,664.332,307.691,279.232,713.889,560.746,456.003,50.155
456.713,444.524,381.964,297.628,642.864,311.243,279.556,664.257,571.866,450.068,46.372
452.596,466.486,399.703,299.920,675.668,302.568,275.596,635.708,529.201,448.605,45.698
462.121,466.739,385.640,300.409,683.359,311.417,281.421,636.736,496.537,447.153,45.269
456.325,471.975,401.085,308.235,684.679,310.075,285.794,689.910,453.142,451.247,47.425
464.374,469.660,396.865,304.948,726.478,314.577,278.302,682.729,504.007,460.216,50.290
450.747,477.854,393.611,304.896,718.897,321.934,281.749,684.653,460.955,455.033,49.314
457.522,475.650,383.506,300.008,702.989,312.387,279.565,657.083,476.746,449.495,47.560
461.504,483.462,372.025,304.356,738.418,320.333,273.186,645.639,508.343,456.363,49.829
466.021,458.906,363.924,304.452,732.277,319.135,278.446,653.979,576.776,461.546,51.117
477.384,464.184,337.751,305.247,731.016,319.237,277.000,701.806,529.112,460.304,53.196
464.443,447.702,312.146,306.796,746.141,319.616,279.565,659.833,595.470,459.079,54.197
478.052,448.744,313.124,303.792,750.788,307.057,274.703,641.375,581.045,455.409,53.986
482.719,427.241,310.820,300.508,741.609,315.847,274.630,643.833,607.209,456.046,54.325
472.244,395.737,317.369,298.222,751.315,301.363,281.062,573.903,617.627,445.427,53.142
489.261,369.519,329.555,305.714,771.940,308.408,277.455,552.688,618.478,447.002,53.938
485.097,376.985,339.719,299.485,696.935,319.318,272.483,496.292,624.149,434.496,47.304
507.787,349.747,352.769,303.780,771.630,318.730,279.215,504.583,634.410,446.961,53.400
500.412,360.382,358.236,298.637,762.772,304.967,280.616,497.181,653.470,446.297,53.629
504.872,366.824,386.539,303.401,765.321,325.078,278.977,499.618,641.537,452.463,51.976
508.714,385.151,381.169,302.819,724.620,312.237,276.780,529.000,629.440,449.992,49.303
509.405,408.643,378.151,301.348,766.957,311.904,276.864,560.549,630.970,460.532,52.819
512.351,419.891,398.022,302.647,759.636,322.438,278.689,595.368,660.328,472.152,53.478
511.428,432.119,404.029,306.165,774.462,318.967,279.647,564.618,652.007,471.494,53.072
505.637,439.792,415.533,301.157,777.250,311.126,278.034,655.278,636.694,480.056,55.706
487.739,467.831,425.755,302.020,743.842,317.703,276.463,625.444,621.358,474.240,51.285
496.486,460.531,401.593,305.683,778.755,334.526,276.624,638.868,589.493,475.840,52.826
477.332,456.042,409.971,302.325,738.337,313.078,270.328,648.903,590.127,467.382,51.501
479.235,474.072,402.876,303.102,761.397,323.637,274.017,618.799,574.552,467.965,50.947
464.746,477.883,416.254,302.133,743.299,316.213,275.164,671.660,548.373,468.414,51.430
472.729,480.747,404.537,301.221,795.810,325.117,274.311,678.806,507.500,471.197,54.809
471.444,486.839,390.328,304.891,793.717,314.150,278.912,691.194,508.336,471.090,55.542
477.822,479.945,354.382,302.519,769.658,306.381,270.910,667.757,514.201,460.397,54.207
517.308,471.866,327.737,300.526,792.207,320.691,279.621,674.229,518.724,466.990,56.389
517.194,456.911,306.070,305.471,801.696,311.063,274.760,663.243,546.612,464.780,58.024
517.842,449.491,316.674,301.257,790.793,311.544,284.901,686.333,545.530,467.152,57.671
547.480,397.251,312.074,307.269,759.293,313.036,280.203,685.542,564.067,462.913,56.865
547.480,378.623,311.865,304.575,748.038,302.529,280.085,717.340,583.761,463.811,58.996
582.422,352.864,319.804,302.483,746.505,297.706,278.881,674.285,614.090,463.227,58.976
579.858,346.370,329.996,303.887,774.000,312.243,273.864,662.840,597.910,464.552,59.171
589.514,326.429,348.103,300.473,755.592,308.165,281.090,671.972,610.358,465.744,59.032
598.534,344.452,354.319,310.335,763.946,324.321,277.424,667.701,612.366,472.600,58.284
613.692,370.370,368.038,299.714,817.837,318.727,275.992,645.771,637.007,483.016,61.738
607.051,384.573,382.888,304.730,786.065,331.282,281.008,706.667,636.933,491.244,60.416
609.208,395.677,387.065,304.112,794.663,337.387,278.831,684.549,618.254,489.972,59.136
616.857,418.164,402.267,307.790,760.402,345.592,282.201,697.326,618.761,494.373,56.513
593.971,445.779,395.018,304.203,773.766,350.877,274.486,734.569,644.261,501.881,59.314
577.424,432.744,408.038,305.090,764.174,350.766,281.689,703.146,650.239,497.034,56.704
530.825,458.990,414.324,306.950,770.962,358.423,283.034,713.660,637.843,497.223,55.817
462.823,460.223,409.164,298.970,783.745,383.919,284.503,686.507,668.903,493.195,56.103
400.982,457.318,399.328,307.061,784.326,369.985,276.424,711.576,648.440,483.938,57.863
366.609,459.015,411.333,307.683,763.152,388.474,280.949,718.188,661.716,484.124,57.250
360.803,497.467,399.294,306.690,830.500,384.883,275.144,685.819,642.239,486.982,60.161
367.539,470.660,402.883,312.639,778.576,371.171,278.040,740.646,676.851,488.778,60.294
400.262,481.442,362.207,304.016,812.380,375.003,280.381,715.222,644.970,486.209,60.323
414.916,472.677,329.267,316.065,807.391,355.342,283.206,688.868,665.739,481.497,60.189
456.377,463.122,315.200,303.553,778.864,324.363,278.983,677.819,620.328,468.734,57.817
483.231,451.392,304.249,304.527,796.576,292.234,278.483,689.444,606.709,467.427,60.562
532.438,418.923,310.364,303.607,788.130,294.120,275.076,664.847,581.172,463.186,58.765
549.227,387.993,302.766,306.546,803.179,279.931,282.322,711.924,556.358,464.472,62.436
570.116,360.697,326.272,304.975,794.533,274.483,282.384,716.632,546.239,464.037,62.354
577.032,329.491,328.058,306.225,787.679,284.811,284.667,687.125,520.075,456.129,60.415
590.430,338.883,333.007,308.180,754.174,291.994,284.613,690.778,529.664,457.969,58.210
602.599,345.538,354.029,307.001,796.810,302.177,276.842,684.812,519.739,465.505,60.227
610.579,339.551,376.551,303.988,762.842,323.931,279.963,731.000,510.030,470.937,59.420
618.334,374.658,377.501,299.695,770.620,337.228,274.427,659.861,536.209,472.059,56.141
612.296,384.734,390.503,311.490,795.543,348.814,275.966,713.410,584.045,490.756,59.385
611.182,409.916,399.458,305.284,792.152,370.255,280.220,706.743,574.970,494.465,57.422
595.819,422.122,406.454,302.194,787.043,379.592,282.562,716.153,598.067,498.890,57.049
567.477,441.950,392.506,303.789,793.152,378.177,284.458,709.764,607.851,497.680,56.743
493.986,445.236,390.533,301.357,784.630,400.138,273.237,702.438,619.701,490.140,55.702
422.020,458.571,407.112,304.780,849.870,376.892,280.658,702.667,613.090,490.629,60.173
370.978,460.273,397.438,304.756,801.962,382.586,279.590,693.875,653.194,482.739,58.667
355.433,455.752,398.463,298.692,788.690,395.901,283.915,715.375,623.888,479.568,58.006
