0190-0041,0179-0010,0059-0145,0001-0200-0106,0109-0122,0137-0169,0205-0007,0245-0190,0237-0213,0243-0240,0219-0241,0186-0239,0052-0008,0023-0120,Average,Err
958.134,380.118,433.226,404.680,391.052,452.761,323.358,331.520,463.635,398.419,417.032,368.929,357.124,336.784,429.769,40.733
871.136,360.691,433.386,390.926,388.411,460.756,297.545,335.193,446.888,384.415,404.570,390.105,369.253,337.232,419.322,35.388
801.957,371.595,444.516,393.418,382.974,436.249,332.000,327.537,433.000,395.671,418.860,391.494,367.731,339.245,416.875,30.149
730.747,365.580,435.063,397.725,401.485,438.569,314.731,333.261,478.708,405.324,399.538,397.785,383.898,336.624,415.646,25.962
684.273,363.366,435.500,420.701,412.758,459.656,324.701,333.336,458.197,408.424,414.038,412.257,359.683,339.173,416.147,22.942
624.486,373.053,442.100,419.725,374.446,456.928,356.045,320.014,446.129,405.793,408.828,395.348,377.909,333.120,409.566,19.092
581.006,370.515,438.644,427.701,401.723,467.627,355.806,339.727,449.197,395.206,424.301,395.257,398.554,334.526,412.842,16.145
575.062,351.187,433.615,411.324,401.528,426.933,344.731,327.922,457.933,406.637,401.038,392.000,401.516,330.322,404.411,16.181
601.341,380.095,439.444,404.434,381.779,441.349,333.493,322.753,468.298,404.154,427.602,410.197,407.081,340.692,411.622,17.809
568.759,366.225,437.684,406.832,394.970,439.584,330.299,331.032,458.174,399.513,404.538,399.241,407.360,346.019,406.445,15.663
582.727,351.019,435.458,409.070,383.459,477.608,330.836,335.658,461.191,388.880,415.360,389.938,361.253,342.648,404.650,17.647
592.188,379.622,442.590,406.152,401.597,469.952,347.687,345.537,425.697,383.130,425.946,386.937,385.301,335.132,409.105,16.729
595.599,365.706,427.682,410.713,400.009,457.914,321.097,336.675,469.326,396.463,431.855,381.539,374.333,339.638,407.753,18.005
655.111,381.294,444.837,421.180,409.152,457.359,325.015,332.830,468.309,404.997,452.565,381.967,393.812,350.707,419.938,20.957
651.770,349.416,433.741,389.881,384.074,471.215,342.351,322.862,455.826,406.291,480.640,381.452,381.237,342.518,413.805,21.757
660.224,388.324,423.850,417.627,379.160,435.239,345.463,333.494,445.298,390.366,487.790,375.176,372.188,339.206,413.815,21.437
679.426,355.385,420.483,418.570,390.476,438.718,338.761,333.859,447.146,401.595,481.005,357.757,359.204,323.355,410.410,23.380
724.713,359.538,435.280,404.926,385.619,426.105,333.425,340.793,415.163,391.840,475.731,347.025,375.263,338.698,411.009,25.623
779.256,366.412,436.888,406.381,401.000,484.761,340.090,337.443,448.399,408.421,458.263,353.492,378.032,344.440,424.520,28.942
823.267,391.260,437.800,407.139,404.195,468.464,347.433,324.491,445.208,402.879,446.500,342.808,379.946,335.793,425.513,31.685
964.349,388.084,429.249,399.475,401.377,446.033,348.724,343.362,449.236,399.805,450.543,344.797,363.446,349.167,434.118,40.601
1087.926,362.958,426.819,422.307,400.130,462.694,331.619,322.563,461.933,388.599,404.742,345.122,360.747,335.945,436.722,49.703
1234.903,357.969,447.235,401.762,414.896,452.569,321.015,333.379,458.315,390.558,414.048,348.008,371.091,344.597,449.311,59.375
1162.832,360.466,439.935,420.648,391.615,448.938,328.657,321.606,437.938,386.765,448.462,331.878,383.328,336.708,442.841,54.697
1145.139,374.832,434.421,433.205,414.004,448.498,330.403,336.356,448.933,400.996,423.382,357.291,361.554,333.122,445.867,53.014
1079.585,369.122,440.786,427.016,420.636,446.593,338.373,322.695,414.758,405.360,435.629,337.559,355.091,338.639,437.989,48.893
990.006,361.920,435.910,417.230,411.342,450.167,332.813,331.782,457.601,399.321,443.081,334.031,375.640,342.347,434.514,42.841
937.571,389.195,441.254,456.045,400.368,468.761,339.940,331.489,435.629,422.071,435.898,339.457,365.559,338.569,435.843,39.166
852.955,374.508,439.517,421.258,398.338,458.416,342.470,332.793,453.736,430.715,438.414,334.113,377.263,341.170,428.262,33.618
838.491,389.302,441.532,452.828,400.281,455.211,345.575,334.707,462.022,419.334,428.570,346.158,368.645,338.114,430.055,32.520
775.136,360.344,443.911,434.607,398.312,444.722,311.343,326.960,459.629,415.094,404.554,342.605,376.317,339.084,416.616,29.288
744.011,362.260,435.205,452.189,406.299,507.789,337.828,334.624,466.669,403.660,392.597,347.791,360.382,342.304,420.972,27.619
657.259,349.714,442.489,445.270,386.143,505.273,341.828,318.667,445.191,410.336,425.484,343.868,364.253,339.149,412.494,22.878
626.182,354.542,427.292,425.303,413.273,604.383,350.918,338.132,477.730,408.661,438.532,333.427,363.258,335.626,421.233,24.118
616.739,377.080,441.991,393.516,391.173,678.890,316.321,315.075,448.573,408.231,425.699,340.269,375.876,344.405,419.560,27.326
596.045,378.156,431.248,420.996,397.022,688.081,339.709,328.287,466.607,403.079,420.919,354.187,375.538,339.292,424.226,26.260
581.253,365.454,437.268,418.074,379.000,730.311,329.948,320.032,442.843,403.873,419.688,340.687,367.677,349.124,420.374,28.588
601.645,372.767,430.916,398.631,414.931,695.627,332.045,345.856,470.118,415.050,428.812,346.002,385.715,333.577,426.549,26.837
594.315,367.218,436.456,413.930,387.537,644.957,339.619,324.089,455.596,415.499,424.715,359.749,372.898,337.727,419.593,24.193
619.412,360.088,427.775,430.283,389.420,572.536,368.351,339.830,443.843,413.960,415.430,381.684,347.247,338.950,417.772,21.512
622.409,364.573,436.202,428.102,373.013,560.598,335.754,327.264,462.646,402.267,414.871,381.328,355.629,331.453,414.008,22.267
652.477,377.721,419.138,389.443,409.584,564.053,352.276,331.132,435.978,406.810,409.780,373.070,365.876,333.383,415.766,22.927
670.983,366.263,429.240,412.947,402.489,531.512,323.410,338.739,444.916,408.062,426.699,359.245,379.591,341.508,416.829,23.348
686.347,380.763,424.028,407.139,379.827,481.770,352.127,325.948,441.461,401.941,420.468,359.076,403.608,326.516,413.644,23.089
725.156,383.187,442.158,411.111,400.939,475.627,331.209,333.595,475.826,391.983,426.543,345.579,367.366,336.374,417.618,26.051
788.653,378.519,425.434,417.672,375.203,481.885,359.985,327.006,415.022,381.684,415.833,346.249,423.720,338.210,419.648,29.399
834.781,372.023,432.933,423.389,391.584,456.402,363.709,327.043,447.101,408.696,440.694,343.302,397.570,339.452,427.048,32.098
934.256,389.950,434.664,406.705,410.463,465.469,367.030,334.690,474.281,403.679,417.339,336.649,404.812,325.900,436.135,38.704
1060.730,387.099,433.867,412.086,380.273,453.263,357.246,334.868,421.500,392.999,421.140,341.515,410.409,331.716,438.479,47.150
1188.182,375.531,431.412,413.426,375.165,467.426,348.784,324.994,477.725,391.186,415.849,339.328,402.543,347.058,449.901,55.989
1198.969,385.439,426.996,412.807,372.537,446.191,342.552,342.129,468.966,400.643,447.140,336.741,410.548,341.413,452.362,56.475
1173.295,378.076,440.612,411.943,372.641,448.407,361.821,331.675,471.253,404.608,421.640,347.884,378.247,337.902,448.572,54.822
1108.139,365.569,434.992,394.623,405.749,440.431,355.634,331.261,456.646,408.589,422.683,340.872,374.575,332.368,440.867,50.578
1017.338,378.855,443.320,406.311,375.087,428.239,360.440,324.549,462.461,401.068,442.457,340.584,397.941,345.564,437.444,44.304
963.321,377.004,427.312,412.857,382.680,455.742,342.612,333.356,452.517,407.697,438.387,338.831,376.640,340.433,432.099,40.884
866.912,365.034,433.262,413.074,375.554,441.670,354.470,338.330,462.421,407.246,414.780,331.769,390.677,339.261,423.890,34.503
836.750,360.447,431.508,424.639,400.641,457.067,351.082,338.445,454.135,398.863,420.323,347.224,398.382,346.789,426.164,32.161
731.852,387.099,438.860,408.025,385.649,444.598,337.261,332.718,429.213,385.677,399.312,342.697,383.022,343.757,410.696,25.627
699.244,366.076,438.652,463.537,383.087,471.359,343.769,328.739,425.713,390.140,373.618,345.963,377.457,337.548,410.350,24.446
656.548,375.672,431.868,461.098,412.494,445.967,301.582,336.313,440.646,395.344,422.403,338.673,367.269,335.272,408.654,22.283
619.162,385.718,437.999,410.209,388.216,439.153,334.993,329.606,450.146,384.594,412.247,343.088,362.930,345.131,403.085,19.037
610.693,366.202,434.379,400.947,382.996,461.455,321.075,336.264,449.399,405.693,436.812,345.803,399.720,340.590,406.573,19.001
556.213,354.851,434.313,420.721,366.390,433.995,338.731,329.764,471.489,402.519,434.161,335.358,395.156,349.555,401.658,16.290
566.253,376.927,437.775,439.582,388.827,458.459,350.030,329.261,483.388,388.415,428.333,347.163,384.237,333.769,408.030,16.997
587.023,363.939,443.588,407.910,389.242,445.273,328.522,326.040,462.404,403.852,408.317,341.147,364.118,336.477,400.561,18.034
569.511,375.286,440.433,393.910,380.468,441.426,348.000,332.218,435.348,391.336,414.796,332.189,364.656,333.828,396.672,16.293
594.307,364.615,463.264,425.488,398.749,445.110,340.075,342.764,456.421,409.026,432.027,346.890,376.817,332.026,409.113,18.023
633.915,385.569,454.153,406.098,383.576,449.378,343.485,318.894,464.820,411.435,422.602,334.505,377.118,340.707,409.018,20.505
654.821,390.408,475.884,417.754,397.567,454.043,309.179,325.152,468.140,406.157,438.054,342.941,382.516,343.317,414.710,22.332
677.858,385.347,465.191,432.652,391.420,443.584,323.858,324.853,449.624,406.248,407.677,341.280,405.210,337.196,413.714,22.980
685.045,352.431,476.664,415.906,399.048,444.043,321.157,334.101,450.792,403.189,399.151,332.935,385.522,338.159,409.867,23.894
697.798,372.214,476.763,432.730,389.494,428.665,330.455,337.897,455.449,404.281,420.694,339.937,375.672,339.919,414.426,24.166
735.810,381.550,492.039,409.193,393.991,456.684,351.634,339.701,465.404,405.781,391.355,354.613,372.677,350.313,421.482,26.156
