0234-0127,0127-0162,0168-0167,0157-0158,0144-0148,0141-0228,0129-0220,0117-0222,0142-0188,0226-0056,0202-0085,0214-0074,0191-0097,0186-0111,0211-0119,0243-0095,0185-0069,0202-0062,0209-0035,0176-0038,0166-0030,0184-0005,0116-0071,0170-0075,0162-0060,0231-0251,0237-0196,0208-0190,0211-0150,0111-0097,0101-0107,0063-0052,0086-0095,0078-0077,0100-0022,0117-0026,0095-0198,0059-0192,0058-0160,0019-0175,0033-0156,0033-0118,0011-0082,0187-0141,0161-0120,Average,Err
332.636,369.825,300.674,346.963,333.864,331.624,348.140,279.688,356.604,319.975,297.799,300.923,305.491,352.980,357.145,307.332,317.243,293.689,267.056,301.073,285.764,263.824,304.841,322.976,303.629,258.725,285.533,306.480,336.889,295.418,322.539,274.559,358.853,280.977,273.587,289.698,317.239,337.267,305.742,301.946,275.455,279.761,292.323,331.123,333.590,310.210,4.193
351.199,398.781,311.000,347.030,342.918,331.703,349.500,297.833,346.849,336.093,361.729,302.815,317.573,355.179,373.258,317.474,344.140,312.245,298.465,321.741,315.359,249.648,336.498,338.041,307.479,263.577,286.712,343.167,331.957,325.541,383.835,271.251,374.010,301.528,285.040,277.616,322.295,323.952,286.755,415.509,246.869,284.834,278.811,400.363,339.093,324.606,5.712
343.799,355.412,316.974,334.896,667.048,323.703,331.630,304.348,337.044,324.471,316.166,324.638,317.240,373.987,378.005,321.829,330.566,292.556,306.521,324.464,311.615,261.103,320.732,346.041,387.066,231.613,282.108,336.233,313.679,327.541,346.661,283.908,323.265,282.352,303.857,261.791,310.532,313.396,292.626,455.824,284.759,280.595,297.972,441.344,349.794,330.482,9.668
340.807,376.553,303.322,335.744,912.014,343.762,343.340,267.841,335.208,343.713,324.729,296.354,396.596,424.636,376.473,321.180,326.287,284.495,303.535,324.359,328.031,267.679,311.489,331.228,595.605,243.380,296.017,312.007,325.217,295.762,377.296,265.531,297.324,282.477,299.460,267.169,317.749,325.552,292.368,431.182,253.565,285.350,281.417,521.649,366.442,343.375,15.985
349.847,352.605,309.233,308.866,895.007,330.324,373.870,292.565,352.057,330.540,309.739,308.946,545.439,447.053,449.909,304.431,315.963,296.837,270.993,299.518,288.728,265.267,315.932,322.683,816.054,245.444,287.308,313.060,327.129,332.762,339.296,263.510,332.892,276.824,291.968,286.227,322.929,337.773,297.374,434.628,249.571,285.540,295.293,519.971,354.299,352.138,18.663
404.507,392.974,327.330,335.720,900.245,328.500,389.120,271.529,320.629,344.167,345.804,315.277,788.550,447.470,470.672,319.223,343.507,302.189,284.092,337.650,306.179,265.376,314.359,350.919,847.886,245.042,285.842,355.227,333.263,316.943,343.652,268.401,336.490,282.097,313.984,279.087,323.791,319.221,274.477,396.153,287.319,302.975,275.325,487.303,339.439,364.887,20.674
641.623,390.877,319.718,333.494,763.823,343.793,379.210,277.254,321.176,357.053,382.271,307.523,775.819,427.649,459.387,314.640,322.750,305.949,281.782,323.577,288.421,272.552,315.226,385.317,824.287,267.852,289.321,330.140,337.952,343.787,334.174,265.722,319.333,264.824,287.032,287.703,330.887,318.663,286.381,320.838,278.016,285.840,298.373,447.731,380.340,364.224,19.485
893.436,372.044,326.546,550.585,751.558,338.066,364.140,312.167,345.761,346.928,694.261,327.915,756.953,445.444,492.871,319.967,302.757,309.663,281.951,357.459,280.338,270.394,314.158,320.423,795.790,265.500,301.621,333.387,343.076,321.369,342.400,273.907,308.902,306.136,290.659,287.669,318.960,348.148,318.206,315.556,271.995,272.012,282.576,373.787,364.645,380.269,22.687
956.511,364.316,339.392,873.591,707.340,308.728,396.010,281.652,302.497,330.517,736.894,325.569,696.532,433.126,443.527,308.289,308.412,330.311,274.127,334.105,288.949,251.509,312.759,331.626,714.078,239.768,298.108,347.693,338.346,314.139,315.078,274.918,325.941,261.392,285.675,283.233,319.175,359.958,289.684,293.552,257.691,294.245,282.567,335.174,385.299,378.933,24.872
923.230,390.368,348.119,911.378,637.252,341.503,378.200,299.833,370.981,339.424,723.839,309.323,647.404,414.113,430.317,316.502,325.721,322.301,299.937,326.955,309.241,238.818,321.917,364.976,720.575,258.908,301.346,349.807,353.053,324.631,323.217,274.212,325.667,277.693,302.810,292.477,319.839,354.296,279.632,312.268,257.654,292.552,285.048,342.305,404.956,383.213,23.686
837.890,374.158,330.436,892.982,631.442,364.138,386.400,288.399,343.736,339.190,640.226,347.908,573.456,409.397,451.548,303.019,326.096,306.321,296.634,326.541,294.621,256.412,327.620,356.748,720.407,265.359,304.304,281.287,338.788,337.393,341.417,280.727,324.931,301.614,291.325,291.802,332.691,363.848,307.748,304.032,272.518,290.313,295.781,343.429,379.602,377.214,21.518
803.543,365.175,331.700,749.817,566.973,323.817,361.740,295.188,338.088,328.914,602.342,309.131,474.778,409.325,464.376,301.801,340.022,320.832,280.063,332.373,275.246,249.091,341.941,312.894,623.269,251.754,407.012,334.860,338.778,300.148,330.252,274.224,311.500,259.364,299.468,286.983,319.802,333.323,296.806,306.923,278.445,286.196,297.046,369.061,367.395,363.373,18.109
754.193,367.518,329.322,701.866,540.068,330.893,387.030,272.341,361.428,341.894,511.834,326.008,425.801,354.861,405.849,308.194,321.110,298.138,272.085,344.755,281.308,246.418,372.665,331.472,617.922,256.958,584.654,334.460,338.960,326.959,307.522,274.667,316.255,293.074,299.429,275.703,323.658,346.127,311.071,294.365,269.555,282.951,298.028,398.797,355.378,362.079,16.726
695.309,351.123,326.542,712.982,477.422,349.307,335.770,295.428,366.918,335.838,485.497,329.115,345.035,371.424,427.102,296.929,407.154,310.224,283.296,324.577,287.492,270.109,363.567,337.715,609.814,245.521,526.575,318.393,356.758,310.484,315.635,267.755,356.912,276.534,305.143,287.564,313.896,330.394,313.303,296.309,270.723,286.877,277.541,426.429,351.052,358.433,15.326
687.076,372.026,322.423,563.598,429.884,360.986,360.010,281.580,319.491,336.797,411.990,317.792,343.509,356.709,437.973,309.365,371.632,301.536,288.134,305.682,269.923,272.224,329.917,340.089,539.132,260.592,514.913,319.553,346.566,336.246,345.348,270.445,335.804,291.045,286.111,281.901,322.030,332.248,290.613,296.960,270.021,278.877,288.249,384.751,366.942,347.749,12.642
631.887,381.009,333.225,563.659,437.143,378.566,381.570,304.333,347.289,330.129,393.101,314.131,316.930,366.245,390.801,327.592,341.772,298.490,296.324,403.541,282.697,254.564,324.834,325.593,560.186,246.761,424.458,333.893,351.712,339.164,374.070,269.438,328.696,288.580,310.667,289.860,329.609,325.587,299.142,308.878,270.513,290.871,301.530,401.663,362.241,349.621,11.455
634.066,394.728,314.000,517.915,370.592,360.810,376.150,280.210,325.516,342.551,351.055,314.485,347.801,346.185,412.376,315.332,337.985,285.990,289.542,566.495,298.579,268.339,328.088,310.569,478.683,272.958,352.304,327.873,359.808,310.975,339.939,277.722,345.451,271.574,271.278,299.779,316.944,331.794,297.065,291.216,259.482,314.000,291.078,380.034,355.116,342.987,11.235
611.421,371.307,310.009,476.683,362.218,356.679,391.460,300.659,351.151,340.625,338.095,330.623,326.222,324.695,377.753,321.256,308.588,286.791,284.289,650.032,293.159,255.115,321.818,340.553,395.970,259.563,322.871,323.087,352.497,331.041,355.957,269.820,348.804,302.227,305.730,276.256,331.161,325.512,303.335,294.915,272.089,292.804,279.461,349.317,347.785,339.365,11.134
585.129,364.526,305.974,480.104,354.109,339.283,396.520,316.978,360.830,348.087,298.809,306.492,310.491,321.815,383.344,331.607,429.235,292.872,284.254,600.636,299.610,276.739,308.820,322.244,340.263,277.479,307.375,308.607,362.571,309.098,352.983,278.656,326.127,267.290,314.357,284.198,317.926,322.552,301.535,310.764,261.775,278.755,295.834,340.424,338.483,335.901,10.300
554.491,391.447,304.797,402.055,337.544,345.266,358.540,268.804,340.151,342.943,329.317,327.600,337.825,324.139,372.876,336.678,658.971,320.250,334.951,524.955,302.092,282.909,311.597,357.951,303.593,262.507,288.800,318.427,337.071,345.598,336.357,271.907,325.971,298.903,269.111,293.041,340.332,324.783,316.277,306.840,263.853,280.571,291.737,360.591,342.860,338.828,10.913
482.384,727.561,310.705,385.598,324.619,328.159,371.320,287.543,345.792,339.418,320.332,315.962,304.924,356.629,387.962,333.460,750.015,303.378,331.718,419.350,303.892,243.073,323.111,334.829,319.587,272.958,296.462,315.200,343.308,303.836,316.878,325.506,307.324,299.438,281.040,280.512,356.043,328.144,315.058,306.665,261.995,291.123,289.419,403.927,336.206,344.052,14.141
442.074,963.772,324.031,374.213,309.585,346.828,415.720,269.312,328.667,346.319,322.593,326.969,357.953,346.305,354.677,339.133,697.176,310.821,313.810,372.159,295.795,255.818,324.068,323.350,296.126,254.937,307.996,318.133,338.591,334.738,348.791,368.483,341.373,298.312,284.873,292.110,355.346,331.417,316.574,307.290,251.550,307.466,287.627,489.174,328.956,351.578,17.244
409.041,1078.956,327.555,350.098,324.252,347.772,371.880,305.072,340.855,362.460,340.523,339.762,359.602,349.139,361.801,333.924,771.309,299.745,310.965,350.614,302.118,267.248,336.358,345.341,325.611,279.296,276.833,356.853,343.780,330.410,373.035,488.102,361.039,315.835,279.286,298.977,346.374,332.817,292.297,361.040,254.859,297.325,302.297,528.886,339.823,363.804,20.020
379.267,1061.325,298.894,331.902,333.401,345.755,403.590,267.652,334.157,349.247,308.055,319.985,336.193,391.252,374.866,333.536,735.625,297.031,309.197,323.295,286.810,245.170,350.309,363.496,319.946,266.908,292.050,328.640,359.159,337.262,337.600,556.052,321.902,303.244,298.937,306.779,335.960,337.456,330.974,468.579,270.230,284.307,288.613,482.838,344.279,361.149,19.848
364.061,1006.667,312.013,370.427,304.293,341.614,401.950,276.739,383.164,666.260,335.965,368.108,320.789,407.358,391.075,367.227,708.772,307.413,305.746,325.718,298.877,271.630,401.595,332.114,309.150,274.162,303.483,348.747,331.765,370.721,323.565,601.233,355.559,299.790,296.532,270.250,333.093,348.842,288.368,530.005,264.932,299.847,273.555,474.007,333.052,373.339,20.187
370.923,994.447,311.731,339.348,325.395,354.676,409.340,281.797,348.132,771.036,318.688,343.923,375.673,427.808,328.177,335.199,704.647,301.765,325.014,328.705,289.723,273.194,404.841,346.309,336.868,261.120,309.775,328.573,410.063,505.574,371.374,548.528,329.000,282.852,287.413,301.000,330.404,325.356,305.529,462.169,279.848,328.712,284.922,406.022,344.520,376.669,20.355
370.359,1043.518,322.159,343.750,314.163,342.290,383.810,302.899,335.843,588.245,314.317,339.354,361.070,467.079,410.613,368.303,599.103,296.418,328.458,307.055,293.328,254.739,405.657,333.911,299.162,254.549,287.904,312.607,514.419,559.820,344.452,493.986,336.539,305.534,299.698,277.314,316.747,338.377,308.897,392.376,286.141,534.791,310.253,354.702,346.549,375.584,19.624
367.979,1062.430,324.348,329.494,315.980,362.717,405.760,286.804,321.428,427.772,341.402,333.215,331.316,390.662,489.306,759.754,633.831,331.209,315.204,324.359,295.400,277.509,408.831,346.707,324.916,254.542,297.562,338.393,518.035,549.697,328.757,412.986,371.245,300.551,296.341,261.529,336.866,327.056,299.819,341.532,274.524,532.092,294.823,340.952,349.462,380.780,21.196
346.521,995.167,317.145,338.165,321.898,350.524,383.860,305.080,332.415,362.833,315.789,342.431,311.468,389.132,492.866,873.858,613.875,348.827,278.669,340.064,293.872,290.352,463.636,332.911,315.593,259.028,296.204,357.280,432.631,490.557,346.148,348.078,338.765,295.818,296.508,285.756,328.471,332.267,292.142,324.754,270.162,556.393,300.869,324.751,371.317,375.663,20.992
355.127,981.351,305.026,341.884,327.340,335.490,359.720,324.775,358.566,340.983,339.211,312.200,321.205,385.768,503.957,886.062,583.787,330.342,305.134,311.577,302.415,263.085,414.608,330.081,310.796,249.535,312.425,329.920,388.864,436.984,378.035,316.027,350.598,310.040,327.492,278.523,328.869,334.342,308.110,306.745,253.162,497.847,279.650,341.349,333.924,368.732,20.448
357.306,937.105,315.736,353.396,306.918,335.521,370.650,312.797,366.704,337.274,318.367,313.900,332.725,358.576,470.317,867.763,500.412,307.495,273.599,338.755,298.133,269.939,380.124,333.122,332.850,264.965,296.188,327.340,347.598,424.352,413.478,297.165,359.500,328.102,307.246,292.035,333.461,350.554,305.735,304.412,266.157,419.479,287.813,334.559,356.677,362.362,18.839
