0204-0044,0252-0006,0133-0061,0115-0072,0184-0024,0238-0072,0225-0077,0230-0067,0208-0072,0200-0063,0195-0102,0189-0091,0153-0095,0164-0072,0122-0057,0173-0115,0222-0208,0238-0208,0223-0182,0214-0176,0207-0166,0200-0179,0193-0154,0239-0137,0194-0119,0204-0126,0212-0129,0249-0107,0245-0182,0228-0114,0229-0105,0218-0095,0118-0157,0172-0180,0238-0250,0077-0105,0077-0063,0081-0053,0086-0028,0053-0050,0129-0145,0120-0132,0108-0117,0090-0123,0075-0144,0048-0153,0050-0132,0027-0123,0015-0101,0018-0076,0013-0133,0048-0211,0007-0249,0017-0243,0048-0199,0078-0177,0073-0193,0109-0225,0126-0223,0148-0237,0161-0238,0141-0193,0162-0169,0170-0163,0192-0201,0187-0207,0196-0216,Average,Err
489.457,1277.525,301.194,1287.233,459.171,763.275,273.770,391.085,475.008,465.148,459.486,692.635,920.592,864.685,1101.833,2616.340,1309.745,950.563,908.899,643.061,518.465,836.843,607.325,515.775,472.259,420.761,548.226,454.373,587.628,481.643,566.562,519.630,1057.783,710.190,608.887,1045.959,581.325,375.536,320.590,1964.522,1202.676,1047.698,586.424,685.853,1010.649,1891.434,832.816,1127.425,1160.540,636.969,2164.649,945.899,741.905,702.260,856.288,421.405,450.563,1473.961,836.714,621.895,650.608,709.685,1309.596,818.115,1067.667,1042.182,645.131,828.149,54.164
501.121,1353.362,291.401,1319.224,470.943,807.018,270.568,347.423,506.181,471.625,508.824,750.990,954.578,854.589,1118.233,2605.291,1316.161,914.704,879.597,654.756,574.239,806.223,599.886,496.973,471.537,415.034,573.398,451.020,625.278,449.048,574.877,520.889,1113.771,744.905,670.758,1079.455,588.665,349.507,320.560,1891.369,1240.092,1144.570,557.598,711.845,1084.818,1943.691,787.233,1151.190,1137.540,631.330,2156.751,955.333,695.143,731.573,834.015,435.189,426.995,1504.707,820.009,619.126,618.716,723.967,1369.216,849.436,1062.935,1030.745,685.847,837.666,54.585
502.215,1280.963,295.489,1337.802,436.577,744.509,269.311,320.704,537.630,494.602,521.054,749.833,947.962,819.082,1095.917,2654.936,1287.152,905.845,871.134,665.037,580.070,842.066,626.008,490.748,469.028,429.641,539.882,458.260,619.737,494.024,617.569,512.988,1092.840,724.715,642.871,1047.003,597.885,391.275,320.420,1959.118,1194.676,1080.953,612.620,694.431,977.675,1984.020,833.680,1177.771,1147.063,639.667,2180.971,929.029,750.393,665.443,846.455,431.049,431.251,1469.532,788.080,613.758,623.422,699.076,1361.193,806.135,1064.529,945.364,654.657,832.788,54.809
495.037,1249.487,296.576,1288.974,464.187,771.520,268.919,315.676,500.276,475.125,469.284,646.667,942.924,811.507,1096.217,2641.610,1295.448,909.469,871.286,612.537,555.282,800.736,645.894,468.748,469.463,399.752,548.559,450.913,604.120,452.690,584.608,524.605,1093.227,734.721,688.782,1041.242,584.200,384.406,318.225,1964.951,1108.703,1110.593,633.761,633.233,1044.208,1948.329,791.330,1130.704,1145.778,634.526,2143.268,953.145,707.048,723.405,813.803,436.611,444.022,1468.076,804.393,630.411,600.725,704.641,1324.047,812.814,1104.007,919.473,676.489,823.663,54.449
495.131,1185.713,295.709,1263.828,437.285,755.152,260.878,313.493,515.764,481.943,482.216,721.406,953.417,846.137,1151.217,2609.192,1273.945,901.108,872.975,690.329,550.521,773.512,607.423,478.108,486.426,422.222,560.247,449.607,615.293,497.817,573.392,511.185,1076.176,746.380,711.040,1028.299,592.685,358.377,310.215,1940.562,1149.849,1045.407,593.630,662.190,990.961,1932.664,835.505,1157.017,1135.333,642.646,2147.875,951.623,674.024,725.023,831.348,439.968,444.710,1458.592,830.589,616.695,618.235,681.848,1347.082,829.256,1070.362,982.418,686.190,825.035,53.771
479.914,1293.463,306.588,1291.155,460.780,778.901,259.162,310.606,495.906,487.136,501.932,696.073,916.701,795.986,1098.150,2622.419,1264.015,931.022,906.798,706.183,561.141,839.256,638.569,480.775,457.537,409.726,551.108,446.707,646.353,482.468,588.062,529.444,1126.638,737.229,721.935,1043.411,573.285,367.942,314.215,1958.926,1128.200,1013.512,592.043,674.647,1023.545,1883.033,796.869,1125.939,1112.706,604.292,2147.743,934.884,717.964,731.412,850.939,422.330,469.962,1473.456,751.991,611.874,655.873,709.185,1350.263,834.231,1040.993,999.545,666.372,826.887,53.799
496.820,1328.312,306.786,1286.750,480.333,771.971,273.338,322.113,522.969,506.648,549.311,710.042,944.194,862.836,1165.500,2607.564,1295.355,920.794,901.857,644.524,552.577,805.397,636.919,476.108,450.620,392.855,529.763,463.580,637.571,459.937,609.792,500.062,1134.865,699.358,754.460,1028.532,610.215,405.565,331.915,1935.517,1159.303,1046.163,603.467,677.103,1012.818,1924.928,810.748,1172.240,1148.460,624.581,2169.470,902.435,733.536,708.985,820.242,439.162,435.175,1439.507,823.527,613.779,658.873,746.467,1370.474,918.795,1139.145,1057.364,679.117,838.052,54.100
491.509,1276.000,306.025,1421.741,452.854,761.228,274.203,311.549,541.394,487.761,526.622,739.208,971.649,806.356,1081.700,2633.244,1287.964,925.780,886.454,701.146,543.859,807.785,633.593,505.252,474.843,404.590,548.376,463.820,634.011,485.532,597.485,505.037,1102.368,708.028,790.581,1033.710,563.235,406.275,331.020,1998.591,1188.141,1057.372,605.261,672.810,1061.883,1875.829,791.782,1135.240,1120.056,628.175,2165.597,986.275,697.857,742.626,813.167,434.703,446.464,1443.732,799.884,588.337,605.137,705.750,1347.971,852.212,1061.500,1032.727,655.153,834.896,54.335
489.827,1304.075,314.561,1312.940,464.813,754.222,265.230,303.761,537.748,526.875,476.338,682.073,911.213,814.753,1090.883,2638.410,1299.345,935.856,936.672,672.280,539.324,824.347,616.333,497.135,465.667,416.590,558.817,449.820,655.169,488.151,572.354,501.148,1132.554,708.804,825.387,1046.156,600.365,365.420,318.640,1928.089,1200.692,1065.000,616.891,660.233,1056.169,1884.914,815.976,1148.855,1033.032,637.990,2132.984,1111.362,751.798,685.786,872.788,440.568,451.153,1524.552,790.598,582.042,629.235,751.750,1356.322,850.859,1075.341,1046.255,653.730,836.851,54.229
488.281,1302.500,314.473,1365.164,461.285,782.544,263.824,310.944,519.906,499.864,494.635,734.635,920.469,913.671,1078.367,2620.744,1309.597,915.765,930.025,686.134,578.423,826.430,641.927,501.991,462.713,402.521,550.871,473.960,711.147,501.460,598.654,489.593,1115.174,761.291,825.629,1070.726,582.990,394.754,312.965,1937.099,1155.346,1068.570,575.457,667.017,978.221,1960.553,840.170,1148.536,1105.190,627.045,2127.566,938.261,699.167,700.885,861.076,441.784,448.175,1498.335,843.366,593.032,616.951,732.223,1382.532,832.904,1144.022,1082.909,666.803,841.630,54.327
482.654,1272.237,311.036,1319.052,467.415,748.813,281.243,300.662,554.898,517.727,507.932,724.344,898.720,878.849,1093.667,2615.160,1277.358,944.065,918.597,668.024,564.366,831.488,625.496,483.414,462.361,399.350,557.710,449.080,650.474,466.913,589.000,499.160,1119.055,712.207,825.903,1059.583,583.400,357.507,326.235,1902.212,1172.751,986.826,581.043,679.681,997.506,1848.263,822.563,1137.419,1056.857,635.564,2121.771,947.899,685.512,694.977,814.773,428.757,438.623,1488.631,869.205,602.537,610.451,678.777,1319.205,861.077,1042.116,1035.091,661.029,827.855,53.210
490.153,1208.688,295.378,1283.017,458.772,781.427,274.635,317.563,566.480,510.852,475.054,674.406,908.464,855.370,1162.750,2614.919,1295.658,925.199,908.462,650.500,513.310,789.942,618.439,504.045,472.352,395.265,597.301,444.880,651.898,471.214,548.885,516.975,1088.524,724.358,884.645,1092.682,578.785,377.478,319.615,1943.064,1147.481,1037.174,641.859,668.966,983.260,1850.132,809.141,1107.006,1072.810,615.165,2108.574,955.536,725.702,678.496,898.606,445.216,433.699,1489.090,810.750,588.505,631.676,703.446,1346.567,850.910,1074.565,1001.727,653.226,828.667,53.313
524.891,1276.300,293.259,1263.310,475.407,784.018,269.811,330.183,529.535,507.125,528.054,773.323,886.142,834.890,1145.817,2641.297,1296.827,921.090,911.832,692.402,517.718,794.793,606.431,531.505,477.833,401.308,552.183,462.460,694.489,467.294,606.600,497.988,1122.336,701.916,870.629,1063.532,575.050,369.594,322.250,1973.990,1144.751,1054.663,607.446,692.784,999.857,1906.217,811.296,1151.207,1098.460,638.058,2090.397,939.319,676.321,710.878,789.561,449.676,456.322,1482.975,775.312,607.568,641.451,655.592,1331.848,836.712,1126.261,1091.455,696.204,835.194,53.740
493.257,1378.450,304.241,1287.181,454.553,759.123,274.905,358.282,519.630,504.102,521.284,685.146,902.559,846.192,1036.433,2619.762,1334.491,929.231,885.958,729.683,543.254,790.149,639.602,534.342,475.278,432.385,550.570,444.093,654.278,483.738,598.946,519.395,1106.394,706.318,885.161,1095.411,580.875,406.232,318.785,1944.788,1189.351,1001.558,637.185,636.345,1023.065,1900.355,835.170,1174.291,1095.833,641.814,2211.000,961.826,719.952,762.855,821.636,440.368,441.027,1521.056,828.188,631.411,647.480,678.587,1366.620,824.160,1116.080,961.309,665.832,839.833,54.268
506.496,1242.175,295.745,1332.121,445.626,783.351,281.446,323.958,524.480,516.795,508.000,693.562,858.332,858.411,1164.233,2621.102,1322.230,933.487,970.294,661.451,511.099,794.975,594.301,553.577,478.574,410.051,534.817,435.587,648.511,489.452,604.523,570.519,1140.389,702.274,922.056,1077.713,606.545,406.232,310.990,1951.256,1163.935,1060.570,630.489,653.474,1008.494,1944.441,799.835,1186.184,1095.738,627.674,2130.358,944.246,745.762,683.626,825.576,432.178,451.891,1485.451,841.598,631.305,675.039,696.728,1363.082,855.423,1082.435,1015.145,679.956,840.259,54.083
485.669,1270.162,300.768,1350.112,460.862,763.316,301.770,344.592,525.047,562.489,472.932,742.104,917.000,833.699,1123.150,2644.759,1306.330,958.148,946.017,680.768,548.465,822.769,631.398,553.297,478.648,408.778,547.183,451.700,689.857,490.548,574.923,501.444,1070.842,723.101,864.403,1041.038,579.690,377.449,316.320,1905.768,1148.973,1038.674,586.924,685.034,950.766,1908.158,820.422,1133.765,1098.913,644.931,2135.891,1002.290,737.667,709.122,833.379,437.924,472.055,1505.623,859.152,652.368,633.000,698.337,1352.737,841.513,1069.268,1092.891,666.949,840.060,53.650
493.249,1231.287,311.955,1351.448,480.195,770.444,316.770,336.085,493.283,503.614,503.554,738.573,881.341,856.726,1129.650,2644.683,1313.267,963.043,914.790,629.902,530.070,821.793,622.374,588.261,486.500,410.786,552.806,465.000,710.759,488.897,594.054,543.753,1095.172,721.955,894.169,1035.946,599.905,363.261,343.105,1972.650,1167.757,1100.267,595.152,667.914,1038.208,1944.342,839.432,1155.279,1113.151,635.828,2126.979,983.072,716.905,714.076,768.576,461.762,448.164,1507.163,856.152,632.811,628.108,713.929,1380.550,826.199,1056.833,1013.055,655.628,842.573,54.078
474.477,1268.713,314.174,1323.879,462.089,777.766,303.176,370.592,507.378,536.182,530.135,703.208,911.616,842.712,1127.200,2620.250,1325.985,937.249,931.454,652.476,501.915,821.132,604.992,615.937,459.222,423.291,541.151,446.280,687.598,497.444,592.215,517.951,1160.643,752.832,912.194,1032.118,589.555,374.928,328.310,1925.887,1156.314,1095.349,608.359,693.836,1009.818,1920.342,832.291,1157.436,1094.365,654.646,2118.200,927.246,730.929,665.878,829.909,424.557,455.770,1478.487,829.661,580.600,661.843,699.761,1370.661,825.468,1088.616,1061.964,657.577,840.839,53.609
