0190-0041,0179-0010,0059-0145,0001-0200-0106,0109-0122,0137-0169,0205-0007,0245-0190,0237-0213,0243-0240,0219-0241,0186-0239,0052-0008,0023-0120,Average,Err
353.639,865.683,667.299,394.578,655.792,633.952,474.052,667.641,1140.129,774.876,904.608,668.384,559.505,877.439,688.398,54.945
353.162,876.744,666.247,384.430,632.797,642.411,452.067,618.118,1072.000,766.545,880.737,681.666,544.543,870.002,674.391,52.875
342.815,869.179,660.767,383.578,648.602,679.258,493.269,669.175,1086.820,764.931,867.774,666.251,543.957,861.705,681.292,52.165
363.986,878.401,661.920,395.615,647.944,636.804,481.104,664.543,1071.820,764.483,859.070,670.961,537.710,868.562,678.780,51.096
389.702,884.718,659.439,403.311,651.022,634.397,469.082,643.802,1107.174,773.291,861.172,680.111,529.097,868.705,682.502,52.205
409.571,871.935,665.786,407.598,626.234,628.067,480.925,667.170,1092.815,782.899,910.392,695.345,563.688,888.536,692.212,51.459
443.472,860.359,667.699,402.061,643.701,661.770,471.828,661.040,1095.185,768.867,889.618,683.163,541.747,879.199,690.694,50.135
470.338,866.450,666.821,392.242,658.320,631.445,460.963,669.805,1122.152,762.059,866.849,668.498,551.392,861.912,689.232,50.423
508.767,868.962,666.790,397.541,614.043,640.641,472.515,648.040,1080.725,776.644,894.194,688.031,545.941,873.881,691.194,48.688
528.321,864.859,668.120,408.537,654.130,645.833,463.582,654.555,1081.522,774.170,913.651,687.158,547.892,873.594,697.566,48.217
535.625,882.473,665.650,384.631,675.004,666.794,464.299,644.911,1067.916,799.522,892.172,693.005,541.145,868.370,698.680,48.291
574.227,849.752,671.310,392.160,676.043,635.072,467.530,653.534,1080.646,765.169,900.468,686.003,537.554,891.912,698.670,47.785
604.168,830.450,657.600,405.348,675.688,668.995,480.127,683.733,1093.652,744.988,902.672,668.972,554.855,877.960,703.515,46.101
616.486,847.813,655.240,394.119,665.017,667.632,481.269,628.894,1166.315,780.610,912.780,670.845,549.274,871.668,707.711,50.558
642.341,876.080,658.163,386.615,657.771,644.713,482.664,652.750,1118.747,767.170,853.989,670.881,531.511,877.592,701.499,48.071
648.344,882.710,659.959,395.119,654.407,643.990,469.187,658.391,1048.803,774.114,881.253,674.090,548.156,895.327,702.418,45.883
643.401,888.046,670.543,400.857,624.061,652.536,496.478,640.836,1083.478,772.537,901.640,697.644,557.048,883.307,708.029,46.728
656.832,868.592,663.085,379.795,653.130,659.904,488.799,653.055,1085.500,774.635,877.145,673.435,559.070,856.719,703.550,46.032
649.284,857.011,669.433,389.361,632.403,659.541,466.276,657.078,1103.955,799.488,861.392,693.862,531.220,882.702,703.786,47.818
649.955,903.195,670.493,393.746,662.130,651.411,444.851,627.925,1065.388,783.405,904.091,685.488,536.989,884.760,704.559,48.197
640.852,875.115,664.339,387.508,662.342,665.517,456.313,655.448,1076.539,779.063,889.683,676.373,532.452,871.420,702.355,47.327
602.491,848.363,666.201,393.020,665.628,657.971,463.619,659.761,1090.528,771.331,869.489,671.378,548.392,873.290,698.676,46.701
518.057,849.363,658.946,388.422,628.723,671.220,455.784,652.784,1091.309,763.326,901.688,669.345,534.231,891.043,691.017,49.670
448.733,864.023,659.279,391.635,653.455,674.144,457.022,674.851,1116.972,760.455,891.339,682.994,532.290,864.944,690.867,51.403
387.142,900.618,667.181,405.889,648.299,657.426,473.582,658.695,1107.803,774.095,937.683,671.585,530.796,877.285,692.720,54.002
