0001-0037-0052,0001-0050-0100,0001-0103-0237,0001-0121-0090,0001-0157-0199,0001-0161-0179,0001-0192-0189,0001-0239-0174,0001-0188-0095,0001-0198-0156,Average,Err
979.272,632.206,361.816,1249.889,319.776,298.686,439.737,444.222,857.904,346.469,592.998,98.668
973.861,643.109,371.681,1264.937,325.707,302.101,451.745,450.597,842.880,347.133,597.375,98.338
975.391,641.145,372.096,1249.483,317.006,309.025,458.038,442.684,837.696,354.796,595.736,97.081
975.652,627.649,380.896,1274.244,330.545,302.008,490.778,450.336,858.880,355.481,604.647,98.327
968.405,659.609,369.710,1260.123,333.068,303.090,518.904,450.403,851.970,362.237,607.752,96.740
976.870,670.204,381.357,1269.309,325.588,304.073,560.533,462.399,868.973,367.556,618.686,97.416
978.473,651.162,377.735,1271.003,341.043,304.332,613.480,450.913,853.940,391.042,623.312,96.183
1009.518,674.459,387.167,1278.070,333.810,304.329,630.636,451.160,842.943,403.669,631.576,97.329
967.606,650.020,372.681,1243.848,335.216,302.930,675.806,451.575,831.367,429.042,626.009,93.058
988.737,648.250,370.457,1245.659,349.276,310.628,686.513,455.981,848.720,437.595,634.181,93.509
992.337,675.010,370.330,1277.401,349.616,298.477,753.601,451.160,870.313,448.954,648.720,97.092
991.377,675.704,380.468,1254.435,352.193,301.327,760.199,456.067,851.361,470.555,649.369,94.231
987.626,674.247,369.514,1294.799,356.957,305.902,787.220,453.362,863.340,488.112,658.108,97.049
981.935,687.642,381.104,1253.879,356.233,294.108,813.571,450.517,845.142,497.898,656.203,94.282
974.725,666.245,375.228,1263.176,351.347,294.239,828.682,448.599,864.072,504.315,657.063,95.499
974.334,651.907,376.731,1279.099,356.696,293.676,864.308,460.193,856.190,523.904,663.704,96.287
987.425,607.577,368.150,1264.227,352.315,302.869,877.197,440.729,870.708,536.629,660.783,96.814
964.875,551.975,372.768,1258.879,355.986,303.611,905.874,451.299,865.907,541.602,657.278,96.206
966.076,482.482,376.881,1264.034,358.679,300.525,922.947,454.392,860.991,550.687,653.769,97.652
1000.969,436.925,379.866,1283.823,359.733,304.073,947.712,446.850,861.946,569.897,659.179,101.371
1021.850,416.626,378.336,1280.065,363.955,299.518,982.811,453.358,873.895,577.300,664.771,103.481
989.280,399.353,378.363,1281.218,364.273,298.060,979.104,451.826,851.654,585.148,657.828,102.347
