0204-0044,0252-0006,0133-0061,0115-0072,0184-0024,0238-0072,0225-0077,0230-0067,0208-0072,0200-0063,0195-0102,0189-0091,0153-0095,0164-0072,0122-0057,0173-0115,0222-0208,0238-0208,0223-0182,0214-0176,0207-0166,0200-0179,0193-0154,0239-0137,0194-0119,0204-0126,0212-0129,0249-0107,0245-0182,0228-0114,0229-0105,0218-0095,0118-0157,0172-0180,0238-0250,0077-0105,0077-0063,0081-0053,0086-0028,0053-0050,0129-0145,0120-0132,0108-0117,0090-0123,0075-0144,0048-0153,0050-0132,0027-0123,0015-0101,0018-0076,0013-0133,0048-0211,0007-0249,0017-0243,0048-0199,0078-0177,0073-0193,0109-0225,0126-0223,0148-0237,0161-0238,0141-0193,0162-0169,0170-0163,0192-0201,0187-0207,0196-0216,Average,Err
312.578,521.125,763.603,429.172,350.268,301.977,1065.108,616.113,329.575,640.307,337.432,375.521,320.483,310.986,465.050,452.026,352.812,326.022,1104.639,428.915,375.718,390.273,400.390,1284.099,287.870,319.197,369.828,301.867,486.353,315.952,312.562,377.951,388.645,452.413,630.218,327.424,367.860,344.174,350.075,446.345,359.281,494.581,346.717,327.845,439.597,353.638,374.553,313.246,435.056,385.921,411.545,404.435,326.738,612.450,383.288,415.692,374.109,416.456,411.205,314.821,342.980,444.054,419.281,326.750,393.957,416.636,300.380,431.017,22.152
310.281,493.712,756.644,431.362,348.724,308.076,880.797,940.423,316.331,541.500,352.378,361.771,323.664,296.014,492.300,441.288,363.582,348.469,1077.824,407.976,399.690,403.322,354.626,1270.793,271.444,302.915,408.258,298.587,525.865,291.056,292.900,334.074,391.227,459.911,575.258,312.930,371.820,332.362,324.695,409.852,359.719,523.256,386.272,340.664,437.039,348.809,387.563,310.520,441.349,382.924,424.016,396.870,344.762,488.794,390.667,428.395,388.951,452.470,396.982,333.347,328.833,434.658,439.678,378.128,376.217,400.855,317.102,429.307,21.662
295.889,471.512,741.448,369.784,320.537,302.842,815.608,952.338,316.094,552.227,319.095,352.615,353.749,299.288,480.350,440.485,355.109,343.025,1003.084,403.110,417.282,350.603,358.439,1211.108,315.259,311.769,385.097,321.247,530.256,288.833,290.062,390.543,386.389,431.123,638.589,326.099,338.290,384.145,343.390,430.128,357.038,463.116,372.402,356.121,489.325,388.013,366.738,308.782,426.865,388.588,438.678,418.145,389.345,492.397,444.818,426.211,380.792,438.510,393.670,350.505,354.725,473.674,410.298,363.051,390.029,380.727,329.854,428.795,20.331
300.847,485.275,720.309,380.474,317.976,304.538,788.095,935.549,394.984,469.386,382.270,393.396,343.701,320.041,484.033,440.843,367.333,331.300,764.513,445.988,375.930,367.314,366.146,1126.027,330.741,304.949,407.828,321.967,500.132,317.929,295.608,355.531,396.426,457.570,639.621,312.287,339.515,349.130,332.820,437.581,357.357,485.547,333.424,340.534,408.961,384.822,394.063,326.279,517.643,384.567,413.382,426.159,380.667,431.504,420.879,449.530,364.464,468.580,373.634,326.516,337.343,408.103,408.550,347.827,361.790,380.873,335.343,422.004,17.862
309.175,424.250,683.085,407.483,344.171,315.246,792.770,938.085,407.850,442.591,326.716,384.115,338.900,284.575,453.400,433.509,368.473,326.968,546.899,429.854,415.141,367.240,373.846,1150.405,279.852,346.265,406.161,311.320,514.455,287.833,289.677,306.037,410.444,452.866,650.048,323.048,334.070,336.942,332.580,428.340,362.103,475.919,342.880,344.638,412.247,375.855,372.092,314.503,516.944,388.790,415.774,404.913,388.214,462.534,417.061,424.497,384.661,438.237,380.205,316.842,351.225,427.201,408.696,379.750,350.725,414.927,338.380,416.187,17.440
305.141,480.200,611.531,354.060,338.829,291.795,684.946,806.873,338.496,403.398,334.784,403.167,339.057,308.658,436.083,423.366,322.900,307.758,449.118,467.171,363.296,352.455,326.748,1028.216,284.296,284.145,350.710,294.247,491.207,305.214,302.662,347.086,393.661,428.268,632.718,328.127,359.740,322.493,337.985,413.296,366.000,498.465,343.620,336.586,422.831,385.592,392.728,321.302,552.611,398.952,429.566,459.754,388.500,410.901,445.515,428.562,362.191,428.893,376.839,331.779,374.912,399.723,397.146,370.179,356.884,375.655,295.752,403.065,14.857
307.141,443.262,621.777,355.681,390.902,310.216,674.149,842.338,351.008,389.409,347.189,409.625,345.687,321.027,449.750,440.265,350.285,327.996,436.975,419.976,344.070,356.273,376.683,1087.351,293.315,300.060,377.366,324.060,492.177,329.190,303.538,461.802,385.362,474.911,588.081,311.264,365.510,315.203,364.235,429.227,350.411,508.663,430.902,370.922,410.416,383.086,396.578,323.028,572.254,383.230,419.319,444.580,367.119,402.015,415.803,454.130,398.027,454.530,363.938,354.684,326.902,432.147,438.596,369.064,375.442,406.927,347.226,413.646,15.116
296.832,446.475,614.617,356.207,380.163,319.912,653.905,738.972,341.252,355.886,333.581,362.719,362.166,316.260,485.267,449.860,349.676,332.610,422.513,455.585,389.000,368.835,367.407,973.036,318.546,357.966,352.505,329.287,476.680,324.730,328.369,400.815,393.188,477.341,619.782,328.392,359.665,343.667,358.910,419.773,342.557,489.256,401.033,378.276,389.403,380.895,414.602,326.950,618.722,396.756,415.894,397.942,395.429,382.038,443.030,463.578,391.268,453.687,392.241,321.611,357.461,412.875,443.275,360.077,375.587,405.018,351.679,411.395,13.326
312.516,430.250,618.683,400.914,417.439,295.234,614.595,725.465,338.386,413.273,328.608,393.812,477.697,356.616,424.417,445.140,335.355,361.581,431.454,399.756,373.225,367.868,369.699,903.423,290.889,293.581,364.785,313.773,471.252,318.643,297.077,449.938,410.439,441.380,630.960,316.296,362.670,338.391,400.470,411.079,350.768,571.035,398.652,380.948,426.779,379.599,388.320,315.458,560.476,370.684,409.600,408.754,369.060,361.695,454.015,426.692,385.131,430.152,397.045,324.011,319.931,444.511,401.234,355.083,398.580,380.382,361.153,409.206,12.603
297.486,432.637,646.491,392.155,354.675,329.357,612.230,658.324,327.126,373.591,319.608,364.823,847.242,337.644,448.900,447.125,366.885,336.715,462.714,471.061,373.761,345.826,371.585,891.045,311.472,323.641,313.172,312.193,479.673,300.770,330.677,365.704,376.762,459.626,557.637,309.134,352.605,326.884,391.580,424.296,337.086,494.535,347.859,352.284,467.429,403.816,377.592,312.659,488.294,373.082,417.317,407.522,350.702,359.786,402.545,425.341,391.197,420.341,384.393,343.347,345.098,483.136,427.895,353.923,412.558,377.455,325.102,407.868,13.620
