0001-0150-0218,0001-0081-0091,0001-0173-0157,0001-0145-0133,0001-0153-0130,0002-0119-0167,0002-0192-0036,Average,Err
339.835,351.420,354.100,383.050,306.888,435.069,285.604,350.852,17.174
351.734,387.754,391.887,425.562,297.663,456.275,331.168,377.435,19.173
347.876,390.935,383.650,487.038,299.517,475.981,472.317,408.188,25.263
354.944,370.971,379.450,420.062,317.180,451.231,519.921,401.966,23.705
394.380,394.674,400.619,442.250,283.112,460.131,457.327,404.642,21.314
516.960,400.442,418.644,436.363,343.112,475.600,346.950,419.724,22.311
557.836,411.754,426.725,507.238,343.719,534.987,281.911,437.739,35.751
573.251,419.348,745.700,1337.638,939.562,1533.056,262.941,830.214,164.578
579.405,497.572,1199.138,1610.338,975.831,1814.669,297.822,996.396,201.967
608.924,864.188,1233.669,1622.438,905.225,1737.519,268.376,1034.334,185.898
606.346,1060.587,1110.588,1509.838,802.876,1637.356,263.030,998.660,170.173
588.604,1027.319,1124.219,1591.225,837.787,1537.325,289.604,999.440,166.271
590.363,1009.051,1141.856,1558.688,817.584,1408.225,304.703,975.781,155.143
608.098,880.783,1141.525,1603.912,812.202,1391.006,351.921,969.921,153.488
596.341,775.406,1126.069,1450.763,808.854,1292.500,340.515,912.921,138.239
605.047,735.833,1204.000,1594.750,855.607,1333.119,331.089,951.349,155.433
582.625,678.790,1277.575,1486.050,863.393,1451.181,338.584,954.028,158.795
541.469,610.370,1344.125,1563.162,812.135,1581.981,485.871,991.302,171.156
501.274,576.964,1489.406,1521.675,820.831,1788.669,555.455,1036.325,190.693
471.640,555.587,1413.287,1432.800,826.483,1839.150,488.881,1003.976,193.264
460.966,586.275,1431.963,1305.075,738.809,1765.119,404.347,956.079,188.242
451.473,727.384,1456.481,1258.325,686.517,1806.044,334.545,960.110,193.252
492.736,946.159,1277.625,1031.775,619.876,1657.800,312.584,905.508,164.474
633.578,1104.036,1241.425,945.675,558.966,1631.713,288.109,914.786,160.093
689.244,1139.638,1095.331,750.275,483.124,1552.306,320.901,861.546,148.922
662.257,1123.899,1048.394,687.325,447.472,1369.888,293.554,804.684,135.801
652.894,1081.268,922.175,642.750,473.921,1376.681,321.099,781.541,128.274
604.322,929.717,801.044,721.100,449.360,1236.269,307.703,721.359,108.203
543.770,833.072,737.538,784.075,518.730,1241.175,328.040,712.343,102.381
509.168,705.500,733.150,1066.850,749.281,1266.237,318.218,764.058,111.777
476.525,612.196,701.956,1619.575,917.292,1246.606,336.861,844.430,158.765
453.886,539.638,741.550,1796.725,986.854,1361.719,519.089,914.209,176.271
440.267,535.877,805.606,1764.850,888.180,1486.588,553.505,924.982,178.470
487.099,541.652,917.925,1607.688,811.888,1528.281,493.426,912.565,167.011
577.282,590.457,1082.650,1508.650,825.337,1624.144,392.911,943.061,167.691
600.112,709.804,1286.138,1442.100,759.539,1761.175,359.099,988.281,178.911
555.425,812.797,1450.931,1356.013,693.933,1664.450,326.356,979.986,177.795
532.889,1043.275,1527.737,1198.812,692.404,1739.256,320.960,1007.905,182.939
501.743,1033.225,1461.350,1170.500,660.101,1666.319,334.970,975.458,174.311
494.163,1143.188,1402.800,1124.763,686.315,1720.188,326.693,985.444,176.306
466.384,1105.486,1299.619,995.900,611.000,1637.531,347.149,923.295,164.655
446.306,1029.225,1190.856,1026.575,591.573,1504.675,335.337,874.935,149.718
443.443,977.957,1168.275,1060.125,597.180,1546.362,473.089,895.204,143.122
446.894,996.232,1087.094,1159.487,654.944,1420.706,567.535,904.699,124.414
506.976,950.500,968.112,1133.438,667.056,1311.219,495.267,861.795,110.019
562.943,861.232,904.288,1146.162,753.820,1323.350,388.426,848.603,112.444
567.887,766.116,833.075,1245.425,715.775,1320.644,342.762,827.384,122.600
523.921,671.725,803.212,1409.963,861.708,1356.875,318.119,849.360,142.414
464.400,637.732,720.513,1576.287,865.719,1255.225,306.188,832.295,156.231
400.821,579.819,639.362,1486.338,822.404,1063.869,320.525,759.020,142.353
410.118,578.072,641.869,1598.287,805.270,934.900,309.911,754.061,150.317
416.516,576.159,609.625,1536.200,842.146,787.369,317.297,726.473,140.879
469.259,537.565,548.319,1469.825,796.360,735.400,317.158,696.269,131.884
569.924,579.638,557.288,1253.188,746.809,677.744,525.426,701.431,89.322
807.342,563.239,567.688,1287.188,708.719,624.237,582.168,734.369,90.796
728.121,566.717,592.725,1276.100,703.067,661.856,478.683,715.324,91.557
554.820,580.826,563.306,1091.375,641.236,655.788,361.861,635.602,77.966
444.373,565.688,519.938,918.225,549.404,649.394,315.208,566.033,65.637
402.375,558.703,539.013,786.550,494.011,643.056,309.129,533.262,54.548
413.351,560.565,514.587,641.525,407.742,644.400,303.188,497.908,45.059
429.575,558.630,540.106,618.625,377.843,666.888,309.059,500.104,45.917
476.435,572.768,564.000,521.188,379.888,693.931,322.000,504.316,43.796
492.025,575.188,616.513,537.062,384.584,694.425,542.673,548.924,34.063
452.987,543.130,836.069,543.913,391.899,681.775,572.465,574.605,51.500
423.166,523.630,1256.787,540.737,361.831,659.031,496.347,608.790,105.211
401.283,558.239,1619.537,540.375,375.000,675.156,360.267,647.123,155.343
415.446,575.964,1680.500,518.725,362.989,644.281,309.762,643.952,165.219
418.539,539.239,1615.169,529.575,366.742,645.612,288.396,629.039,157.780
489.512,592.993,1568.631,560.138,366.202,660.900,306.861,649.320,148.418
645.329,557.978,1466.219,501.663,379.371,649.019,292.119,641.671,135.341
703.629,580.558,1467.287,510.325,375.382,643.819,286.010,652.430,135.757
640.988,559.877,1367.594,547.737,367.888,642.250,288.475,630.687,123.001
514.182,560.652,1273.644,549.050,373.955,669.144,302.109,606.105,111.544
424.791,540.768,1259.819,545.337,354.708,662.531,362.426,592.912,109.984
396.427,563.659,1129.481,525.500,359.371,648.038,568.693,598.738,89.196
384.066,537.029,1153.150,582.725,371.966,658.706,555.337,606.140,91.923
392.162,564.609,1050.206,524.562,393.315,679.656,395.267,571.397,83.064
386.414,539.312,1013.587,521.675,362.809,641.025,327.535,541.765,82.676
410.013,547.674,1031.781,522.675,364.067,656.044,297.614,547.124,85.942
418.909,527.819,931.531,560.987,359.730,636.606,286.960,531.792,74.770
419.576,536.978,760.612,563.237,393.393,630.538,318.941,517.611,53.217
423.723,565.043,660.044,572.725,367.528,677.231,302.941,509.891,51.122
411.429,528.486,575.450,478.788,344.236,648.400,286.703,467.642,45.006
397.523,545.275,502.456,552.125,391.978,642.700,293.119,475.025,41.831
391.195,549.739,483.206,549.013,357.483,658.794,309.584,471.288,43.568
396.697,528.217,476.163,543.500,353.393,636.644,369.832,472.064,36.582
398.299,513.203,504.262,529.350,383.910,653.656,635.327,516.858,36.368
385.931,534.848,489.956,574.163,347.303,624.750,515.673,496.089,34.654
386.037,509.290,489.925,514.837,340.169,628.850,367.149,462.322,35.930
393.407,532.138,457.975,542.337,349.652,603.050,324.713,457.610,37.067
394.934,541.623,485.419,498.050,378.438,626.675,291.545,459.526,39.331
386.254,529.862,472.919,509.125,357.629,611.531,304.802,453.160,37.823
387.204,510.471,516.200,509.038,365.573,654.450,293.594,462.361,42.327
389.557,515.949,492.062,516.087,373.809,636.450,313.842,462.537,38.372
384.311,516.152,479.725,499.725,372.730,614.525,365.347,461.788,32.350
377.242,512.283,495.856,513.587,354.258,587.925,533.990,482.163,29.734
382.092,504.899,453.419,536.938,349.573,589.062,510.693,475.239,29.913
385.270,502.616,488.681,510.825,375.876,604.744,401.931,467.135,29.225
379.132,509.428,486.587,531.938,379.416,589.219,331.485,458.172,33.365
374.829,482.761,498.525,502.113,344.404,586.906,306.733,442.324,35.514
372.134,486.754,506.619,522.487,348.371,572.962,296.634,443.709,36.300
375.585,498.341,520.075,521.237,369.382,586.625,346.733,459.711,32.897
382.931,479.029,495.444,505.100,377.258,582.856,373.119,456.534,28.211
374.742,486.804,511.706,549.750,347.067,596.650,602.050,495.538,35.422
365.825,466.899,491.750,521.288,366.663,579.269,494.416,469.444,27.545
373.935,465.580,498.556,542.438,332.382,588.244,432.228,461.909,31.687
383.009,471.232,491.681,536.325,339.079,577.494,345.822,449.234,33.054
377.818,474.014,498.325,468.575,322.876,588.044,351.723,440.197,32.785
379.534,443.746,504.381,537.712,338.427,578.756,325.099,443.951,35.000
375.212,449.362,505.831,473.825,360.629,621.025,295.752,440.234,37.699
371.940,449.812,491.131,489.962,352.730,578.156,358.713,441.778,29.667
373.004,478.370,510.175,541.975,346.573,572.350,550.881,481.904,31.146
369.526,466.543,506.113,495.837,321.124,532.244,522.149,459.077,28.572
364.602,448.971,487.519,498.762,331.270,598.894,491.406,460.203,31.406
373.711,446.913,477.056,468.275,303.831,581.419,389.564,434.396,31.128
366.029,426.333,492.031,482.788,326.494,555.506,327.000,425.169,31.184
360.627,473.442,480.900,464.688,313.539,554.481,331.772,425.636,31.645
380.150,411.268,509.219,483.400,322.079,570.163,350.446,432.389,31.798
368.634,420.906,481.919,508.025,328.955,557.875,343.089,429.915,30.887
373.531,461.739,499.613,495.500,327.955,539.938,454.485,450.394,26.155
375.941,423.587,509.262,478.100,350.404,566.550,445.030,449.839,26.346
364.564,432.145,505.956,468.587,349.831,568.431,433.802,446.188,26.846
361.667,408.884,477.444,473.400,342.899,554.837,351.911,424.435,27.958
367.292,446.188,530.575,480.387,335.202,557.862,444.802,451.759,28.244
367.866,407.558,513.775,451.575,375.449,546.806,468.337,447.338,23.833
365.997,461.116,481.450,520.275,339.528,566.244,460.099,456.387,28.082
366.539,448.486,505.944,457.012,339.820,520.938,395.010,433.393,24.080
358.993,424.391,485.887,474.488,327.124,536.281,367.564,424.961,27.021
367.072,450.065,496.325,468.663,325.449,546.981,349.267,429.117,29.062
367.976,429.377,506.331,491.000,358.303,539.056,326.050,431.156,29.006
373.361,459.739,494.450,496.500,323.270,572.975,394.950,445.035,30.016
373.072,437.058,476.000,496.800,350.494,542.869,655.109,475.915,36.378
356.209,430.406,491.856,500.550,342.079,568.381,593.248,468.961,34.152
376.424,431.891,506.756,490.562,346.034,546.981,431.822,447.210,25.192
365.477,441.362,500.969,459.762,313.416,535.781,324.802,420.224,30.437
357.149,455.971,500.244,454.750,359.191,526.950,319.673,424.847,27.822
361.926,439.007,495.794,474.312,329.888,531.938,277.396,415.752,32.977
362.233,452.565,486.988,446.675,342.809,537.688,311.257,420.031,29.007
355.832,415.565,479.269,451.275,329.303,525.519,311.297,409.723,28.236
366.456,431.268,488.856,467.663,334.011,547.169,341.881,425.329,28.384
375.417,403.043,475.512,459.962,327.438,533.831,653.802,461.287,38.122
368.641,428.159,454.837,445.012,304.966,537.400,592.574,447.370,33.835
362.917,413.601,483.081,478.125,339.202,525.175,470.000,438.872,24.013
370.817,409.435,495.800,438.788,337.483,531.819,367.871,421.716,25.006
366.803,406.355,489.475,464.062,316.775,522.913,349.327,416.530,27.083
366.800,444.326,448.419,462.488,326.112,527.944,347.465,417.651,25.445
361.121,416.768,486.906,468.887,325.292,493.475,338.752,413.029,25.142
355.398,418.942,458.131,451.025,302.551,534.538,326.396,406.711,28.937
363.573,417.964,446.200,452.337,337.629,536.194,348.198,414.585,24.808
350.082,412.087,453.469,426.562,307.551,511.144,491.238,421.733,25.603
369.815,422.594,467.181,445.850,332.888,558.631,514.574,444.505,27.467
