0001-0150-0218,0001-0081-0091,0001-0173-0157,0001-0145-0133,0001-0153-0130,0002-0119-0167,0002-0192-0036,Average,Err
695.298,741.833,387.519,394.075,339.404,382.231,478.059,488.346,57.087
702.808,736.688,361.744,390.712,334.045,385.481,497.139,486.945,58.499
692.400,709.261,368.637,404.450,349.000,379.025,497.089,485.695,54.061
690.029,719.159,379.956,390.137,364.640,369.625,446.297,479.978,54.589
706.126,748.986,363.775,398.500,336.056,400.019,461.485,487.849,59.017
696.526,745.188,375.913,386.337,346.685,372.644,507.446,490.106,58.231
705.177,754.297,382.856,388.863,332.202,395.644,480.277,491.331,59.204
689.991,755.884,367.169,397.387,339.079,361.900,539.406,492.974,59.919
701.980,762.341,385.044,398.600,331.753,370.363,524.089,496.310,60.392
704.424,767.312,388.500,406.762,323.775,355.531,507.624,493.418,61.620
705.503,728.899,373.050,386.750,344.225,377.594,507.634,489.093,57.506
710.079,728.804,358.406,372.562,319.831,382.456,518.891,484.433,60.223
687.078,739.014,370.525,389.175,337.258,371.056,499.743,484.836,57.618
695.698,733.486,383.044,378.500,339.978,381.675,551.327,494.815,57.731
677.992,730.428,361.969,363.575,323.112,369.994,515.059,477.447,58.432
685.180,679.326,377.306,354.387,302.079,356.312,516.762,467.336,56.304
687.106,736.543,352.562,345.688,322.640,374.550,518.158,476.750,60.651
693.730,730.486,346.281,356.038,305.697,352.369,486.941,467.363,61.821
677.792,717.957,350.944,350.125,306.483,360.663,448.376,458.906,59.161
688.421,729.362,326.806,327.200,308.506,324.369,439.743,449.201,64.055
691.029,691.848,321.975,333.525,310.303,329.419,486.614,452.102,60.929
683.798,717.913,315.956,338.300,300.247,326.594,527.871,458.668,63.900
688.674,704.022,300.225,322.675,308.393,303.706,498.842,446.648,64.507
664.425,683.072,307.069,358.188,310.562,305.762,555.386,454.923,60.667
659.424,623.174,305.331,352.538,319.618,310.275,560.495,447.265,55.871
661.605,615.464,313.900,353.663,310.124,314.212,519.109,441.154,53.869
657.901,621.920,324.087,346.913,310.854,298.894,540.416,442.998,55.197
660.599,628.681,320.750,377.688,315.933,319.119,534.624,451.056,53.542
666.948,629.609,326.306,376.400,323.584,324.850,536.554,454.893,53.263
644.955,612.130,326.275,376.150,303.449,327.556,512.663,443.311,50.536
669.983,632.464,348.669,320.675,276.573,333.381,529.455,444.457,56.866
660.255,653.297,344.319,282.175,267.494,312.581,507.376,432.500,60.307
666.729,657.652,345.762,300.163,261.146,317.944,469.832,431.318,59.670
663.291,668.928,337.831,304.875,260.775,309.625,498.000,434.761,61.155
