0234-0127,0127-0162,0168-0167,0157-0158,0144-0148,0141-0228,0129-0220,0117-0222,0142-0188,0226-0056,0202-0085,0214-0074,0191-0097,0186-0111,0211-0119,0243-0095,0185-0069,0202-0062,0209-0035,0176-0038,0166-0030,0184-0005,0116-0071,0170-0075,0162-0060,0231-0251,0237-0196,0208-0190,0211-0150,0111-0097,0101-0107,0063-0052,0086-0095,0078-0077,0100-0022,0117-0026,0095-0198,0059-0192,0058-0160,0019-0175,0033-0156,0033-0118,0011-0082,0187-0141,0161-0120,Average,Err
620.960,482.754,413.203,318.238,336.667,627.203,752.040,576.449,346.937,918.629,383.347,473.400,415.462,476.245,515.022,410.962,439.838,395.597,406.697,422.877,439.467,330.352,500.254,417.057,454.754,418.789,325.221,404.573,521.699,337.221,345.104,376.935,413.382,354.909,367.786,386.767,455.925,357.306,319.865,344.430,326.995,344.945,435.689,388.174,564.404,436.990,17.404
642.621,476.044,405.815,321.982,302.871,594.890,741.580,547.804,350.950,910.985,385.276,478.477,427.988,471.589,492.683,412.000,453.044,379.770,410.077,425.136,440.523,336.509,491.403,393.894,430.964,378.176,330.092,418.627,494.881,345.262,361.643,371.106,394.304,348.892,378.556,367.616,453.945,352.221,334.310,325.090,314.785,351.362,442.661,380.668,559.881,431.755,17.091
647.787,531.114,416.070,322.695,312.735,606.321,763.310,553.109,343.560,908.010,391.724,477.285,459.064,496.755,529.898,432.038,459.500,395.276,432.669,463.836,430.595,349.697,506.824,407.902,413.766,385.465,321.083,403.580,538.902,357.295,354.348,367.486,404.647,342.017,354.206,386.238,447.932,366.331,338.316,312.748,327.110,363.485,442.242,364.574,569.683,439.983,17.640
663.217,503.140,378.868,326.262,274.878,598.624,698.050,578.862,345.233,892.810,377.121,478.462,427.860,442.470,514.763,426.166,430.941,400.128,417.162,438.695,439.492,319.921,506.088,391.057,417.275,376.451,342.988,400.620,511.008,345.205,352.991,370.790,409.353,362.994,361.643,363.913,450.317,367.296,330.587,313.536,322.518,341.479,456.652,343.939,590.169,431.155,17.266
664.480,500.053,395.238,321.793,273.483,628.328,724.200,560.790,343.170,927.859,392.171,476.954,440.912,495.245,518.059,419.915,439.787,390.000,402.732,435.327,411.749,333.236,499.704,414.650,377.515,368.993,342.650,413.387,505.452,339.320,370.313,373.564,410.324,333.898,377.778,367.587,443.788,367.742,337.613,301.304,324.466,344.804,443.735,342.143,580.320,432.812,18.024
670.876,505.316,402.846,307.091,258.054,597.821,692.240,569.188,336.283,934.644,373.638,470.838,369.193,494.007,494.172,423.493,434.831,384.071,413.458,439.691,430.241,316.697,507.990,411.569,361.874,371.387,333.396,396.800,508.573,340.508,361.461,373.864,407.196,348.676,381.071,385.919,455.740,373.829,343.639,308.043,326.031,329.423,456.899,351.228,565.270,429.313,17.940
575.696,479.491,415.586,332.817,262.741,621.614,752.510,579.594,347.981,921.985,369.935,465.885,361.667,453.358,474.591,429.517,450.721,374.112,399.993,460.841,423.518,343.182,515.247,422.228,334.790,392.979,339.258,412.253,505.846,357.213,354.765,380.455,426.833,356.409,364.810,376.814,457.148,370.369,332.400,304.020,321.435,343.742,459.627,341.787,569.904,429.726,17.686
463.043,481.404,383.441,321.890,253.884,609.441,777.600,620.783,358.893,923.504,337.241,458.785,348.327,511.026,501.796,435.853,453.176,407.765,435.986,434.968,434.549,323.885,497.420,401.537,334.874,396.437,342.025,399.620,540.227,355.549,368.487,379.198,408.539,350.744,359.468,387.680,456.854,373.400,356.355,313.448,321.330,347.755,434.166,343.736,575.308,429.364,18.035
361.859,509.579,390.176,303.707,260.429,595.324,783.050,608.667,331.629,924.061,288.508,466.915,360.696,473.232,464.602,439.303,445.463,390.066,405.169,451.832,427.282,333.715,490.650,382.211,306.455,376.761,326.450,434.547,509.697,360.418,353.130,374.935,394.490,347.062,360.444,385.744,459.217,368.058,348.665,316.518,322.105,350.233,436.198,357.973,586.625,421.419,18.257
341.011,487.825,409.317,277.982,258.844,609.690,774.690,605.913,338.069,924.838,291.131,481.008,351.550,479.947,487.613,430.223,452.162,398.832,407.655,429.345,430.149,334.085,518.956,400.512,309.928,377.810,338.137,416.527,523.869,338.664,365.478,375.394,415.157,363.489,363.460,377.860,457.279,378.329,374.045,310.309,306.948,352.227,458.850,356.777,565.323,423.271,18.320
325.921,488.140,423.167,277.280,258.585,597.797,742.860,636.696,353.774,925.114,285.849,488.215,348.298,486.987,509.855,421.152,458.647,405.408,420.000,435.636,426.574,321.079,526.029,415.073,287.413,375.993,332.396,414.727,497.745,349.639,373.417,392.091,404.961,357.438,390.571,398.541,459.740,367.581,356.503,320.160,325.524,348.356,450.097,371.540,562.265,424.774,18.151
321.534,499.825,395.564,262.744,255.265,617.090,746.660,596.188,342.969,936.053,277.633,492.531,354.784,454.841,485.328,425.346,457.537,417.934,402.641,459.318,432.077,331.976,517.410,418.366,288.060,409.739,327.725,419.280,499.139,325.730,340.322,376.010,432.735,356.926,363.175,374.110,451.894,372.319,339.284,328.484,323.052,334.442,447.740,368.383,572.622,421.173,18.510
314.516,495.175,405.692,262.073,253.844,602.383,790.270,577.399,351.830,943.192,269.131,463.400,361.117,466.589,504.952,429.777,445.588,408.801,421.915,451.336,427.626,338.188,498.894,405.902,275.012,382.599,295.917,402.180,528.634,353.295,355.826,375.849,399.765,357.983,371.016,357.709,454.823,373.198,373.419,329.299,330.613,336.215,437.408,378.581,537.898,419.930,18.742
313.376,491.386,402.163,265.756,259.354,588.000,765.890,613.899,348.277,927.743,282.010,487.485,361.234,480.623,488.774,444.095,438.191,401.485,422.599,439.618,436.708,341.818,490.150,368.341,273.808,373.014,283.779,416.713,511.490,363.943,376.843,379.935,420.431,344.335,375.484,388.808,451.871,372.540,357.458,332.133,334.921,380.006,448.829,360.954,572.148,421.743,18.362
316.559,494.465,400.242,267.902,255.741,608.417,763.740,595.312,345.245,922.517,290.668,496.946,363.830,467.675,485.108,442.725,449.471,382.663,419.915,439.773,410.518,335.673,509.930,409.886,286.892,373.887,285.246,405.087,512.068,359.139,382.261,386.487,397.490,355.403,396.190,372.820,450.559,368.613,392.374,329.241,343.131,354.288,450.691,363.814,566.122,422.372,18.170
320.633,492.912,403.665,264.055,266.898,608.714,744.900,558.290,343.119,942.538,287.382,503.531,386.585,482.576,521.683,451.114,440.434,399.786,436.289,467.864,435.759,329.564,513.187,399.707,275.503,382.042,296.533,427.280,514.139,343.689,358.009,372.889,405.461,351.006,349.992,378.395,455.558,367.502,360.484,333.622,324.995,350.920,460.212,370.322,577.206,423.488,18.477
312.244,475.728,422.185,258.195,254.946,582.221,764.200,616.862,348.006,937.690,288.196,481.823,381.982,482.099,505.296,459.336,473.382,391.526,422.169,444.077,426.410,355.006,517.823,405.748,287.922,375.718,297.867,405.647,510.053,354.967,369.478,379.343,406.088,354.352,381.905,403.430,457.905,377.925,373.052,341.484,335.314,339.202,459.401,369.852,570.387,425.743,18.409
317.147,476.456,393.225,265.787,262.898,618.248,787.340,593.188,355.950,916.956,301.598,482.400,381.784,500.689,481.419,439.227,435.287,397.112,436.556,448.682,421.805,330.927,491.639,411.187,287.952,399.754,299.729,404.107,512.583,363.639,345.400,379.846,420.912,384.227,361.349,412.163,462.683,367.831,366.335,334.228,344.597,361.552,449.938,374.334,588.453,425.980,18.233
321.706,479.851,414.172,265.354,266.735,605.762,745.810,581.435,361.031,965.338,318.764,455.338,381.784,509.682,492.070,437.284,448.412,399.449,416.556,428.555,436.969,331.297,522.824,431.878,313.102,388.345,316.008,405.487,508.644,371.918,382.548,388.022,413.912,380.631,377.190,382.640,465.121,380.988,358.594,346.685,330.848,345.356,449.479,388.709,574.663,428.599,18.115
