0001-0034-0030,0045-0032,0079-0024,0074-0012,0123-0006,0118-0058,0115-0004,0106-0004,0110-0014,0094-0021,0085-0008,0064-0017,0025-0043,0020-0051,0013-0037,0010-0021,0102-0042,0110-0045,0104-0061,0092-0074,0096-0089,0122-0035,0090-0066,0090-0121,0080-0105,0070-0109,0079-0082,0071-0077,0061-0088,0054-0096,0044-0077,0062-0075,0054-0072,0043-0088,0026-0066,0046-0122,0038-0111,0026-0095,0023-0103,0019-0088,0006-0069,0010-0081,0010-0098,0026-0111,0017-0113,0005-0119,0003-0107,0009-0122,Average,Err
1204.621,1086.743,2114.264,1091.848,773.947,1015.237,599.655,586.623,882.464,1022.652,615.263,425.007,523.483,483.154,456.094,407.921,445.780,555.160,530.875,868.149,802.917,481.000,472.068,431.165,545.850,448.087,487.389,482.928,544.710,539.067,518.036,547.057,681.379,486.972,609.281,593.463,404.207,437.725,458.449,620.427,450.681,508.327,475.757,572.574,598.415,2315.929,539.405,814.333,678.261,54.445
1129.603,1155.193,2128.025,1060.562,755.415,1039.432,647.636,545.321,832.661,1013.461,599.538,417.606,499.607,500.800,472.688,410.254,441.412,522.660,535.750,865.324,723.708,505.840,511.341,429.655,491.983,425.400,452.875,526.406,558.232,549.783,506.732,499.214,689.052,459.962,615.706,540.415,424.638,436.870,481.986,616.438,462.462,513.173,476.420,617.735,599.764,2333.343,546.622,758.911,673.492,54.590
1214.897,1167.476,2151.785,1076.800,710.606,991.212,554.255,540.396,846.179,1006.435,658.062,431.373,550.618,506.846,460.328,412.968,464.333,491.240,451.450,935.068,779.408,451.346,501.614,429.130,560.900,478.050,464.722,493.029,541.536,590.583,512.875,549.071,751.776,489.406,596.394,593.065,358.379,423.754,470.348,649.312,480.890,478.952,500.707,577.618,614.283,2425.671,540.595,738.044,680.496,56.578
1225.310,1093.551,2136.174,1104.229,781.638,1021.678,572.236,584.925,910.982,992.870,675.812,459.486,520.281,483.462,434.719,461.587,443.644,544.060,441.550,897.243,777.158,469.642,473.341,428.765,536.483,469.087,428.597,511.029,554.971,471.050,521.482,542.914,685.103,516.113,624.575,568.545,372.483,437.551,475.551,576.854,452.989,496.577,491.862,590.397,571.726,2420.629,533.297,738.667,677.560,56.402
1226.448,1154.353,2107.000,1021.524,738.777,1026.763,578.509,576.170,836.571,963.209,686.150,433.852,514.753,500.985,465.391,458.841,456.040,544.260,496.650,913.541,748.167,452.519,451.614,429.725,541.483,468.850,445.319,430.638,627.304,529.150,498.054,531.186,676.310,516.679,645.781,592.764,381.603,467.493,466.391,636.708,497.516,502.923,479.707,600.426,627.660,2421.329,564.703,766.756,681.220,55.570
1139.603,1123.449,2076.926,1078.486,727.138,1048.237,579.164,596.868,914.232,991.522,597.500,407.211,523.978,460.923,437.938,437.317,455.853,547.600,523.500,878.959,811.625,477.222,500.136,430.825,522.050,442.625,419.139,498.594,576.928,488.933,461.036,548.871,682.569,472.160,650.225,586.821,341.500,431.188,472.217,642.719,454.319,526.683,494.442,572.294,617.830,2374.271,524.757,819.822,674.754,55.066
1246.707,1165.460,2188.992,1077.667,721.766,1021.568,618.145,567.019,900.893,984.270,633.100,426.444,511.371,470.400,456.359,461.683,453.164,537.460,507.250,928.203,768.458,509.988,533.182,418.580,549.117,449.875,466.264,469.797,568.029,518.533,501.893,519.086,689.897,480.377,598.638,609.911,396.362,461.348,450.957,637.896,476.066,502.462,486.657,552.779,601.972,2323.586,539.946,767.378,681.811,55.692
1262.259,1160.214,2195.231,1026.486,735.649,995.110,591.636,588.679,850.464,996.217,684.475,414.725,512.528,512.338,469.359,469.286,465.441,506.480,480.600,986.351,750.592,508.210,535.886,445.620,536.767,458.500,502.931,459.928,557.623,515.000,479.946,518.843,674.017,496.509,629.444,586.935,395.845,435.261,481.275,652.615,472.363,521.029,481.735,570.632,638.292,2420.600,589.919,751.800,686.909,56.726
1293.241,1189.738,2249.620,1062.924,746.638,985.229,623.964,568.679,871.643,1024.191,650.038,422.627,532.191,504.769,440.938,469.921,449.305,538.040,448.075,931.919,750.325,472.000,534.295,431.910,535.933,501.375,467.417,472.971,572.841,476.367,520.482,522.600,693.069,546.311,626.300,580.285,376.552,419.203,472.913,631.417,465.714,525.087,470.790,564.971,614.821,2291.386,540.541,719.222,683.350,56.232
1258.138,1210.225,2161.372,1113.276,749.691,1066.814,624.018,573.642,837.893,1050.504,637.013,437.387,538.944,538.262,437.469,457.270,447.797,511.420,495.475,930.905,736.092,479.778,502.455,428.755,499.850,460.538,495.153,461.449,563.246,468.667,442.357,562.114,657.052,472.972,626.350,600.967,356.379,425.855,505.899,676.219,461.527,552.048,465.950,564.691,627.887,2469.400,495.432,713.044,684.367,58.037
