0001-0061-0035,0001-0091-0099,0001-0049-0095,0001-0065-0081,0001-0067-0105,0001-0061-0107,Average,Err
387.050,1035.692,1372.724,1359.132,2392.000,2739.250,1547.641,325.238
383.560,1097.283,1308.992,1361.383,2384.030,2685.471,1536.787,318.113
383.499,1036.911,1357.559,1337.347,2383.949,2823.265,1553.755,334.283
383.637,1047.279,1349.102,1314.437,2358.879,2760.618,1535.659,326.072
385.641,1054.433,1358.417,1341.293,2334.475,2833.868,1551.355,331.046
386.834,1086.623,1313.646,1375.521,2390.707,2703.441,1542.795,320.195
386.751,1046.567,1389.480,1349.377,2346.970,2665.441,1530.764,314.013
387.680,1032.291,1334.677,1380.162,2394.657,2789.662,1553.188,331.007
382.490,1094.486,1355.441,1339.904,2446.727,2769.000,1564.675,330.881
389.130,1053.522,1333.244,1329.228,2320.020,2806.353,1538.583,327.465
385.868,1104.660,1312.197,1351.647,2354.253,2793.235,1550.310,326.679
386.498,1028.984,1327.362,1311.599,2308.000,2692.162,1509.101,316.257
381.064,1056.534,1299.370,1313.371,2470.990,2834.044,1559.229,342.589
391.117,1083.283,1308.677,1332.958,2297.535,2875.456,1548.171,332.574
387.698,1099.296,1344.339,1328.689,2490.374,2757.044,1567.906,332.695
387.183,1039.045,1372.953,1305.808,2333.091,2833.294,1545.229,331.836
392.542,1030.069,1322.961,1366.413,2383.818,2811.353,1551.193,332.563
387.291,1036.211,1318.661,1329.743,2288.667,2771.897,1522.078,322.830
386.604,1044.717,1355.370,1346.611,2381.404,2711.397,1537.684,321.767
382.410,1034.223,1286.079,1360.216,2259.758,2678.118,1500.134,311.647
385.354,1070.381,1351.441,1349.790,2338.444,2732.662,1538.012,319.957
385.525,1066.623,1269.173,1390.257,2402.273,2744.868,1543.120,326.931
393.439,1054.883,1255.370,1362.563,2412.101,2803.868,1547.037,334.168
387.978,1072.457,1276.646,1344.317,2351.232,2846.515,1546.524,334.092
383.146,1087.462,1299.520,1402.353,2307.808,2766.029,1541.053,321.133
389.237,1045.798,1242.346,1358.437,2352.949,2685.235,1512.334,318.761
380.821,1044.802,1276.677,1368.359,2361.636,2802.706,1539.167,331.546
387.934,1011.271,1339.071,1357.467,2304.273,2811.735,1535.292,328.371
387.917,1048.522,1295.362,1306.024,2379.101,2751.824,1528.125,327.244
386.212,1063.174,1309.638,1328.299,2439.475,2728.382,1542.530,328.200
379.090,1019.271,1293.244,1399.916,2382.960,2734.426,1534.818,326.448
385.026,1032.644,1333.039,1323.353,2405.818,2714.676,1532.426,325.333
389.566,1033.437,1284.197,1329.150,2322.879,2745.529,1517.460,322.884
390.544,1045.445,1301.850,1336.108,2369.030,2758.000,1533.496,326.372
386.793,1103.879,1295.654,1358.874,2354.061,2768.132,1544.565,324.186
391.115,1055.591,1358.079,1361.790,2322.677,2779.559,1544.802,323.539
390.198,1033.502,1381.803,1334.096,2367.111,2613.103,1519.969,310.880
383.097,1042.336,1349.228,1312.563,2374.687,2755.853,1536.294,326.987
381.883,1083.692,1387.843,1286.353,2406.293,2778.618,1554.114,329.999
382.529,1060.421,1316.457,1335.180,2449.162,2778.309,1553.676,334.187
380.400,1047.632,1298.693,1304.000,2440.758,2745.235,1536.120,331.867
386.022,1043.668,1305.858,1338.802,2339.717,2730.603,1524.112,321.839
390.974,1036.036,1285.433,1341.928,2430.111,2801.426,1547.652,335.883
389.070,1073.717,1291.102,1313.940,2479.626,2737.632,1547.515,332.164
384.638,1037.223,1331.008,1335.425,2399.727,2805.368,1548.898,333.874
380.709,1022.874,1316.173,1380.772,2294.667,2667.279,1510.412,312.777
386.949,1030.360,1389.378,1331.910,2376.141,2757.868,1545.434,326.488
378.180,1073.692,1296.276,1357.377,2397.040,2817.044,1553.268,334.345
383.734,1058.607,1307.795,1377.509,2398.960,2863.706,1565.052,338.922
382.214,1052.202,1317.614,1332.162,2396.152,2771.750,1542.016,330.036
380.094,1020.081,1291.228,1322.072,2355.727,2779.721,1524.820,330.236
379.295,1049.826,1356.630,1378.754,2329.768,2701.235,1532.585,317.061
378.766,1035.000,1289.449,1368.641,2460.949,2805.676,1556.414,339.284
389.039,1079.818,1288.378,1351.946,2440.727,2883.000,1572.151,343.346
389.533,1022.138,1383.331,1366.012,2411.374,2820.088,1565.413,335.021
385.967,1102.972,1315.126,1338.383,2365.929,2765.353,1545.622,324.785
384.527,1076.769,1276.929,1339.820,2445.172,2671.191,1532.401,323.074
382.548,1062.684,1259.551,1379.162,2344.091,2656.618,1514.109,314.529
377.351,1043.170,1306.717,1331.814,2383.616,2757.412,1533.347,328.713
382.320,1067.364,1334.803,1317.563,2391.222,2717.485,1535.126,323.441
382.458,1063.223,1314.661,1387.629,2352.374,2734.588,1539.155,321.809
