0050-0038,0075-0050,0075-0065,0038-0040,0036-0084,Average,Err
492.927,591.749,595.201,593.345,645.870,583.818,22.266
470.506,581.717,646.878,619.648,634.691,590.688,28.605
469.910,630.291,592.992,642.171,674.636,602.000,31.761
475.438,614.807,603.677,627.397,673.500,598.964,29.595
485.292,665.937,680.349,613.990,629.765,615.067,30.925
495.781,612.300,619.406,623.763,647.623,599.775,23.851
506.489,608.794,595.393,594.213,685.562,598.090,25.439
508.466,618.480,623.659,602.756,655.846,601.841,22.261
472.719,597.202,647.380,604.359,685.901,601.512,32.149
465.955,597.960,644.906,607.993,618.167,586.996,27.955
494.371,635.067,642.732,621.265,630.031,604.693,24.865
508.848,624.327,656.445,625.979,728.858,628.892,31.744
464.781,615.072,650.466,624.195,630.809,597.065,30.033
508.708,598.946,634.094,605.432,662.241,601.884,23.137
490.303,598.296,663.086,625.505,698.438,615.126,31.757
495.449,565.552,648.089,648.753,674.685,606.505,29.781
503.691,599.735,635.281,635.049,701.340,615.019,28.907
460.612,612.036,633.422,644.871,607.043,591.597,29.934
490.202,589.587,627.870,621.474,600.556,585.938,22.283
467.017,602.722,629.198,621.659,634.043,590.928,28.115
478.938,580.803,617.646,604.554,604.685,577.325,22.634
450.601,577.933,641.164,606.436,660.889,587.404,33.140
472.949,575.009,607.224,607.488,654.772,583.488,27.211
479.770,619.251,615.445,594.617,655.142,592.845,26.742
454.331,619.794,628.729,602.449,703.142,601.689,36.368
500.888,612.318,622.151,665.763,611.784,602.581,24.410
461.157,623.655,618.732,603.679,637.685,588.982,28.993
475.393,608.955,642.130,627.840,671.031,605.070,30.380
524.612,623.870,603.857,605.408,663.951,604.339,20.291
454.921,590.283,623.638,617.084,636.741,584.533,29.763
486.045,604.610,657.065,600.575,625.451,594.749,25.903
499.910,626.072,651.167,555.035,618.352,590.107,24.646
487.264,651.991,629.286,595.686,637.105,600.267,26.582
449.180,586.717,633.341,617.453,610.963,579.531,29.910
479.112,586.345,643.060,657.070,661.772,605.472,30.710
528.101,574.422,647.990,640.324,668.790,611.925,23.472
494.983,609.471,636.576,640.864,623.068,600.992,24.210
445.157,577.601,674.388,621.077,697.099,603.064,39.918
485.596,579.619,637.128,610.261,623.228,587.166,24.252
477.607,597.283,642.940,612.990,653.444,596.853,28.147
482.404,582.448,632.276,612.244,670.691,596.013,28.458
454.067,571.184,649.018,634.136,660.494,593.780,34.153
454.989,581.305,651.781,643.767,694.167,605.202,37.259
486.899,565.229,645.258,600.624,640.173,587.636,25.999
458.534,588.372,642.143,652.209,667.537,601.759,34.173
482.191,606.022,648.609,635.056,652.179,604.812,28.365
522.152,608.695,637.354,634.627,707.012,621.968,26.660
486.185,623.076,635.122,616.000,672.395,606.556,28.286
459.022,584.735,660.930,662.174,669.191,607.211,35.896
454.669,626.543,630.070,609.627,664.302,597.042,32.811
456.410,602.085,619.596,579.638,626.475,576.841,27.886
509.382,597.740,646.289,618.240,673.722,609.075,25.072
456.697,598.700,643.240,618.324,685.247,600.441,34.646
457.011,599.404,652.844,620.296,691.247,604.160,35.716
463.854,629.377,653.724,593.979,632.142,594.615,30.469
494.517,605.897,622.318,610.383,672.870,601.197,26.131
472.247,577.794,654.281,641.352,673.802,603.895,32.767
450.404,583.197,643.492,664.645,663.772,601.102,36.217
461.758,570.229,621.789,615.348,649.142,583.653,29.520
454.539,587.417,650.039,626.369,679.852,599.643,35.152
476.933,576.408,648.000,666.641,640.364,601.669,31.024
486.247,585.152,623.443,645.833,704.265,608.988,32.421
485.972,558.969,648.823,632.453,648.710,594.985,28.545
485.629,619.439,670.336,669.519,671.852,623.355,32.046
482.539,517.377,713.797,630.084,629.494,594.658,37.526
526.152,608.318,967.242,633.822,708.685,688.844,67.492
739.809,647.166,1648.198,651.571,663.827,870.114,174.633
1543.607,921.480,2549.633,750.115,1094.241,1371.815,288.661
1959.152,1749.368,2865.969,1340.791,2896.321,2162.320,277.171
2236.860,2370.179,2913.846,3022.052,3352.056,2778.999,186.194
2293.865,2451.300,2871.513,3247.697,3405.358,2853.947,193.413
2373.483,2516.265,2983.479,3247.206,3357.025,2895.491,174.443
2175.180,2396.027,2934.591,3162.902,3227.111,2779.162,188.006
2189.590,2402.641,2875.659,3131.470,3261.698,2772.212,184.975
2194.899,2411.516,2895.518,3111.829,3172.778,2757.308,173.583
2230.562,2281.377,2912.055,3111.578,3199.796,2747.074,184.250
2190.713,2298.251,2853.562,3062.767,3156.963,2712.451,177.087
2160.635,2204.287,2789.797,3031.920,3119.784,2661.285,181.505
2120.966,2260.448,2814.555,3030.007,3165.568,2678.309,186.001
2189.202,2223.027,2828.049,2977.408,3099.216,2663.380,171.399
2139.669,2150.682,2718.682,2953.659,3064.179,2605.374,175.302
2110.994,2116.587,2745.159,2974.369,2971.080,2583.638,175.545
2027.382,2086.224,2752.365,2864.070,3019.210,2549.850,184.170
2045.000,2124.587,2747.724,2912.805,2983.938,2562.811,178.236
2001.466,1988.081,2655.906,2826.310,2943.864,2483.126,182.973
1950.444,1981.726,2590.172,2824.373,2920.877,2453.518,184.424
1898.579,2060.928,2629.055,2834.582,2973.438,2479.316,190.273
1964.747,1993.036,2618.016,2822.721,2938.438,2467.392,184.228
1976.624,2027.278,2625.578,2783.303,2951.969,2472.950,178.218
1926.039,2036.839,2566.357,2764.902,2879.309,2434.689,172.171
1901.337,2028.762,2580.312,2783.000,2909.722,2440.627,180.804
1862.219,2002.166,2563.708,2695.003,2763.938,2377.407,166.278
1929.764,2131.919,2544.516,2692.829,2880.049,2435.816,157.944
1778.826,2096.529,2473.117,2606.707,2786.346,2348.305,162.718
1816.073,2072.103,2428.570,2650.317,2760.327,2345.478,158.358
1754.371,2071.269,2429.307,2561.944,2717.685,2306.915,156.152
1788.270,2082.323,2453.086,2588.213,2787.698,2339.918,160.703
1746.657,2098.933,2517.906,2580.916,2777.358,2344.354,166.259
1714.910,2087.242,2466.833,2557.404,2750.117,2315.301,165.302
1736.685,2097.614,2436.656,2462.784,2643.259,2275.400,143.980
1711.472,2122.928,2436.560,2501.463,2827.093,2319.903,168.855
1668.775,2166.170,2490.917,2512.408,2699.395,2307.533,162.130
