0045-0077,0046-0094,0055-0100,0051-0053,0061-0037,0031-0058,0046-0041,0063-0061,0050-0021,Average,Err
647.779,1005.064,649.704,1787.258,1049.271,840.790,879.006,571.262,393.462,869.288,127.023
660.926,994.030,674.667,1877.669,1036.690,824.024,867.607,553.248,397.264,876.236,134.532
644.570,1019.528,646.716,1895.450,1047.090,826.621,854.000,557.519,420.962,879.162,136.382
632.544,1021.404,667.914,1808.371,1056.324,814.747,887.258,566.065,405.085,873.301,128.964
677.282,1002.655,685.944,1904.775,1017.529,814.815,891.791,558.304,420.198,885.921,135.257
647.034,1007.362,675.031,1794.437,1074.305,834.255,851.399,566.290,441.623,876.859,125.701
626.221,1011.868,684.698,1876.576,1058.014,809.642,888.767,563.486,427.623,882.988,134.006
638.725,1038.260,680.272,1867.258,1052.819,830.809,850.012,561.477,431.189,883.424,133.046
637.369,958.634,681.037,1873.603,1046.624,828.274,808.356,563.505,392.208,865.512,134.425
642.832,999.128,647.272,1841.854,1032.224,826.855,865.982,533.355,440.085,869.954,130.939
678.040,999.383,692.519,1910.033,1042.762,812.438,829.945,541.355,393.123,877.733,137.724
630.201,1022.277,679.926,1786.775,1101.062,783.333,825.497,541.977,416.500,865.283,128.295
634.376,1026.953,644.846,1838.298,1048.786,808.642,890.755,545.019,401.151,870.981,132.871
647.886,1040.060,649.198,1818.305,1073.652,812.742,861.742,536.019,442.925,875.836,129.802
632.523,1027.268,672.290,1840.636,1055.829,805.022,880.160,536.724,434.311,876.085,131.552
620.221,1016.277,667.722,1886.212,1074.548,822.040,878.687,569.897,419.104,883.856,135.776
652.228,1023.396,661.809,1841.967,1094.805,823.309,893.877,545.336,413.660,883.376,132.607
646.604,1003.136,667.025,1902.887,1088.095,822.817,861.693,548.542,415.528,884.036,137.601
657.886,1009.174,676.877,1889.119,1054.771,835.858,876.233,545.178,384.481,881.064,136.795
637.349,1031.583,677.710,1834.576,1068.681,805.548,878.123,509.430,408.896,872.433,133.050
653.235,1015.323,675.432,1763.086,1083.167,824.680,858.117,562.738,437.972,874.861,123.331
695.832,1005.660,682.043,1799.868,1088.429,825.293,853.025,533.047,414.302,877.500,127.628
611.154,1034.843,653.870,1835.046,1066.857,813.468,844.620,527.893,421.877,867.736,132.990
666.544,1035.498,658.537,1819.185,1070.538,806.035,856.012,547.407,424.226,875.998,129.644
636.148,1009.277,650.173,1838.252,1073.110,806.164,840.448,548.243,412.745,868.284,132.344
625.651,985.115,698.457,1858.185,1034.733,816.962,887.405,529.037,413.708,872.139,133.035
614.812,1001.911,681.488,1831.073,1067.610,808.734,880.957,556.009,391.660,870.473,132.033
627.503,1007.468,680.512,1880.834,1047.467,797.882,853.957,546.294,397.340,871.029,136.107
673.852,998.306,643.673,1878.974,1038.790,833.460,851.914,541.481,411.481,874.659,134.821
625.027,1012.004,649.358,1848.722,1032.990,797.565,856.006,535.995,405.189,862.540,133.605
