0001-0104-0059,0001-0088-0076,0001-0046-0063,0001-0043-0048,0003-0018-0088,Average,Err
623.876,1594.390,2015.371,404.874,348.185,997.339,303.628
645.694,1621.628,1960.186,402.445,372.652,1000.521,295.604
654.600,1591.581,2011.243,422.319,355.503,1007.049,299.381
618.565,1541.395,2019.036,425.681,342.973,989.530,299.200
651.653,1620.791,2059.093,403.197,352.717,1017.490,309.969
626.382,1603.006,2073.050,394.197,349.202,1009.168,312.714
639.782,1560.663,2028.550,424.185,368.211,1004.278,298.841
646.135,1630.628,2092.107,397.290,369.152,1027.062,314.527
637.035,1590.703,2030.171,396.441,348.190,1000.508,305.356
637.718,1615.448,2076.457,430.403,371.170,1026.239,308.882
659.741,1618.163,2071.386,416.744,347.973,1022.801,310.387
618.388,1578.738,2009.693,415.622,330.116,990.511,302.644
612.624,1598.366,2050.971,418.618,356.812,1007.478,307.510
627.459,1574.448,2113.936,428.857,347.173,1018.374,313.709
603.135,1654.791,2070.793,400.248,363.613,1018.516,315.964
602.994,1597.721,2056.229,406.954,364.086,1005.597,308.962
678.288,1613.692,2059.300,418.878,345.420,1023.116,307.619
619.806,1583.942,2053.579,412.147,338.253,1001.545,308.482
616.406,1605.477,2053.129,386.609,338.068,999.938,312.232
631.647,1621.285,2131.100,412.971,347.039,1028.808,320.492
637.106,1600.750,2083.157,422.269,348.101,1018.277,311.313
606.118,1647.738,2045.786,414.366,351.938,1013.189,311.799
647.453,1611.599,2014.357,400.697,359.408,1006.703,303.088
590.800,1557.494,2055.171,412.462,357.250,994.636,306.582
613.553,1606.541,2042.793,396.055,364.027,1004.594,308.140
592.371,1574.750,2092.957,409.908,353.860,1004.769,313.474
594.588,1614.866,1939.914,445.508,350.619,989.099,293.559
627.265,1627.413,2017.071,402.807,343.896,1003.690,306.859
640.765,1606.878,2128.921,432.004,345.283,1030.770,317.386
608.329,1598.285,2020.000,406.832,356.134,997.916,304.509
645.976,1598.558,2044.950,397.832,358.926,1009.248,306.508
626.847,1656.547,2063.729,398.160,371.024,1023.261,313.492
645.559,1619.105,2012.364,441.471,353.485,1014.397,300.846
652.288,1611.948,2033.800,426.492,344.417,1013.789,304.754
624.429,1600.657,2107.986,407.815,345.881,1017.354,316.640
639.424,1598.570,2035.850,423.294,351.164,1009.660,304.263
597.541,1569.401,2063.543,422.231,355.527,1001.649,307.666
634.371,1570.663,2080.800,412.672,372.661,1014.233,307.569
589.529,1612.715,2111.521,426.672,334.818,1015.051,319.338
641.335,1648.948,2085.471,415.958,356.223,1029.587,314.909
628.888,1568.576,2022.464,406.248,353.747,995.985,301.764
606.188,1574.006,1999.314,393.567,366.795,987.974,300.079
640.100,1559.035,2099.700,421.773,349.646,1014.051,310.336
616.571,1592.895,2025.557,411.782,346.238,998.609,304.874
620.118,1614.302,2089.007,389.261,359.095,1014.357,315.617
603.506,1565.890,1996.857,402.324,327.321,979.180,301.908
646.153,1572.738,2117.157,394.500,337.199,1013.550,316.626
601.441,1565.901,2047.850,411.311,331.601,991.621,307.899
630.112,1604.174,1994.707,409.113,333.384,994.298,302.301
636.812,1603.442,2002.814,416.824,340.318,1000.042,301.792
613.094,1568.843,1985.350,424.807,357.122,989.843,295.825
633.135,1556.936,2056.971,438.828,330.164,1003.207,304.992
630.059,1614.721,2094.414,419.739,365.583,1024.903,312.958
646.335,1558.186,2058.071,401.668,362.283,1005.309,304.677
625.929,1602.547,2059.743,413.332,344.479,1009.206,309.807
638.635,1613.076,2016.400,404.660,360.229,1006.600,303.515
587.594,1570.500,2029.350,404.294,341.750,986.698,306.097
556.141,1506.616,2017.629,418.891,346.307,969.117,299.965
558.229,1514.285,2061.843,427.836,358.312,984.101,304.961
559.841,1494.936,1986.236,393.874,326.562,952.290,298.053
511.435,1518.285,1880.900,378.185,330.946,923.950,289.045
540.288,1520.012,1948.236,407.647,329.405,949.117,294.519
514.341,1547.738,1927.929,408.101,330.137,945.649,295.379
502.835,1541.890,2033.507,388.471,318.667,957.074,312.277
502.065,1531.529,1973.150,419.290,307.509,946.709,301.997
449.947,1545.413,1980.700,401.861,329.920,941.568,306.693
446.824,1534.610,1921.479,394.071,315.991,922.595,299.733
461.341,1532.837,1971.829,400.000,329.854,939.172,303.915
419.947,1548.180,1973.086,409.731,317.256,933.640,308.311
375.253,1569.872,1937.150,385.298,307.354,914.986,310.792
370.376,1478.750,1889.050,374.756,288.932,880.373,299.402
354.482,1488.948,1990.464,386.794,289.577,902.053,314.295
336.471,1529.308,1952.979,388.403,281.554,897.743,314.104
338.865,1532.581,2007.236,388.324,289.202,911.242,320.952
310.876,1498.692,1935.357,383.496,282.506,882.185,311.381
288.971,1524.680,1928.807,399.731,288.771,886.192,312.726
272.106,1466.401,1933.100,394.941,268.241,866.958,311.840
256.582,1477.965,2001.036,399.891,273.280,881.751,322.585
246.682,1507.942,2009.514,411.849,286.628,892.523,325.065
245.518,1528.674,1977.229,381.282,261.321,878.805,326.112
235.347,1485.273,1893.829,396.050,243.943,850.889,312.686
223.182,1498.297,1829.143,376.038,264.110,838.154,305.883
229.312,1503.087,1821.914,376.155,261.557,838.405,305.058
208.429,1491.686,1869.036,369.908,256.125,839.037,312.690
222.741,1452.093,1837.436,387.252,253.738,830.652,303.235
215.718,1421.134,1824.743,371.450,249.506,816.510,300.841
208.671,1463.628,1843.621,336.643,261.390,822.791,308.637
214.329,1449.349,1876.786,345.588,253.741,827.959,311.455
193.229,1490.948,1914.293,352.815,238.301,837.917,322.212
200.788,1489.465,1871.207,327.508,253.024,828.399,316.247
193.300,1457.488,1914.207,334.181,226.509,825.137,321.531
189.947,1481.587,1905.143,326.475,233.601,827.351,322.451
214.582,1513.064,1937.036,300.172,236.256,840.222,328.851
192.182,1472.500,1861.686,298.269,246.164,814.160,316.629
188.571,1410.610,1905.871,277.878,244.503,805.487,319.417
206.859,1469.826,1783.786,267.298,236.426,792.839,307.860
198.918,1440.116,1835.407,265.466,228.949,793.771,313.353
195.141,1461.808,1854.071,264.941,231.530,801.498,317.764
187.035,1465.721,1913.129,262.618,231.238,811.948,326.773
196.118,1444.500,1905.229,277.340,247.321,814.102,321.199
