0059-0047,0036-0041,0036-0055,0020-0009,0038-0115,0052-0095,0075-0096,0103-0061,0102-0035,0089-0037,0063-0028,0035-0012,0075-0069,0034-0017,Average,Err
1527.570,551.718,509.475,410.648,530.479,627.151,365.647,466.390,364.353,401.120,492.276,742.581,360.029,696.686,574.723,77.266
1504.101,578.233,548.201,387.314,546.198,573.830,376.071,509.476,381.847,396.518,504.155,745.279,352.081,833.057,588.311,76.960
1557.009,581.505,549.484,391.362,529.976,599.349,360.590,497.732,422.929,406.819,493.185,733.765,350.287,829.000,593.071,79.766
1544.150,566.922,542.131,411.010,506.934,594.123,355.788,515.146,396.024,403.036,487.145,718.721,339.625,797.429,584.156,78.818
1497.040,574.252,525.463,413.229,509.521,593.226,350.673,512.390,413.588,368.458,451.848,743.985,348.978,799.714,578.740,76.647
1564.262,568.964,543.586,414.638,490.383,585.991,386.769,499.317,398.118,392.518,487.561,763.559,343.515,767.571,586.197,79.876
1522.648,562.880,517.738,383.667,493.246,614.349,339.590,476.841,395.188,379.735,498.518,707.279,326.257,806.714,573.189,78.917
1527.793,553.068,543.627,403.133,497.749,629.575,343.064,478.000,379.765,371.277,496.836,675.860,322.118,765.057,570.494,78.463
1479.753,560.175,530.365,410.448,527.677,591.500,367.064,475.134,390.035,391.614,485.015,727.544,353.721,688.486,569.895,73.688
1443.154,560.460,515.926,394.686,507.940,586.811,343.564,477.988,389.129,387.663,475.170,742.993,347.316,729.000,564.414,72.820
1520.361,553.955,538.447,394.200,485.377,571.953,364.231,463.098,408.200,399.699,468.755,693.574,353.757,750.257,568.990,76.806
1525.890,591.586,542.385,405.343,529.641,625.755,365.519,514.988,381.141,393.157,485.573,767.456,347.912,816.714,592.361,78.503
1543.520,567.285,518.311,411.429,501.808,575.604,350.205,446.037,374.812,373.253,486.964,766.147,344.603,560.829,558.629,78.739
1559.881,576.715,531.246,408.962,556.012,588.368,373.256,495.134,386.847,401.783,497.248,749.743,329.647,690.971,581.844,78.962
1544.731,581.013,537.602,405.219,544.407,617.698,361.705,497.573,401.365,409.843,478.545,772.721,352.662,719.743,587.488,78.211
1524.674,583.087,547.107,427.210,517.743,614.217,363.391,530.220,378.200,375.072,489.776,730.037,339.537,809.657,587.852,78.062
1524.775,573.071,554.734,394.838,512.072,586.660,352.167,463.805,375.047,383.205,480.497,731.096,339.368,817.457,577.771,79.067
1523.174,584.871,537.344,412.952,544.641,623.896,348.647,499.951,399.118,378.398,503.715,712.507,320.647,664.829,575.335,76.709
1527.890,569.194,504.270,401.371,534.407,625.255,363.301,485.341,388.082,366.952,484.564,768.096,340.985,738.314,578.430,78.414
1535.240,565.197,554.676,404.848,503.377,607.708,358.641,454.000,423.094,405.795,499.827,724.081,327.051,705.800,576.381,77.503
1531.971,593.061,573.910,395.676,516.323,609.858,370.218,479.756,399.388,362.349,495.909,763.801,346.132,739.371,584.123,78.251
1507.839,564.314,540.930,393.143,508.479,542.057,383.288,476.171,390.965,399.855,510.870,718.831,359.353,720.829,572.637,75.377
1513.476,594.032,541.221,405.600,512.443,588.377,354.372,435.805,385.612,419.072,490.482,759.735,335.772,685.914,572.994,76.732
1450.767,555.424,553.439,415.667,504.671,593.736,367.462,495.829,391.341,366.928,488.727,748.566,329.640,662.886,566.077,72.465
1542.339,552.191,509.365,408.676,504.335,608.028,357.115,455.098,397.953,368.024,484.442,659.132,345.721,706.029,564.175,78.041
1497.233,582.214,527.443,455.276,482.778,613.132,351.538,482.732,393.894,385.783,503.009,734.390,349.000,752.629,579.361,75.496
1546.112,590.521,539.156,412.371,507.808,622.198,375.840,501.122,388.482,396.193,501.591,736.654,331.757,770.286,587.149,78.779
1522.000,553.971,529.004,409.371,522.251,553.368,359.910,510.659,391.376,413.446,471.730,733.897,329.618,721.371,572.998,76.857
1550.511,571.197,527.361,404.000,523.479,564.764,360.994,509.988,356.435,394.747,468.697,671.493,353.963,718.800,569.745,78.440
1538.537,556.864,554.471,403.800,506.527,594.038,367.404,501.671,395.459,373.434,483.918,780.088,356.463,720.657,580.952,78.366
1538.377,566.764,535.553,412.705,512.725,610.821,370.750,501.476,406.529,371.976,509.361,775.059,362.978,726.686,585.840,77.873
1532.546,592.560,531.865,385.457,487.916,601.585,373.083,486.049,419.318,406.458,487.273,772.544,352.978,756.029,584.690,77.987
1532.093,574.421,502.783,399.229,496.713,598.028,360.308,466.915,365.435,394.157,496.815,713.632,343.574,748.371,570.891,78.308
1508.432,583.472,513.480,409.143,524.204,579.330,386.641,522.146,395.729,386.614,494.824,705.603,358.963,722.457,577.931,75.015
1494.070,577.074,517.861,423.114,493.593,597.396,360.051,455.098,418.788,414.470,461.803,685.441,359.191,804.286,575.874,75.358
1507.579,577.074,542.025,392.848,529.467,581.547,387.199,449.732,398.576,414.494,473.006,734.765,360.471,736.171,577.497,75.653
1526.106,611.120,534.615,393.181,495.521,621.198,335.936,534.268,371.988,382.145,471.800,745.176,338.169,702.143,575.955,78.185
1534.991,549.563,537.512,430.648,492.275,598.538,364.750,507.415,400.412,394.024,486.748,760.809,360.522,779.943,585.582,78.005
1484.460,604.505,516.127,438.171,512.928,534.264,370.128,478.659,400.824,365.795,479.406,754.118,351.875,760.143,575.100,75.130
1479.786,562.006,522.049,414.029,517.407,650.915,351.718,496.232,399.400,377.410,494.064,724.434,342.316,703.943,573.979,74.305
1541.075,551.955,522.795,389.133,512.533,575.302,367.000,480.537,409.565,405.940,483.576,710.184,358.279,644.657,568.038,76.961
1516.996,564.770,516.848,431.476,490.401,587.877,345.628,478.634,394.847,365.578,483.700,732.728,337.522,757.371,571.741,77.581
1501.727,561.515,512.631,400.705,538.018,590.132,358.263,456.439,375.694,404.157,502.824,789.735,336.507,727.143,575.392,76.803
1501.815,554.715,524.348,425.257,501.329,562.208,363.814,492.256,394.529,393.904,492.424,749.618,364.213,689.000,572.102,74.963
