0001-0061-0035,0001-0091-0099,0001-0049-0095,0001-0065-0081,0001-0067-0105,0001-0061-0107,Average,Err
303.853,297.227,329.669,328.940,461.747,491.824,368.877,31.726
300.679,299.340,334.976,342.808,448.758,501.059,371.270,31.240
294.605,274.255,326.787,346.174,474.485,478.132,365.740,33.245
287.458,278.830,379.228,360.659,444.566,470.588,370.221,29.333
305.518,286.174,433.992,363.635,415.253,498.103,383.779,30.111
295.501,298.834,486.551,332.557,419.697,529.309,393.742,37.293
294.228,276.170,523.354,361.838,436.758,515.059,401.235,40.061
296.892,284.636,527.354,364.257,432.222,511.721,402.847,39.054
298.308,296.283,493.402,359.659,410.111,504.544,393.718,34.256
303.439,280.312,495.402,354.228,405.828,517.397,392.768,36.647
292.372,298.012,417.441,339.593,403.091,477.044,371.259,27.349
296.286,299.717,370.764,339.042,409.687,502.265,369.627,29.060
300.305,287.275,379.535,329.066,400.505,482.868,363.259,27.317
296.002,274.397,338.701,337.257,355.091,481.632,347.180,26.991
300.187,279.324,333.756,335.713,419.596,492.074,360.108,29.981
289.160,297.413,333.598,332.413,385.879,512.382,358.474,30.853
298.087,286.336,315.457,331.449,395.081,503.853,355.044,30.658
298.057,294.664,327.354,346.904,421.525,521.691,368.366,32.852
298.808,285.462,322.047,352.653,402.263,465.721,354.492,25.591
300.776,281.478,344.047,342.293,379.343,475.191,353.855,25.635
291.204,290.781,333.323,353.389,415.222,468.132,358.675,26.358
294.468,289.713,350.480,353.838,427.020,517.941,372.243,32.447
293.545,277.717,294.047,363.000,382.061,508.588,353.160,32.417
299.169,297.777,306.102,357.743,389.899,481.926,355.436,26.935
296.793,286.992,323.008,351.210,372.525,479.721,351.708,26.272
294.103,279.789,315.354,352.299,387.899,501.235,355.113,30.465
291.135,288.996,326.094,356.683,424.313,503.853,365.179,31.453
299.589,284.842,313.764,360.090,409.131,510.515,362.988,31.820
297.761,295.130,288.559,352.910,416.091,502.206,358.776,31.883
296.890,283.372,314.732,337.036,420.636,500.985,358.942,31.613
292.193,287.810,314.669,335.323,391.455,487.559,351.501,28.529
299.992,279.138,318.693,351.665,426.636,478.382,359.084,29.043
293.390,295.409,327.654,337.030,419.727,493.647,361.143,29.629
303.038,283.721,322.071,337.024,416.768,504.926,361.258,31.290
298.008,273.093,330.661,361.970,395.606,463.176,353.753,25.787
290.827,288.008,344.921,343.317,437.566,478.868,363.918,29.120
300.177,273.830,350.331,334.575,419.313,469.618,357.974,27.514
302.607,286.482,357.890,349.814,399.020,495.559,365.229,28.157
301.932,291.587,331.677,360.569,427.657,477.559,365.163,27.433
295.902,278.939,346.291,354.096,384.970,477.265,356.244,26.453
297.280,283.053,329.701,357.988,435.364,461.412,360.799,27.252
293.425,278.874,331.693,369.647,436.343,476.074,364.343,29.390
295.344,286.866,319.354,351.713,427.253,508.956,364.914,32.410
293.006,273.992,327.717,342.611,428.626,519.029,364.163,34.611
300.973,282.283,317.417,356.808,424.293,500.162,363.656,31.201
296.725,291.676,295.472,362.988,400.071,510.015,359.491,32.039
288.116,276.506,315.299,325.605,401.545,461.029,344.684,26.794
298.220,288.340,329.803,372.114,392.465,527.544,368.081,32.806
303.376,303.721,333.772,362.503,441.990,491.838,372.867,28.953
298.004,269.045,320.756,370.898,398.414,451.956,351.512,25.427
299.962,290.603,319.047,353.395,408.848,460.279,355.356,24.974
301.258,298.518,309.850,345.000,396.798,518.162,361.598,31.765
298.551,298.231,333.685,372.084,373.192,503.735,363.246,28.480
299.798,279.069,338.764,324.952,400.596,445.412,348.098,23.539
302.227,285.356,390.283,330.581,390.687,466.000,360.856,25.202
307.498,273.976,465.551,350.701,389.323,483.059,378.351,31.343
298.393,280.644,560.669,342.006,398.162,479.838,393.285,40.775
305.911,289.324,572.039,355.341,397.202,473.735,398.926,40.184
298.878,293.498,587.102,366.605,413.030,506.735,410.975,43.631
298.568,286.401,506.906,355.862,421.737,539.529,401.501,39.615
302.948,299.887,469.236,353.204,392.091,489.750,384.519,30.325
304.420,282.117,396.370,354.922,424.525,530.588,382.157,33.674
297.754,293.344,351.134,357.341,396.273,488.118,363.994,26.894
302.933,295.935,335.213,352.940,421.101,498.176,367.716,29.104
302.748,279.696,340.929,372.754,403.626,510.691,368.408,30.930
302.202,283.425,335.732,355.623,414.737,497.441,364.860,29.607
301.004,300.510,332.157,356.659,410.121,466.147,361.100,24.482
296.457,273.397,314.740,331.916,408.242,475.853,350.101,28.644
303.257,283.287,316.142,344.563,414.121,490.191,358.594,29.408
305.185,283.377,329.307,354.994,413.364,508.897,365.854,31.027
309.407,422.271,371.425,659.725,744.859,949.897,576.264,93.077
540.700,808.040,733.512,1184.024,1380.909,2293.162,1156.724,237.034
837.652,812.215,1183.882,1303.527,1624.636,2312.500,1345.735,209.708
808.456,771.308,1188.630,1228.473,1604.939,2240.029,1306.973,205.142
809.013,724.789,1108.984,1150.036,1539.990,2212.132,1257.491,204.780
782.627,703.259,1112.827,1153.174,1440.535,2136.250,1221.445,194.537
728.339,641.178,1019.165,1066.856,1372.980,1939.926,1128.074,177.290
