0001-0104-0059,0001-0088-0076,0001-0046-0063,0001-0043-0048,0003-0018-0088,Average,Err
741.982,475.855,637.429,760.739,423.991,607.999,61.145
785.518,456.297,614.893,786.689,428.363,614.352,68.868
776.353,436.564,630.357,751.181,410.065,600.904,68.603
756.276,483.215,610.750,762.933,418.655,606.366,62.420
776.847,456.663,660.336,739.605,414.551,609.600,65.994
758.900,419.849,652.121,764.849,420.771,603.298,69.185
778.488,450.953,619.021,753.937,429.235,606.327,65.450
737.747,413.843,638.121,745.391,413.679,589.756,66.456
766.641,481.401,618.243,739.176,405.390,602.170,63.052
797.947,467.913,587.343,732.361,397.586,596.630,67.889
737.794,421.215,634.536,733.021,396.232,584.560,66.383
748.365,471.372,625.686,756.861,411.893,602.835,62.981
807.071,470.948,629.450,729.181,411.455,609.621,66.985
755.759,458.953,593.964,735.752,440.815,597.049,59.301
794.771,431.651,609.843,730.210,410.265,595.348,69.056
801.447,454.773,611.950,748.336,397.917,602.885,70.601
796.624,471.512,622.064,753.092,434.795,615.617,64.859
739.753,452.233,651.721,730.824,396.399,594.186,64.013
762.265,486.762,617.271,733.324,421.515,604.227,59.664
769.588,451.826,644.629,755.845,418.521,608.082,66.213
795.059,445.203,646.664,733.832,419.140,607.980,67.673
792.171,467.674,627.943,725.319,420.503,606.722,64.162
737.141,433.901,690.464,749.550,425.688,607.349,65.440
760.494,438.017,666.243,752.328,416.045,606.625,67.293
799.300,436.343,635.836,734.349,437.033,608.572,66.941
706.776,436.453,652.186,741.118,395.310,586.369,63.798
771.129,460.297,634.450,717.097,410.750,598.745,63.090
791.076,442.424,657.893,759.975,429.777,616.229,68.686
762.653,491.581,663.493,781.336,428.723,625.557,63.622
782.694,465.837,643.243,750.811,413.443,611.206,66.383
772.994,425.860,659.043,729.340,425.065,602.461,66.645
793.612,463.291,672.143,718.218,419.161,613.285,65.475
794.300,442.331,641.793,748.534,420.205,609.433,68.790
736.065,476.878,635.900,760.702,419.214,605.752,61.092
735.718,460.000,641.357,729.374,442.524,601.795,57.009
792.224,507.797,617.457,732.479,387.140,607.419,65.830
749.588,459.267,627.550,745.235,414.062,599.141,62.802
772.582,438.674,644.250,751.395,434.446,608.270,65.652
761.224,442.471,629.007,774.181,421.196,605.616,67.469
773.647,452.657,617.629,773.101,403.568,604.120,69.466
743.182,481.773,617.036,695.676,413.298,590.193,55.964
719.906,443.517,656.214,717.525,418.744,591.181,59.431
747.600,476.640,637.486,774.269,405.092,608.217,65.247
745.776,453.837,625.614,734.185,394.676,590.818,64.191
754.641,468.651,624.386,736.357,410.646,598.936,62.033
802.594,470.506,669.821,739.466,428.634,622.204,66.042
935.729,460.576,624.407,735.290,411.789,633.558,85.052
3020.406,554.052,638.250,765.555,435.274,1082.707,435.956
3368.906,1277.797,845.421,769.929,548.119,1362.034,461.067
3401.459,1858.919,1909.343,1345.592,1250.902,1953.243,344.713
3448.365,1936.541,3148.071,3175.769,2010.012,2743.752,285.416
3412.382,1912.006,3138.386,3549.202,2034.634,2809.322,311.429
3329.447,1884.105,3178.714,3536.866,2082.836,2802.394,304.622
3287.329,1785.215,3022.743,3524.223,1937.271,2711.356,319.149
3347.382,1744.924,2953.364,3506.605,2004.042,2711.264,318.107
3349.741,1699.680,2929.800,3518.042,1943.152,2688.083,329.661
3295.465,1629.872,2785.564,3487.382,1915.667,2622.790,329.388
3230.524,1598.924,2587.050,3430.790,1928.092,2555.076,318.211
3254.206,1576.715,2520.186,3450.660,1910.235,2542.400,326.452
3159.853,1523.692,2243.871,3346.210,1850.223,2424.770,320.260
3237.794,1545.081,2289.829,3338.891,1923.506,2467.020,318.184
3124.935,1514.488,2107.493,3382.000,1917.652,2409.314,321.980
3098.429,1535.302,1992.550,3300.151,1870.176,2359.322,315.229
3006.500,1522.907,1990.000,3227.101,1877.551,2324.812,298.933
3046.071,1478.576,1949.957,3200.836,1918.911,2318.870,303.898
3050.247,1570.936,2002.664,3281.223,1872.994,2355.613,304.137
2901.194,1539.605,2069.136,3244.181,1886.640,2328.151,286.448
2909.553,1608.093,2197.814,3229.702,1904.976,2370.028,272.514
2985.224,1634.140,2280.043,3164.307,1849.304,2382.603,270.506
2889.300,1665.151,2522.843,3246.950,1832.155,2431.280,270.510
2919.176,1741.151,2627.779,3141.849,1749.274,2435.846,262.516
2894.276,1723.988,2936.329,3263.294,1765.833,2516.744,287.628
2855.206,1703.064,3020.629,3297.521,1718.661,2519.016,301.798
