0001-0034-0030,0045-0032,0079-0024,0074-0012,0123-0006,0118-0058,0115-0004,0106-0004,0110-0014,0094-0021,0085-0008,0064-0017,0025-0043,0020-0051,0013-0037,0010-0021,0102-0042,0110-0045,0104-0061,0092-0074,0096-0089,0122-0035,0090-0066,0090-0121,0080-0105,0070-0109,0079-0082,0071-0077,0061-0088,0054-0096,0044-0077,0062-0075,0054-0072,0043-0088,0026-0066,0046-0122,0038-0111,0026-0095,0023-0103,0019-0088,0006-0069,0010-0081,0010-0098,0026-0111,0017-0113,0005-0119,0003-0107,0009-0122,Average,Err
516.466,536.786,574.438,318.724,436.255,754.102,306.182,369.057,415.500,727.409,360.750,538.134,481.562,342.662,518.953,563.254,505.045,416.480,903.675,415.905,529.450,399.444,467.455,379.795,447.933,420.137,386.069,595.739,376.319,346.167,378.446,331.714,597.776,419.868,1160.119,382.976,436.586,332.565,438.290,439.469,480.242,434.885,568.657,419.912,449.406,561.243,546.919,489.400,483.715,21.909
566.621,536.631,614.992,344.171,484.915,755.737,378.618,360.226,375.768,728.174,377.200,493.387,520.202,412.262,511.516,587.079,496.424,423.580,1008.275,485.730,577.517,401.259,468.659,398.935,455.383,414.738,434.569,641.449,426.667,427.033,402.946,316.700,514.241,372.972,1203.487,459.740,488.293,327.420,392.507,458.729,378.099,448.654,577.022,401.441,432.868,567.071,519.000,507.822,497.432,22.997
526.052,509.781,678.702,348.419,480.564,678.314,282.927,364.415,351.536,755.783,435.500,511.268,477.730,381.646,541.016,507.381,474.181,424.920,1131.400,415.986,584.567,411.481,420.841,360.075,450.700,403.600,447.694,669.971,410.362,426.317,389.339,303.143,590.966,346.292,1111.244,443.220,520.603,358.478,395.812,413.438,455.462,434.702,527.564,466.368,433.519,560.529,432.270,467.533,489.867,23.630
489.517,524.267,769.215,354.438,439.947,696.703,293.236,403.472,365.554,793.704,405.012,524.042,474.067,353.262,538.703,521.556,487.333,430.220,1265.575,433.851,570.558,405.074,461.386,359.350,412.350,420.038,459.694,831.493,421.101,403.667,376.857,297.457,599.793,398.509,1028.162,405.049,500.983,353.623,376.957,403.583,427.484,478.875,533.923,414.662,448.632,538.386,576.622,502.822,499.391,25.795
528.431,513.979,877.835,323.219,456.606,704.127,347.491,406.604,342.714,708.070,417.913,521.239,505.989,388.462,556.312,541.460,453.616,440.000,1197.600,462.622,660.058,337.074,427.636,373.405,435.517,357.863,392.694,795.739,381.812,384.400,404.143,329.929,602.483,433.292,1012.962,419.390,465.966,367.014,405.652,461.240,453.275,475.837,524.718,450.118,467.953,527.671,402.919,514.244,499.152,24.915
541.586,501.652,1028.215,333.752,435.702,751.627,339.127,382.698,368.750,800.443,412.800,515.056,477.517,389.600,564.375,450.333,454.390,357.240,1201.000,486.392,664.392,405.815,434.477,383.600,437.367,401.363,424.444,830.188,408.072,391.150,443.839,303.886,579.103,402.142,938.650,461.984,419.086,399.783,367.362,431.688,452.473,431.000,543.851,418.176,412.934,558.714,507.595,469.156,502.386,26.221
617.138,560.000,1117.595,322.076,477.351,717.610,296.255,428.094,388.607,687.757,376.688,593.021,493.022,398.154,518.000,536.016,486.266,388.360,1101.400,512.446,710.100,391.420,401.909,371.835,397.833,393.688,388.306,817.348,372.609,389.867,363.982,327.171,588.328,438.783,931.663,425.228,480.966,404.696,409.609,438.385,409.978,461.952,542.039,476.779,496.858,580.143,480.243,439.711,507.235,25.696
507.517,514.492,1157.983,320.638,496.787,662.297,295.145,379.132,377.893,739.948,404.337,607.894,482.551,362.692,519.172,493.048,483.198,393.500,1149.825,481.027,668.308,367.988,476.727,392.345,365.733,340.475,392.750,780.232,403.174,394.567,417.089,325.671,527.000,391.226,876.319,402.130,518.431,368.522,445.449,414.062,384.802,430.760,508.497,426.647,452.557,589.914,493.622,487.844,497.332,26.104
511.034,522.289,1036.744,325.667,404.415,734.169,300.564,334.151,341.393,681.817,358.663,583.275,460.427,353.923,469.594,486.175,433.921,355.700,1188.525,415.878,629.100,344.469,454.705,374.450,400.200,378.438,405.569,691.754,425.087,426.083,404.161,288.600,527.741,385.302,711.769,409.049,463.603,370.435,394.609,401.062,409.571,443.269,514.348,411.118,403.651,599.500,469.027,443.133,476.628,24.497
558.190,532.529,1141.711,287.886,419.840,724.763,304.564,388.226,354.232,751.861,358.938,601.500,466.809,394.262,510.953,531.873,460.695,383.320,1152.900,502.730,758.300,365.802,384.068,395.170,421.800,395.350,383.111,706.594,425.710,395.717,416.857,334.543,510.259,404.349,745.594,403.626,493.086,344.435,421.420,465.667,410.000,425.212,520.680,379.000,479.623,561.714,567.459,444.844,495.579,25.702
537.103,547.743,1116.050,286.295,441.160,681.110,318.673,430.792,315.018,746.113,377.700,607.880,452.798,374.738,574.875,556.952,498.079,399.040,1063.500,486.243,741.917,371.963,384.318,387.015,429.367,431.288,432.986,716.478,447.174,433.100,437.821,384.700,594.828,401.443,746.250,414.691,526.224,374.884,400.638,477.688,414.648,469.096,571.718,468.088,496.840,587.614,573.514,443.400,507.741,23.813
599.500,535.529,987.256,338.248,469.851,723.347,311.109,390.962,392.304,772.026,417.175,567.444,451.854,393.938,490.125,587.206,458.107,386.260,1039.350,447.797,794.550,349.086,416.432,389.410,383.217,403.150,393.597,635.826,407.768,391.833,452.518,333.186,525.448,401.245,625.413,413.106,529.845,375.565,428.884,424.677,409.549,458.933,503.961,443.529,466.604,568.714,545.892,475.200,493.886,21.970
553.793,507.652,900.777,313.619,459.968,703.644,348.036,350.094,340.786,732.748,387.475,525.718,476.404,341.985,553.844,561.079,452.277,435.480,941.850,487.703,840.775,405.642,479.068,361.500,386.483,447.438,432.917,646.986,456.493,411.550,442.821,376.771,590.724,395.755,676.875,433.154,532.379,419.087,423.029,395.479,459.044,450.904,557.823,473.662,459.698,593.371,567.730,469.489,499.200,20.108
538.603,535.005,828.612,275.086,477.436,676.992,359.164,342.717,415.768,723.809,368.012,530.577,462.809,373.400,472.578,545.889,441.893,440.820,856.825,463.257,800.475,381.617,450.818,406.810,436.217,446.188,465.444,569.551,403.290,403.917,431.268,347.671,517.741,393.585,579.000,383.561,487.448,360.942,447.014,425.042,377.176,418.269,524.370,398.544,443.019,526.786,494.946,491.578,477.949,17.637
548.707,529.930,754.165,301.381,430.266,669.246,371.600,400.623,325.679,769.052,402.050,529.000,441.921,359.892,515.156,541.254,441.904,398.660,688.825,414.554,771.133,382.988,390.841,405.515,446.867,477.725,429.278,525.058,393.406,440.767,478.643,304.771,567.190,410.925,564.244,423.041,472.603,370.362,409.116,414.167,409.538,481.577,552.829,430.853,476.509,503.171,474.108,473.644,473.224,15.752
578.741,512.150,703.149,290.438,477.968,739.042,310.073,316.906,371.304,773.757,347.438,506.817,484.000,382.923,569.172,497.365,473.260,397.240,623.975,460.878,701.425,364.704,404.364,384.860,350.600,489.275,381.611,462.812,443.435,399.717,490.232,339.857,565.069,382.726,530.369,419.163,574.190,350.087,407.884,442.885,414.692,423.019,524.481,422.279,483.000,524.157,539.054,508.089,469.596,15.890
590.672,508.428,678.132,308.048,422.500,721.525,330.745,368.774,409.464,724.400,381.975,500.570,454.787,365.646,533.797,507.683,469.458,374.200,544.125,445.838,647.300,377.852,430.955,378.675,377.617,517.462,402.458,546.232,444.232,432.033,462.500,319.729,576.552,412.481,566.913,401.691,536.000,332.072,427.971,468.188,437.297,447.279,552.917,430.574,441.406,604.800,520.486,544.889,472.486,14.375
544.500,516.519,670.603,283.133,446.989,732.017,369.509,353.906,325.786,753.765,398.100,545.070,450.753,363.785,588.250,512.889,458.989,404.920,547.475,397.635,655.667,402.852,421.136,396.315,458.250,478.288,427.292,479.029,440.087,396.950,505.446,323.871,603.690,418.830,511.387,451.902,542.845,379.609,408.768,400.542,395.857,460.471,567.867,425.868,435.057,545.771,575.865,541.356,473.239,14.628
589.121,564.241,663.537,300.095,425.383,740.542,311.836,329.245,381.679,748.626,382.837,518.796,515.494,352.323,584.062,452.365,466.311,360.580,497.875,453.108,609.767,498.605,458.068,367.260,378.367,481.350,386.486,464.783,350.580,412.367,665.036,338.329,589.086,422.528,526.231,419.593,574.293,394.812,399.130,425.906,422.615,455.173,530.591,403.985,438.415,559.457,496.649,545.667,471.941,15.281
560.741,536.289,635.826,303.457,436.053,797.017,352.309,379.849,396.714,736.817,386.137,516.775,488.742,399.154,558.781,502.873,452.328,401.300,474.350,439.608,573.367,566.951,413.932,392.350,418.567,452.312,426.472,566.565,355.565,402.717,727.732,316.886,541.759,443.066,555.656,424.870,542.000,397.478,398.145,469.333,403.066,444.308,550.657,387.853,462.519,572.514,477.081,515.289,478.211,14.931
528.552,538.797,632.545,289.305,465.798,752.093,321.800,422.472,349.179,782.591,375.850,526.373,460.865,368.862,548.625,470.222,459.153,387.600,477.900,427.770,592.867,687.840,441.841,377.575,405.517,473.950,357.792,501.739,456.174,433.183,741.036,327.071,507.069,427.642,554.688,461.398,640.276,347.652,414.246,458.375,389.341,419.442,545.138,435.838,463.528,570.143,484.000,545.356,480.147,16.006
502.931,535.080,648.207,301.543,426.053,715.627,273.782,452.981,339.786,742.200,367.637,549.796,492.607,370.938,514.188,492.571,484.175,357.060,440.850,449.743,570.658,695.383,466.818,377.825,419.150,513.237,389.444,539.812,434.899,471.667,793.714,340.929,624.259,453.991,518.025,445.317,527.862,403.406,448.928,415.552,410.934,475.202,532.088,437.853,487.604,572.014,466.324,493.022,482.993,15.577
653.879,518.251,601.331,291.467,469.191,713.263,340.418,471.226,338.750,759.209,397.637,566.606,471.393,363.015,589.672,518.984,441.028,370.500,469.525,397.000,542.125,745.012,489.341,408.660,424.617,509.000,372.528,514.087,429.667,417.250,827.786,345.143,515.948,438.500,486.288,419.211,531.586,345.319,361.261,456.917,416.286,429.019,587.762,457.691,470.991,514.586,539.784,540.911,484.992,16.482
511.862,536.717,546.207,266.038,453.489,780.458,322.055,531.358,367.018,778.052,359.887,534.972,490.494,410.015,580.734,470.810,484.249,366.760,457.900,402.878,510.858,762.321,432.523,372.300,407.000,464.800,392.847,458.159,414.783,477.967,884.250,316.614,495.603,418.906,491.238,462.724,593.293,377.594,430.072,435.708,392.154,444.029,559.602,461.721,441.943,624.557,461.514,439.356,480.758,17.445
525.103,527.203,559.512,280.190,450.064,675.492,331.055,560.245,364.571,736.539,385.225,524.754,471.449,343.923,508.500,421.968,478.068,370.580,497.450,414.041,496.333,709.160,432.636,370.545,394.150,465.050,396.903,449.783,405.043,416.067,811.054,331.357,612.138,405.538,488.356,430.065,520.931,393.000,365.145,426.552,445.484,473.365,544.000,435.529,459.255,486.200,495.081,559.244,471.748,15.216
451.172,498.123,539.231,275.495,437.277,767.805,333.327,501.528,372.696,725.678,383.850,494.401,484.247,326.600,520.469,476.238,467.260,364.700,415.275,399.351,480.583,724.025,398.932,348.970,425.183,417.663,401.347,502.029,370.000,450.800,750.839,349.414,570.500,448.604,505.831,423.772,513.914,400.116,383.348,413.500,399.253,446.760,547.525,451.750,464.868,594.229,450.865,508.222,466.199,15.268
609.534,533.711,614.198,306.295,457.043,723.000,313.818,494.057,349.589,746.252,385.637,539.746,447.000,336.477,588.109,456.968,454.520,402.540,427.500,442.405,526.092,775.840,428.455,370.355,434.283,444.150,405.083,483.826,394.783,424.117,717.375,319.329,550.448,462.679,506.012,409.715,548.414,385.014,407.261,422.854,414.209,435.106,545.541,394.985,463.981,504.986,502.703,536.756,475.891,15.604
567.690,507.588,575.620,280.495,425.936,703.085,302.255,492.962,356.089,765.922,353.325,505.359,475.281,349.123,579.516,531.698,468.395,404.060,404.800,385.514,477.667,746.235,372.318,377.615,405.650,455.100,409.639,485.754,420.478,348.667,634.857,358.800,501.534,442.840,521.044,388.098,552.569,360.145,389.971,409.271,454.363,404.058,553.972,462.529,419.783,510.529,553.892,497.778,465.622,15.120
560.310,506.176,596.339,260.600,468.830,735.339,354.164,452.453,356.375,719.565,381.025,520.535,454.000,325.308,530.391,546.349,435.672,429.760,491.675,423.689,484.933,724.568,437.341,387.085,437.900,402.150,345.861,528.971,414.333,366.667,645.679,405.014,552.828,437.189,554.106,443.789,512.828,375.116,450.681,410.500,385.582,452.635,539.602,459.529,455.396,501.243,482.811,519.511,472.133,14.251
556.897,526.877,526.983,298.352,463.798,705.169,303.564,408.491,367.446,745.939,368.625,521.070,492.876,373.862,505.172,487.968,456.701,346.380,520.925,432.716,500.525,699.802,473.841,363.375,412.400,428.275,386.056,527.014,348.290,431.417,659.214,460.671,513.828,409.387,534.219,408.488,506.224,378.507,407.855,448.625,397.747,456.481,520.033,399.956,434.858,474.186,449.189,511.333,465.659,13.758
591.552,573.027,522.570,316.895,418.096,675.703,334.545,440.170,413.607,745.609,394.250,518.528,462.236,336.462,537.109,552.317,469.989,402.960,355.750,428.041,475.417,775.519,448.023,396.835,427.583,457.863,406.681,558.623,401.319,427.867,616.321,409.871,479.328,406.840,500.294,429.252,535.328,419.739,456.232,446.865,435.484,411.827,527.906,434.809,469.189,549.557,655.027,532.400,478.779,14.133
527.810,517.412,652.405,296.895,438.383,702.466,291.727,384.962,388.946,751.513,365.812,560.246,426.685,386.215,521.953,521.016,454.576,398.540,394.050,449.473,495.375,666.358,409.773,412.770,461.717,442.575,440.653,495.043,412.275,397.950,504.464,461.157,544.983,435.377,532.625,420.634,543.345,427.638,429.072,438.177,420.286,434.038,529.967,519.397,477.840,527.100,493.054,510.244,473.229,13.001
557.241,484.893,624.289,291.648,482.819,699.280,306.473,380.925,403.607,679.870,374.137,499.338,422.191,400.277,580.078,534.905,496.158,494.060,388.975,404.392,467.825,632.049,446.136,385.150,374.733,392.025,437.042,544.174,394.638,359.233,479.696,462.557,521.397,439.123,477.062,423.187,462.828,386.449,393.246,425.708,419.769,442.481,564.061,463.382,497.491,539.871,459.838,491.333,464.334,12.437
552.534,505.717,548.355,288.124,457.819,706.322,362.564,373.679,416.268,730.983,409.775,528.317,526.011,395.015,500.344,522.619,460.305,361.140,448.425,399.473,503.333,640.420,610.068,379.080,470.017,397.625,388.514,523.623,445.957,409.217,425.357,452.729,533.517,444.755,512.350,479.780,537.397,345.768,414.377,489.229,385.011,403.644,524.624,496.838,451.245,552.600,546.027,456.089,473.187,12.661
548.966,529.722,600.372,292.771,439.606,661.178,340.636,368.094,379.036,769.643,415.238,487.704,430.034,421.892,513.328,526.159,456.458,357.560,421.375,362.243,490.575,565.951,643.841,400.855,376.467,389.250,410.042,587.188,404.174,392.583,485.089,473.243,616.914,449.877,532.125,451.268,483.172,427.464,414.493,474.646,426.275,508.740,522.856,426.397,445.849,578.443,404.676,523.889,471.424,13.283
567.086,506.198,556.983,294.381,433.309,708.593,345.145,338.679,337.018,671.704,379.900,492.613,462.528,363.015,538.188,548.778,456.249,357.460,388.775,439.135,458.625,483.123,700.205,392.205,445.900,350.150,361.014,625.710,414.957,377.133,420.089,425.786,547.069,408.462,468.831,416.504,511.862,348.623,381.870,394.250,377.692,396.769,578.028,412.926,482.594,556.686,513.541,475.600,456.499,13.956
535.172,511.556,586.719,301.552,467.872,669.449,343.273,379.415,329.821,712.374,371.475,547.704,463.045,418.708,523.031,489.746,437.576,359.340,429.250,376.649,488.308,515.741,770.977,381.250,436.317,415.625,441.014,627.319,436.377,437.250,376.929,415.386,547.414,419.500,470.325,424.081,530.759,381.145,389.145,421.052,417.110,467.923,527.039,395.191,547.575,537.643,505.568,580.000,469.952,13.927
