0059-0047,0036-0041,0036-0055,0020-0009,0038-0115,0052-0095,0075-0096,0103-0061,0102-0035,0089-0037,0063-0028,0035-0012,0075-0069,0034-0017,Average,Err
588.656,575.511,467.201,1419.676,500.395,578.840,770.019,545.476,546.976,647.542,1176.324,615.471,663.691,720.400,701.156,69.445
569.262,563.210,485.947,1448.781,490.557,540.679,718.333,597.256,598.824,645.036,1136.327,618.875,627.713,603.200,688.857,69.455
559.070,562.129,488.955,1543.476,487.886,562.689,780.564,561.134,592.894,651.108,1167.597,618.176,657.838,595.543,702.076,76.141
556.672,568.392,489.107,1440.771,487.198,540.311,711.667,530.817,549.129,602.759,1176.676,599.147,609.279,669.457,680.813,71.580
581.211,568.961,470.291,1518.724,471.820,541.066,768.032,565.500,548.694,638.831,1197.061,648.456,660.169,587.886,697.622,76.427
580.976,591.893,487.139,1504.943,507.904,541.849,720.449,579.110,598.318,644.301,1166.394,622.154,633.449,587.914,697.628,73.192
582.104,552.117,464.221,1451.467,474.317,547.425,731.782,594.817,609.294,661.205,1153.912,595.956,643.787,571.171,688.112,70.953
601.037,563.948,478.066,1405.838,499.509,554.179,729.679,541.280,614.388,681.048,1179.867,620.963,624.221,595.543,692.112,68.634
572.786,544.511,461.951,1407.162,465.060,556.708,751.058,558.098,588.635,669.976,1155.782,669.338,660.007,556.457,686.966,69.156
578.101,560.832,474.533,1453.076,520.060,530.623,716.654,560.756,597.271,625.349,1147.427,612.978,653.603,647.714,691.355,70.009
564.848,567.505,455.463,1433.829,474.868,508.321,759.301,534.585,617.553,626.325,1126.515,593.654,622.419,614.314,678.536,70.160
579.802,557.469,477.992,1493.695,496.557,545.000,731.231,593.695,593.271,673.627,1143.748,661.162,663.853,602.657,700.983,71.890
562.637,543.249,472.598,1430.162,481.485,532.642,719.699,562.854,579.941,641.470,1142.085,644.397,614.346,641.514,683.506,69.494
578.817,561.744,486.451,1421.057,506.186,559.330,725.365,526.256,602.176,689.157,1130.930,619.279,669.831,616.829,692.386,67.629
563.859,560.188,475.418,1397.657,510.796,557.094,707.051,557.902,577.459,665.084,1120.045,597.404,644.007,619.257,682.373,66.248
564.496,559.094,460.615,1493.152,483.042,511.189,746.218,613.927,608.729,650.892,1142.245,594.529,645.551,626.057,692.838,72.914
604.698,575.534,478.545,1424.010,535.048,531.717,714.910,603.317,588.024,624.892,1158.839,652.618,644.676,611.229,696.290,67.936
581.361,540.945,459.385,1389.724,495.257,526.038,738.538,619.110,602.282,644.892,1100.236,596.382,653.757,613.971,682.991,65.551
597.333,570.799,462.049,1541.295,532.299,554.123,726.545,579.415,576.188,628.614,1146.421,651.544,653.647,618.629,702.779,74.471
595.612,577.806,460.902,1433.876,491.760,540.538,774.590,607.378,599.941,725.313,1165.524,657.199,641.007,576.057,703.393,69.707
610.031,568.081,492.652,1560.724,506.269,561.000,776.577,604.671,634.894,696.193,1166.406,628.551,653.154,682.743,724.425,74.989
582.110,556.181,482.152,1504.686,523.940,560.783,704.429,564.598,632.576,660.337,1153.209,656.324,626.522,564.143,697.999,72.686
582.947,569.803,472.197,1440.467,512.060,525.236,725.404,540.293,616.118,691.723,1151.258,635.632,671.096,649.429,698.833,69.293
583.824,569.906,475.684,1554.629,525.455,565.613,720.256,597.939,599.471,686.169,1168.636,665.257,694.956,684.486,720.877,74.771
586.626,544.495,480.586,1560.048,523.467,518.528,744.628,521.000,570.612,665.133,1220.691,636.309,662.831,597.857,702.344,79.149
571.095,572.456,488.262,1548.410,525.084,587.094,732.071,545.707,570.294,700.096,1236.097,616.485,656.051,638.143,713.382,77.596
568.178,556.366,478.484,1474.905,507.713,536.726,755.840,516.439,564.153,756.639,1224.112,657.647,649.824,642.886,706.422,74.620
587.015,570.301,470.082,1491.781,530.509,545.689,741.481,579.037,553.447,705.265,1260.570,631.037,638.471,597.600,707.306,76.006
586.229,579.469,471.123,1498.743,516.832,567.934,742.968,575.329,590.659,662.024,1279.467,671.853,638.949,650.086,716.547,76.217
574.863,554.084,471.299,1477.905,490.677,562.594,734.840,528.610,576.106,711.301,1287.733,611.324,643.993,611.971,702.664,77.170
592.987,569.660,461.016,1440.419,541.701,539.491,749.506,525.171,585.929,634.675,1296.509,663.051,684.926,614.000,707.074,74.881
577.758,593.783,468.008,1486.429,509.108,551.887,765.513,564.866,625.247,693.747,1286.776,651.743,701.103,595.029,719.357,76.181
582.923,559.427,492.779,1433.229,506.275,543.594,725.115,587.134,566.459,660.530,1305.255,646.441,669.706,539.114,701.284,75.077
569.214,569.071,463.189,1442.057,515.952,561.528,737.705,518.744,545.635,623.482,1268.764,657.779,630.574,667.457,697.939,74.542
594.780,547.939,488.184,1451.657,496.281,517.179,737.038,537.951,579.824,664.169,1271.288,610.912,637.956,676.771,700.852,74.950
585.507,573.702,480.570,1431.457,501.701,527.311,746.686,579.171,594.071,652.398,1318.521,629.022,665.360,613.371,707.061,75.162
557.079,564.592,485.918,1502.086,482.162,561.255,753.083,555.037,594.753,642.301,1244.152,650.382,696.772,577.086,704.761,76.473
595.434,556.016,476.746,1576.505,518.922,544.245,766.558,523.549,584.341,650.446,1250.994,646.890,674.022,600.743,711.815,80.597
568.861,558.016,488.139,1451.267,513.653,546.717,752.314,566.939,569.576,626.928,1277.173,644.846,642.162,625.771,702.312,74.663
569.225,553.848,470.926,1430.133,514.275,524.368,741.372,528.354,518.259,622.446,1225.742,654.721,700.419,619.429,690.965,72.962
582.828,578.981,467.213,1500.067,502.970,569.557,745.686,518.415,553.329,635.458,1202.339,614.566,675.507,620.914,697.702,75.108
588.214,581.107,459.004,1508.210,492.066,517.330,778.699,537.110,586.400,600.313,1189.421,640.610,670.059,622.800,697.953,75.591
580.200,558.786,493.586,1460.810,517.527,548.689,711.295,567.744,586.624,617.880,1182.964,611.978,694.037,613.486,696.115,71.337
576.480,574.592,485.000,1547.124,517.790,556.906,744.910,531.756,591.365,638.807,1190.406,680.794,700.000,618.543,711.034,76.271
575.260,571.809,458.029,1498.124,513.102,532.934,744.551,537.085,526.212,630.880,1177.885,663.978,646.272,599.686,691.129,74.759
585.236,590.456,489.693,1470.343,504.778,514.274,739.205,528.098,559.612,645.470,1206.348,674.125,649.007,606.857,697.393,73.451
572.892,572.851,480.992,1500.524,526.323,540.972,757.994,550.683,577.282,612.157,1184.264,635.485,675.963,695.657,706.003,73.671
593.086,590.741,473.418,1503.210,523.006,506.566,734.673,567.476,608.624,678.627,1226.703,640.426,658.610,703.771,714.924,74.770
594.302,573.259,490.344,1481.552,519.766,554.491,714.590,527.268,621.459,627.193,1191.355,650.184,655.441,627.743,702.068,72.430
570.584,572.621,454.672,1478.657,482.084,547.170,705.429,552.927,570.024,613.506,1149.197,668.794,657.824,615.971,688.533,72.355
541.463,580.340,463.082,1446.152,505.958,533.613,677.167,530.439,581.835,649.964,1123.991,660.551,631.684,574.600,678.631,69.939
580.667,593.751,490.635,1532.171,520.096,543.349,739.897,512.463,557.071,610.036,1197.809,680.824,635.176,679.714,705.261,76.147
578.374,585.000,469.008,1484.733,513.132,544.802,722.000,543.183,586.165,666.831,1200.270,632.956,635.022,669.343,702.201,73.373
571.295,590.909,469.066,1504.067,529.108,559.943,756.045,563.293,600.576,635.265,1161.197,623.015,662.338,609.543,702.547,72.885
576.388,583.052,480.008,1416.895,510.257,514.934,729.481,566.037,577.082,656.410,1172.009,637.309,647.691,677.743,696.093,68.776
583.590,577.913,469.176,1505.743,507.359,540.075,763.179,576.841,575.435,656.000,1170.182,639.669,660.603,628.114,703.849,73.592
573.170,579.761,445.557,1488.448,528.234,548.434,720.455,524.037,535.929,638.614,1211.045,601.426,644.441,603.571,688.794,75.356
587.077,579.058,484.717,1479.790,504.539,539.208,766.327,530.817,615.859,641.940,1226.767,647.088,635.728,678.800,708.408,73.997
601.674,595.883,487.463,1551.562,518.665,550.840,731.487,601.183,577.847,632.060,1180.706,676.375,627.176,610.686,710.258,75.583
575.716,537.094,472.029,1477.905,514.048,515.689,749.846,539.122,540.353,633.253,1157.391,646.353,658.625,585.486,685.922,73.195
586.467,558.074,474.348,1495.629,502.539,526.387,775.628,555.841,547.800,654.723,1228.288,647.294,672.081,625.886,703.642,75.788
571.991,561.327,491.123,1461.533,499.760,518.472,711.417,533.012,536.447,678.735,1139.555,667.699,633.059,609.743,686.705,71.137
578.088,571.372,481.365,1373.838,518.521,571.943,762.897,534.549,547.953,657.795,1148.297,643.154,670.360,649.257,693.528,65.695
599.637,576.256,468.775,1512.686,521.030,537.274,742.071,578.671,616.318,674.181,1183.391,673.257,651.066,618.057,710.905,73.672
607.615,581.728,480.799,1501.914,514.365,533.830,736.474,560.061,604.694,711.277,1167.155,648.750,658.294,629.743,709.764,72.564
575.991,577.864,463.975,1575.610,511.491,568.000,736.224,583.402,593.518,677.892,1218.864,656.853,673.897,635.571,717.797,78.372
608.881,585.482,491.217,1509.200,531.695,567.198,736.327,540.122,589.259,643.807,1261.379,644.434,650.213,688.057,717.662,75.747
567.685,564.602,488.201,1509.571,505.108,557.481,768.519,577.951,567.659,612.723,1278.021,656.985,656.081,663.400,712.428,77.466
592.518,573.100,475.770,1397.076,505.048,495.387,753.083,597.317,591.976,592.807,1265.791,641.610,637.434,565.514,691.745,72.310
598.857,592.000,481.266,1414.848,515.461,540.726,735.987,578.671,573.353,596.048,1245.209,620.882,651.772,625.714,697.914,71.226
593.416,565.628,474.270,1530.810,496.383,579.208,758.718,560.854,583.482,614.386,1225.909,647.338,679.441,625.286,709.652,76.746
577.363,575.660,488.549,1547.819,502.443,528.425,749.365,622.671,578.118,613.843,1232.591,641.912,677.243,638.514,712.465,77.668
569.465,586.045,473.516,1448.914,526.102,564.047,806.859,614.427,595.035,675.205,1252.903,686.441,683.184,648.657,723.629,72.220
571.564,580.654,462.770,1482.095,507.599,537.925,760.590,553.500,552.365,608.337,1230.155,631.941,642.522,627.029,696.360,75.304
566.780,578.961,484.168,1447.190,517.856,562.160,759.141,575.451,582.588,634.084,1216.497,651.279,662.875,637.143,705.441,71.452
592.700,596.987,473.094,1551.286,522.479,529.972,738.686,592.793,599.847,613.241,1166.997,644.853,688.390,642.686,711.001,75.327
566.899,553.217,477.730,1397.867,508.641,527.094,693.545,590.598,574.141,618.795,1153.524,659.956,616.640,647.143,684.699,67.401
586.883,564.039,489.926,1429.752,498.192,559.085,727.929,605.256,592.082,605.759,1176.597,647.485,662.184,610.800,696.855,69.178
603.176,569.023,479.824,1506.638,500.156,560.821,732.237,585.061,575.247,643.241,1155.467,633.287,673.654,591.800,700.688,72.924
580.251,542.146,462.635,1463.457,509.844,529.047,704.340,599.049,586.612,595.133,1155.824,603.338,635.235,649.857,686.912,71.405
565.557,564.618,469.869,1458.448,517.024,532.821,736.865,545.244,559.200,600.012,1104.518,627.647,632.757,581.857,678.317,70.056
562.350,558.699,479.725,1452.324,523.844,533.453,695.968,580.134,614.424,629.157,1127.021,639.625,665.191,629.943,692.276,68.891
570.289,564.560,464.705,1444.324,474.054,536.151,733.128,617.744,548.141,686.458,1065.448,600.500,680.713,679.057,690.377,67.632
585.557,571.129,477.332,1450.152,511.048,551.349,752.481,558.073,586.882,666.940,1119.706,630.037,634.257,591.600,691.896,68.987
575.793,583.061,487.275,1455.686,524.760,541.434,777.763,605.073,608.318,668.157,1139.555,653.250,645.243,656.200,708.683,68.698
587.546,556.324,491.795,1532.657,502.808,555.066,770.782,587.915,602.000,663.169,1175.179,653.029,675.368,651.543,714.656,74.448
565.280,579.498,475.279,1452.200,522.437,556.085,755.885,568.951,585.353,642.771,1162.897,646.007,672.757,678.057,704.533,69.841
572.374,587.282,475.824,1535.267,519.713,537.311,713.981,555.683,611.765,647.506,1136.258,611.132,632.713,634.771,697.970,74.038
575.311,553.239,489.037,1462.562,493.060,576.934,737.481,613.463,614.929,605.940,1149.576,652.779,675.360,692.657,706.595,69.636
599.185,588.152,459.664,1528.029,504.287,545.981,743.263,566.293,578.894,597.036,1130.573,567.868,664.926,600.000,691.011,74.439
589.641,556.663,462.725,1452.648,491.150,509.179,736.949,622.890,588.965,629.012,1201.906,597.103,645.846,628.629,693.808,72.499
609.055,579.994,497.889,1500.943,508.401,544.821,750.923,619.134,585.553,664.747,1162.073,645.338,670.713,682.086,715.834,71.552
603.879,583.350,487.041,1515.000,501.479,526.868,790.276,609.415,613.212,623.145,1162.527,648.926,715.779,604.829,713.266,73.366
599.346,591.586,477.348,1426.714,500.677,545.292,758.122,598.841,630.329,700.241,1173.679,618.199,699.838,636.371,711.185,68.328
606.176,598.505,486.951,1489.210,501.359,602.189,776.000,614.463,566.388,608.771,1173.642,645.640,655.574,647.629,712.321,71.626
571.253,572.693,468.389,1406.581,501.563,538.057,715.904,584.902,568.365,629.627,1120.530,584.368,632.493,614.600,679.237,67.124
568.449,562.052,487.340,1440.171,500.096,544.104,704.827,558.561,606.588,611.301,1119.564,618.279,621.728,666.771,686.417,68.425
573.839,540.395,445.529,1411.810,494.862,487.953,702.346,615.293,621.788,621.133,1106.552,588.904,619.669,620.800,675.062,67.802
599.260,567.430,475.303,1435.581,520.754,565.858,731.423,623.110,579.129,649.807,1225.567,618.676,689.912,654.029,709.703,70.609
574.597,557.945,472.057,1484.819,537.629,528.925,757.141,554.061,557.776,614.494,1149.527,622.404,638.706,562.343,686.602,72.837
580.912,545.841,464.221,1406.171,498.958,549.849,753.019,624.171,573.976,638.398,1193.458,607.551,662.779,618.057,694.097,69.366
565.275,570.935,492.451,1484.905,525.299,575.160,762.103,570.280,597.247,611.096,1226.264,647.184,704.074,672.457,714.624,73.427
633.700,584.586,479.025,1523.362,513.569,548.623,766.795,575.415,580.247,632.036,1266.361,657.787,667.566,674.286,721.668,76.890
613.425,559.489,474.455,1482.219,525.749,534.755,728.365,604.159,567.106,640.060,1241.658,654.103,689.022,567.771,705.881,74.625
606.542,565.440,484.201,1488.743,485.820,505.387,748.955,655.780,580.565,622.084,1268.412,636.221,652.912,628.029,709.221,76.175
621.800,556.951,495.418,1466.267,528.461,518.528,775.545,633.134,615.447,659.554,1300.130,659.485,704.221,612.914,724.847,74.836
607.678,567.511,476.393,1502.838,529.910,559.934,757.635,655.720,581.447,647.084,1280.227,653.706,684.853,677.086,727.287,75.608
595.504,578.252,491.430,1444.181,559.611,511.311,759.763,639.061,604.047,700.783,1303.970,649.721,668.059,639.886,724.684,73.480
609.670,576.505,470.955,1516.695,537.060,549.311,699.103,597.829,566.812,572.241,1243.712,619.934,689.588,660.686,707.864,76.246
585.026,578.926,473.725,1559.029,553.509,537.528,749.929,591.024,561.859,619.675,1208.227,670.831,681.551,712.429,720.233,76.887
586.645,572.777,471.316,1526.048,515.844,526.962,723.045,597.512,610.459,664.880,1231.427,629.963,638.066,670.714,711.833,76.194
567.363,536.379,484.234,1429.410,486.922,518.726,690.679,576.061,593.624,596.639,1164.433,587.206,651.022,633.543,679.731,70.282
591.579,578.644,480.643,1433.210,514.856,543.358,774.846,595.537,562.753,616.422,1224.215,628.434,703.213,700.886,710.614,71.132
581.544,572.573,489.316,1444.267,535.707,550.538,738.929,640.537,595.282,679.301,1207.615,661.566,671.934,624.200,713.808,69.890
578.826,577.835,488.213,1480.657,509.856,540.943,781.910,625.098,599.988,618.048,1189.809,626.375,652.301,642.143,708.000,72.296
585.211,574.087,472.020,1493.714,506.725,528.330,780.545,582.439,548.024,635.711,1176.570,653.037,659.404,640.971,702.628,73.530
588.126,544.518,498.877,1519.724,514.605,572.830,757.506,572.695,598.718,681.530,1228.691,636.471,665.529,658.600,717.030,75.327
603.236,554.379,492.295,1465.533,474.275,542.774,781.673,560.707,597.929,639.470,1182.936,617.441,682.015,670.400,704.647,72.016
578.117,534.408,471.168,1464.029,479.431,556.425,746.673,557.720,606.906,652.855,1157.352,596.559,697.382,618.771,694.128,71.676
576.738,574.039,501.430,1437.038,498.820,556.575,743.577,586.634,545.071,614.699,1170.285,620.338,669.338,656.343,696.495,69.656
577.648,555.854,470.348,1380.962,538.383,529.160,728.936,577.659,617.847,621.422,1165.479,609.728,671.890,632.857,691.298,66.444
601.767,574.803,498.779,1512.267,530.090,572.142,768.429,606.122,538.718,673.120,1233.667,661.162,667.897,601.857,717.201,75.047
570.317,550.819,487.594,1529.838,517.491,573.377,773.071,540.122,564.800,616.229,1207.052,659.294,666.765,635.571,706.596,76.324
576.932,566.495,477.139,1553.124,523.898,523.623,740.321,599.841,574.435,632.940,1158.967,654.860,650.772,612.314,703.262,75.834
564.689,565.942,485.361,1468.362,506.581,557.943,731.526,606.780,609.412,630.241,1199.491,611.787,694.184,630.571,704.491,71.960
595.097,561.631,466.738,1406.695,520.928,518.472,726.756,569.341,557.824,665.060,1181.555,673.551,670.471,571.257,691.813,69.154
576.513,537.074,474.516,1488.181,494.551,520.057,765.449,577.927,610.365,613.783,1157.597,591.463,658.610,546.657,686.625,73.783
600.251,568.615,485.791,1457.610,528.210,535.330,751.083,577.427,556.153,609.024,1188.130,668.838,650.713,598.457,698.259,71.509
577.344,545.294,457.000,1416.048,509.240,517.660,739.295,572.756,565.718,684.831,1197.388,645.846,654.588,619.229,693.017,70.516
601.456,544.861,484.939,1461.638,513.473,584.170,789.404,617.195,560.741,705.892,1265.524,663.265,661.949,663.686,722.728,73.516
651.405,586.042,503.254,1507.295,525.647,572.840,762.814,606.415,694.188,683.458,1476.945,674.588,685.956,656.543,756.242,82.297
1131.588,813.618,659.029,1467.610,532.760,610.623,868.474,1180.561,1822.271,1798.422,2904.342,1572.691,741.059,1207.229,1236.448,166.019
1597.934,1800.191,1484.762,1811.429,674.102,1686.840,2291.744,1826.537,2236.400,2399.554,3793.079,2577.463,1728.301,2577.286,2034.687,183.896
2367.863,2425.981,1701.262,3230.448,1745.689,2283.708,3004.853,1942.829,2262.165,2657.217,3881.542,2713.390,2644.456,2767.457,2544.918,151.105
2671.341,2487.392,1728.869,4002.819,2004.066,2347.274,3118.122,1933.012,2309.788,2741.313,3880.970,2684.118,2716.250,2823.371,2674.907,169.240
2692.584,2571.104,1787.000,4021.029,2043.485,2450.670,3053.673,1969.512,2191.012,2739.542,3885.430,2752.904,2722.471,2827.486,2693.421,166.477
2669.954,2542.485,1761.213,4000.752,2112.275,2380.236,3068.808,1988.049,2234.447,2766.952,3898.121,2696.419,2808.765,2790.429,2694.207,165.459
2629.714,2540.725,1785.283,4014.105,2093.060,2381.604,3066.692,1996.890,2224.165,2524.831,3836.027,2723.412,2765.868,2846.229,2673.472,163.765
2522.165,2476.417,1744.463,4018.971,1985.126,2365.792,3039.256,1920.659,2141.894,2485.458,3825.279,2665.699,2769.426,2758.229,2622.774,169.471
2424.914,2385.987,1700.865,4016.533,1997.521,2319.821,2976.301,1898.159,2065.306,2355.458,3740.964,2614.243,2655.868,2760.343,2565.163,169.433
2359.938,2377.528,1701.689,3997.219,1914.677,2221.009,2992.891,1794.439,2004.153,2457.398,3723.052,2611.956,2744.566,2703.543,2543.147,173.588
2310.416,2251.926,1625.033,3985.857,1830.515,2198.009,2901.494,1860.244,1953.365,2372.578,3665.691,2514.551,2688.919,2716.771,2491.098,174.033
2294.711,2304.262,1621.836,4000.200,1851.868,2186.896,2821.058,1830.768,1989.412,2360.265,3576.215,2550.522,2624.044,2711.743,2480.272,170.040
2190.485,2177.408,1554.758,3989.695,1768.341,2209.028,2726.462,1807.244,1866.929,2247.265,3535.673,2438.051,2559.478,2712.914,2413.124,174.204
2209.031,2102.744,1573.697,3984.181,1703.796,2128.075,2818.545,1820.598,1920.024,2229.867,3513.358,2454.522,2512.213,2650.657,2401.522,174.438
2141.361,2118.900,1576.947,3954.933,1649.868,2039.811,2738.487,1904.768,1899.106,2357.482,3440.836,2418.574,2506.515,2621.943,2383.538,170.333
2093.090,2055.573,1529.652,3952.381,1655.204,2065.906,2693.840,1865.329,1835.282,2314.458,3372.030,2337.618,2488.750,2594.971,2346.720,170.532
2080.013,1977.531,1513.898,3968.400,1608.952,2041.113,2618.462,1807.171,1844.694,2345.627,3276.709,2350.507,2330.963,2534.514,2307.040,169.993
2082.868,1997.670,1500.865,3953.143,1599.659,2042.906,2617.551,1798.000,1864.282,2203.482,3236.670,2319.632,2354.397,2616.657,2299.127,169.025
2005.826,1962.825,1500.266,3954.010,1520.204,1955.585,2511.910,1761.024,1940.882,2233.940,3120.558,2285.324,2272.566,2568.600,2256.680,167.380
2003.822,1982.006,1519.152,3949.771,1523.228,2085.264,2566.429,1736.134,1940.341,2261.036,3078.215,2265.441,2361.507,2571.200,2274.539,165.441
1980.079,1924.162,1514.537,3951.419,1445.545,2005.085,2487.538,1818.841,1873.376,2226.602,2994.206,2279.309,2220.926,2442.000,2225.973,164.300
2010.678,1886.994,1472.779,3950.410,1438.557,1990.745,2503.833,1751.195,1962.353,2263.434,3007.555,2263.581,2298.625,2519.343,2237.149,166.798
1962.401,1958.298,1514.594,3921.467,1439.928,1992.075,2490.737,1759.707,2031.729,2272.446,2936.812,2227.588,2196.346,2533.429,2231.254,161.658
1972.771,1885.803,1533.762,3921.324,1407.802,2003.311,2440.500,1776.244,1989.282,2241.494,3006.430,2284.919,2184.206,2484.971,2223.773,163.477
1963.233,1896.071,1494.340,3942.933,1356.210,1864.717,2451.679,1715.280,1964.388,2201.229,2943.582,2249.309,2157.022,2360.057,2182.861,166.616
2021.240,1897.492,1511.930,3941.686,1373.365,2018.387,2441.410,1868.098,1874.988,2197.795,3032.718,2359.574,2198.743,2569.943,2236.241,166.876
