0045-0077,0046-0094,0055-0100,0051-0053,0061-0037,0031-0058,0046-0041,0063-0061,0050-0021,Average,Err
338.074,370.072,293.037,426.689,364.652,338.798,326.018,398.579,264.689,346.734,15.764
345.812,380.268,311.136,462.053,350.852,339.667,327.613,403.864,268.585,354.428,17.555
350.638,370.604,319.988,438.450,344.590,345.890,338.785,408.098,296.255,357.033,13.672
344.121,369.132,297.265,446.967,351.538,343.890,358.448,398.276,271.557,353.466,16.129
333.087,384.728,306.895,468.682,352.871,347.013,339.276,408.164,286.717,358.604,17.317
351.020,371.851,317.778,431.980,354.052,352.129,338.988,403.014,268.292,354.345,14.781
337.235,393.077,314.778,440.894,356.305,345.599,328.387,401.229,257.302,352.756,16.923
340.195,373.485,298.679,450.530,371.957,355.304,321.485,416.084,290.660,357.598,16.510
335.906,375.932,313.377,457.536,351.338,342.065,326.466,414.061,283.179,355.540,16.736
340.503,370.030,299.525,451.477,364.090,345.382,330.546,408.579,278.925,354.340,16.573
365.530,381.800,300.327,436.305,370.224,355.858,320.479,389.790,281.821,355.792,15.077
322.705,381.464,287.741,423.238,355.024,360.323,318.988,418.514,282.972,350.108,16.199
356.765,367.919,297.179,435.464,359.900,343.653,334.620,403.869,267.113,351.831,15.939
333.738,381.043,302.932,452.285,357.638,341.973,319.110,399.075,279.038,351.870,16.628
333.678,388.906,292.858,452.066,336.552,347.742,339.773,407.061,285.311,353.772,16.875
331.779,393.728,293.691,446.490,356.048,346.097,332.914,411.757,267.066,353.285,17.800
324.705,368.545,297.074,448.046,361.000,339.339,341.221,413.379,267.226,351.170,17.415
333.859,363.409,300.648,458.152,368.948,340.218,358.190,412.972,278.943,357.260,17.082
333.463,371.872,291.414,451.748,360.110,348.589,325.417,415.944,266.632,351.688,18.094
327.242,369.289,301.543,439.987,351.024,334.317,336.417,416.972,285.292,351.343,15.879
339.591,376.323,304.704,426.205,371.590,344.030,346.123,408.664,293.472,356.745,13.791
348.268,382.698,309.037,458.682,336.557,347.148,333.914,400.196,265.783,353.587,17.394
346.826,387.191,301.309,448.265,351.962,327.411,321.834,410.369,281.906,353.008,16.824
338.228,372.353,312.963,448.424,353.643,349.465,326.939,386.785,282.774,352.397,14.933
339.114,382.281,293.315,447.695,355.857,332.513,327.178,427.374,280.434,353.973,17.730
326.497,360.621,297.333,476.258,336.271,343.212,349.153,400.393,272.302,351.338,18.651
358.040,386.677,291.105,478.563,338.829,354.161,336.699,415.439,285.585,360.566,18.971
341.658,364.557,289.907,430.669,341.833,337.610,335.577,412.570,300.557,350.549,14.566
325.752,399.923,310.642,457.795,364.410,351.938,340.748,411.224,293.000,361.715,16.596
354.128,391.345,299.315,447.132,355.052,340.543,335.129,394.449,285.519,355.846,15.671
337.282,364.209,298.469,464.285,336.267,357.048,316.853,427.280,269.604,352.366,19.182
348.644,398.128,313.759,463.219,347.543,338.935,336.104,400.626,281.632,358.732,16.969
340.161,401.362,303.204,444.106,352.905,342.769,350.202,418.033,294.481,360.802,15.909
357.188,371.009,311.025,473.291,377.495,337.812,332.074,426.542,285.085,363.502,18.214
339.577,370.745,296.080,451.172,357.148,333.005,320.877,431.626,289.255,354.387,17.586
339.832,383.583,308.809,450.881,353.986,349.957,339.331,422.846,280.047,358.808,16.754
366.940,360.038,300.247,445.093,354.081,350.753,346.049,409.692,279.792,356.965,15.711
339.268,383.719,313.710,427.874,364.152,347.207,337.718,420.570,291.538,358.417,14.381
336.644,358.719,291.889,456.219,361.086,346.056,336.748,432.696,263.575,353.737,19.055
338.832,359.170,298.673,440.318,366.776,359.573,336.264,404.276,283.736,354.180,15.211
331.564,362.957,306.031,447.722,372.005,345.987,344.227,407.636,279.000,355.236,15.963
337.752,357.013,301.216,441.583,364.367,345.688,325.736,403.103,273.774,350.026,15.874
329.805,358.949,297.340,433.762,340.395,351.328,340.589,392.009,273.689,346.430,14.879
358.369,375.991,278.296,445.735,372.214,345.438,339.307,414.589,300.566,358.945,16.321
339.134,372.323,282.099,422.682,349.848,349.331,344.926,401.692,291.434,350.385,14.331
329.658,333.455,292.438,431.358,346.381,349.613,344.908,379.724,293.736,344.586,13.354
329.161,350.528,274.759,416.636,365.362,334.156,327.521,373.206,289.519,340.094,13.536
308.711,358.132,274.105,432.603,362.695,339.484,317.098,389.313,275.887,339.781,16.408
307.389,346.898,279.383,421.503,344.619,343.508,330.571,372.262,270.340,335.164,14.586
322.678,357.238,293.006,433.232,362.671,355.492,350.190,396.014,281.340,350.207,14.906
322.617,345.945,261.586,412.801,345.724,334.849,340.104,366.766,281.132,334.614,13.952
308.409,356.430,293.148,413.490,379.848,341.304,328.288,385.421,275.151,342.388,14.405
321.161,343.294,298.006,410.808,358.571,352.661,326.791,375.252,294.321,342.318,11.708
311.758,335.149,283.438,397.921,332.829,330.266,321.939,369.257,294.425,330.776,11.119
309.872,348.200,280.179,407.079,357.610,346.341,333.344,376.579,296.208,339.490,12.522
314.342,338.255,294.796,418.278,345.548,345.680,362.791,367.850,284.434,341.331,12.796
341.047,344.200,299.463,400.364,346.352,337.349,350.988,369.790,286.009,341.729,10.686
314.893,355.464,281.833,402.517,344.181,338.581,336.135,377.766,289.557,337.881,12.235
323.470,334.302,262.870,420.338,333.600,330.586,328.331,380.617,292.028,334.016,14.317
313.362,341.562,264.284,426.629,342.662,336.395,319.963,374.463,260.613,331.104,16.158
322.430,337.609,269.340,433.768,344.324,352.048,343.859,412.332,278.660,343.819,16.903
331.235,352.251,286.086,452.450,366.948,331.922,340.086,402.079,294.896,350.884,16.251
315.181,357.055,288.333,421.510,357.414,341.441,344.528,384.000,296.953,345.157,13.192
317.396,364.030,295.488,440.464,374.005,342.137,339.233,389.523,287.660,349.993,15.161
315.550,355.009,287.698,438.510,365.662,346.782,340.712,404.168,305.104,351.022,14.994
359.168,337.894,297.074,444.066,351.867,341.785,372.239,372.252,284.425,351.197,14.584
340.846,342.498,278.593,438.993,342.671,339.401,364.025,374.402,290.877,345.812,14.680
327.678,350.757,286.235,462.656,346.443,349.909,343.215,376.079,267.717,345.632,17.425
340.584,344.370,272.796,453.808,349.710,345.763,347.656,388.332,292.500,348.391,16.342
326.758,334.213,270.549,416.993,340.952,334.169,329.840,397.313,278.877,336.630,14.914
319.664,350.604,268.901,419.338,357.095,337.352,333.951,396.369,288.915,341.354,14.900
317.852,340.804,300.790,405.762,374.700,346.183,338.779,383.762,292.821,344.606,11.940
299.067,339.902,281.846,403.907,362.957,342.484,326.699,389.673,284.991,336.836,13.723
327.034,356.672,288.469,446.483,367.924,345.895,352.098,392.364,294.274,352.357,15.259
331.940,361.417,287.895,426.457,351.643,359.613,326.528,389.453,277.340,345.809,14.692
328.020,355.111,296.241,466.311,349.857,344.930,327.994,383.322,287.009,348.755,16.667
340.174,366.928,296.951,455.649,369.519,344.070,359.773,385.037,276.745,354.983,16.194
333.839,363.843,294.321,459.695,358.852,352.124,347.264,399.075,287.387,355.155,16.393
332.839,351.613,293.877,457.543,365.752,342.113,356.018,392.551,299.575,354.654,15.523
339.537,350.838,313.574,448.868,362.695,341.602,328.650,420.710,300.783,356.362,15.298
335.121,368.591,293.506,472.086,356.829,353.535,335.798,389.439,267.453,352.484,18.338
345.356,353.426,298.605,455.874,347.124,369.108,346.871,389.949,277.849,353.796,16.078
338.530,374.749,291.895,448.503,362.495,345.446,332.816,399.229,280.340,352.667,16.295
339.389,373.979,313.142,457.318,362.462,347.554,339.417,397.266,284.830,357.262,15.652
320.966,347.243,291.630,440.311,362.781,344.444,334.190,385.136,288.283,346.109,14.810
313.718,329.796,277.241,389.576,343.614,331.634,321.650,354.234,277.358,326.536,11.170
304.013,312.940,259.895,387.543,323.514,306.726,321.294,349.037,276.340,315.700,11.787
316.765,317.962,261.815,378.523,323.067,308.277,301.626,333.762,285.198,314.110,10.182
322.181,314.481,257.315,386.430,331.295,309.683,300.571,353.813,288.632,318.267,11.701
289.228,311.787,265.599,382.907,335.700,319.608,310.969,352.822,279.764,316.487,11.571
280.852,316.536,266.593,372.258,338.586,310.651,312.350,330.173,279.594,311.955,10.407
286.275,318.626,257.352,362.252,323.057,306.602,322.362,341.804,257.642,308.441,11.225
270.758,293.609,253.049,380.113,319.562,311.145,326.798,321.650,261.925,304.290,12.421
277.785,306.643,254.630,377.417,306.876,309.637,320.632,328.612,279.160,306.821,11.105
296.617,307.264,254.080,365.212,322.005,305.366,320.233,338.939,277.425,309.682,10.262
275.161,305.970,259.710,363.291,309.295,313.032,306.380,340.565,264.943,304.261,10.709
283.497,303.366,254.093,375.066,310.200,311.978,313.951,338.827,282.689,308.185,10.928
283.899,307.460,257.315,393.576,320.790,321.761,304.153,337.603,282.481,312.115,12.281
291.564,307.302,266.580,387.119,314.362,309.384,321.902,365.799,282.160,316.241,12.110
284.389,310.421,270.475,395.715,311.152,299.739,308.632,330.650,273.896,309.452,11.864
291.591,308.400,263.401,382.079,328.976,314.952,307.736,331.808,279.075,312.002,10.826
288.215,308.047,262.605,371.901,312.429,303.989,317.184,339.019,271.462,308.317,10.513
286.966,322.604,273.037,356.781,317.719,308.669,333.141,355.019,261.991,312.881,10.598
298.302,305.162,265.154,370.212,322.938,299.798,307.742,334.117,268.575,308.000,10.144
289.054,310.047,253.753,362.106,317.448,312.258,315.742,369.243,275.481,311.681,11.699
278.752,306.455,266.216,380.079,332.605,310.218,323.282,340.192,262.726,311.169,11.987
298.027,326.362,266.772,397.649,329.176,327.640,313.043,339.322,279.528,319.724,11.961
416.933,354.315,279.926,522.205,511.333,325.575,358.804,439.935,460.349,407.708,26.308
