0007-0009,0022-0023,0037-0064,0001-0070-0060,0049-0080,0061-0081,0064-0093,0039-0090,0049-0096,0065-0111,0086-0112,0106-0122,0124-0109,0108-0046,0105-0025,0100-0012,0079-0020,0047-0003,0125-0015,Average,Err
527.874,601.106,838.523,300.310,559.303,398.382,330.694,384.213,357.929,534.975,369.144,1241.856,440.325,761.769,664.963,284.265,480.411,369.250,441.581,520.362,51.813
542.251,585.722,859.685,289.114,558.596,398.291,339.477,398.309,340.843,501.624,359.506,1238.455,492.123,761.490,696.351,278.515,460.200,324.600,470.535,520.826,52.744
550.055,570.033,842.762,289.849,592.022,357.945,343.577,407.511,367.993,517.223,370.762,1214.711,458.228,763.000,689.429,284.905,475.303,365.400,439.535,521.065,51.109
520.230,596.363,847.209,277.892,552.708,379.745,324.036,398.787,351.107,508.718,351.725,1251.979,469.702,757.971,673.236,291.520,465.746,408.850,423.186,518.458,52.568
538.568,583.293,854.626,280.346,605.191,385.182,344.793,419.606,364.150,530.337,349.469,1238.385,480.851,771.260,692.047,287.870,472.962,404.100,402.070,526.584,52.272
521.557,570.560,839.889,281.443,566.674,355.091,318.279,390.979,364.500,531.891,359.562,1213.824,446.009,807.279,677.822,286.080,458.876,371.000,410.535,514.308,52.233
514.366,582.066,823.736,280.849,560.787,366.564,337.252,405.745,362.529,517.535,368.881,1202.193,468.061,790.606,683.079,296.680,470.557,393.475,436.093,519.003,50.369
517.077,580.220,842.878,280.364,586.742,379.109,340.802,405.989,357.579,532.030,357.594,1236.599,484.202,757.144,693.141,287.565,473.832,338.650,416.674,519.378,52.324
542.716,584.484,819.164,274.678,589.978,357.745,334.802,391.830,353.593,519.693,349.488,1230.471,460.000,791.846,667.948,280.465,446.335,337.925,445.465,514.664,52.584
511.290,571.791,849.249,277.006,574.056,376.200,337.171,397.511,349.021,509.233,364.062,1193.187,457.026,778.173,705.702,290.150,457.141,392.800,424.186,516.577,50.923
519.929,613.513,820.952,280.033,566.112,378.345,333.829,384.660,350.371,494.787,361.544,1233.406,436.412,809.490,665.707,275.275,474.232,390.375,424.372,516.492,52.507
529.814,615.432,843.375,270.127,580.404,389.109,345.252,398.000,356.586,527.446,365.081,1202.775,449.114,798.327,704.901,281.360,465.795,404.500,412.442,523.149,51.585
528.011,580.070,833.484,272.304,556.652,388.291,343.234,423.372,352.300,522.426,366.256,1272.551,490.219,831.183,703.482,290.155,468.876,358.175,376.698,524.091,54.542
506.339,581.623,840.097,276.003,583.831,376.836,337.856,403.872,358.771,496.119,345.819,1227.471,456.298,789.365,666.843,280.905,463.405,377.625,404.023,514.374,52.270
523.000,593.839,845.619,271.693,581.506,368.745,334.523,392.989,347.936,524.307,383.944,1238.155,457.096,784.346,695.241,287.145,464.978,364.050,439.605,520.985,52.810
536.186,591.421,839.394,272.407,549.607,422.273,343.306,398.351,352.314,525.777,364.212,1217.765,486.711,779.038,685.539,279.955,487.141,353.025,431.186,521.874,51.419
521.503,593.040,841.511,272.154,579.360,363.036,349.189,402.500,366.214,516.619,364.188,1215.166,460.675,826.500,680.361,286.745,480.027,386.150,401.884,521.412,52.195
529.355,587.762,838.084,269.060,610.045,365.309,346.369,400.351,354.200,537.738,359.488,1235.904,483.719,823.760,673.853,291.065,466.330,397.825,468.628,528.360,52.637
566.311,593.421,851.116,277.572,595.360,377.055,348.117,395.989,367.050,524.317,364.894,1215.524,456.193,793.750,699.162,281.865,463.514,367.475,462.651,526.386,51.969
520.098,574.114,850.370,274.069,565.258,352.182,350.577,425.830,361.543,503.000,381.700,1231.658,470.325,806.712,711.906,287.115,466.416,371.775,403.116,521.461,52.777
516.628,594.722,838.623,273.997,643.551,402.927,334.703,416.021,367.929,522.436,349.544,1243.898,469.614,773.048,698.450,284.140,490.670,373.250,395.767,525.785,52.873
523.923,584.799,840.492,273.976,558.978,387.164,334.649,410.564,383.764,524.332,362.181,1245.460,492.412,789.048,690.984,282.415,462.092,384.350,415.814,523.547,52.472
514.454,593.081,849.639,271.452,583.404,418.527,340.856,421.277,362.293,508.965,372.631,1204.690,450.474,758.010,701.832,275.715,478.530,376.100,381.372,519.121,51.118
530.317,584.403,842.522,271.364,564.955,355.091,357.009,401.489,361.721,491.401,360.750,1256.711,450.000,812.673,669.691,285.545,461.719,366.500,410.233,517.584,53.693
522.481,609.315,832.359,269.331,600.955,369.691,340.063,407.181,368.800,496.970,376.756,1193.909,454.254,754.288,702.969,286.710,469.324,376.675,428.140,518.956,50.464
516.814,572.330,838.205,273.090,579.888,344.673,351.009,391.202,349.457,519.084,383.669,1214.561,468.114,829.538,707.487,284.100,460.703,418.750,428.558,522.696,52.257
